stc_label	sentence	category
T_NYS Thruway Origin and Destination Points for All Vehicles:  2008 - 2014	NYS Thruway Origin and Destination Points for All Vehicles:  2008 - 2014	Table
T_Weigh in Motion	Weigh in Motion	Table
T_McKenzie Highway Opening and Closing Dates	McKenzie Highway Opening and Closing Dates	Table
T_Pedestrian Signal Inventory and ADA Self-Assessments	Pedestrian Signal Inventory and ADA Self-Assessments	Table
T_Citywide Mobility Survey - Day Survey 2019	Citywide Mobility Survey - Day Survey 2019	Table
T_Citywide Mobility Survey - Vehicle Survey 2019	Citywide Mobility Survey - Vehicle Survey 2019	Table
T_Motor Vehicle Crashes - Case Information: Three Year Window	Motor Vehicle Crashes - Case Information: Three Year Window	Table
T_Vehicle Colors, Most Popular in New York State	Vehicle Colors, Most Popular in New York State	Table
T_Highway Sign Installations	Highway Sign Installations	Table
T_Thruway Commuter Park and Ride Lots	Thruway Commuter Park and Ride Lots	Table
T_Road Curves and Grades in Colorado	Road Curves and Grades in Colorado	Table
T_Highway Curves and Grades in Colorado	Highway Curves and Grades in Colorado	Table
T_Capital District Transportation Authority (CDTA) Performance Metrics: Beginning 2009	Capital District Transportation Authority (CDTA) Performance Metrics: Beginning 2009	Table
T_Street Travel Permit	Street Travel Permit	Table
T_Historical Medallion Drivers â€“ Passenger Assistance Trained 2014-2016	Historical Medallion Drivers â€“ Passenger Assistance Trained 2014-2016	Table
T_2020 Green Taxi Trip Data	2020 Green Taxi Trip Data	Table
T_2020 Yellow Taxi Trip Data	2020 Yellow Taxi Trip Data	Table
T_Pavement Condition CSV Dataset 2004-2012	Pavement Condition CSV Dataset 2004-2012	Table
T_COYS - Ward 1 - Filtered	COYS - Ward 1 - Filtered	Table
T_DMV-Reportable Traffic Ticket Conviction Counts by Year and Court	DMV-Reportable Traffic Ticket Conviction Counts by Year and Court	Table
T_Sidewalk Inventory for ADA Self-Assessment	Sidewalk Inventory for ADA Self-Assessment	Table
T_Annual Average Daily Traffic (AADT) by Roadway Segment: Beginning 1977 - Average Values	Annual Average Daily Traffic (AADT) by Roadway Segment: Beginning 1977 - Average Values	Table
T_Bicycle and Pedestrian Counts in Colorado	Bicycle and Pedestrian Counts in Colorado	Table
T_Thruway Interchanges and Exits Map	Thruway Interchanges and Exits Map	Table
T_Thruway Toll Gantries	Thruway Toll Gantries	Table
T_Thruway Travel Plazas and Parking/Rest Areas	Thruway Travel Plazas and Parking/Rest Areas	Table
T_Tourism Information Centers	Tourism Information Centers	Table
