stc_label	sentence	category
10_2012_nyc_district_75	2012 nyc district 75 schools survey	Table
OUT_graduation rate 2014	graduation rate 2014	OUT
IN_total engagement score	total engagement score	IN
IN_total safety and respect score	total safety and respect score	IN
OUT_ytd % attendance	ytd % attendance	OUT
OUT_level 3+4 %	level 3+4 %	OUT
OUT_pre- k students	pre- k students	OUT
IN_total communication score	total communication score	IN
OUT_grade 3 begin year	grade 3 begin year	OUT
OUT_student progress 10-11	student progress 10-11	OUT
IN_total parent response rate	total parent response rate	IN
OUT_level3+4 n	level3+4 n	OUT
IN_total student response rate	total student response rate	IN
IN_total academic expectations score	total academic expectations score	IN
IN_total teacher response rate	total teacher response rate	IN
IN_school name	school name	IN
OUT_ytd enrollment	ytd enrollment	OUT
OUT_eligible stop to school students	eligible stop to school students	OUT
OUT_q15 c3 r4	q15 c3 r4	OUT
OUT_head count	head count	OUT
OUT_qr curriculum	qr curriculum	OUT
OUT_f status health teachers	f status health teachers	OUT
OUT_q21 c3 r2	q21 c3 r2	OUT
OUT_headcount type	headcount type	OUT
OUT_location name	location name	OUT
OUT_count	count	OUT
OUT_count of testers	count of testers	OUT
OUT_grade 12 regular membership	grade 12 regular membership	OUT
OUT_operating cost per student	operating cost per student	OUT
OUT_operating cost per student	operating cost per student	OUT
OUT_sam #	sam #	OUT
OUT_grade level	grade level	OUT
OUT_industrial insurance	industrial insurance	OUT
OUT_meet 2018 annual	meet 2018 annual	OUT
OUT_subject	subject	OUT
OUT_snow	snow	OUT
OUT_science	science	OUT
OUT_town code	town code	OUT
OUT_five yr ave	five yr ave	OUT
OUT_five yr ave	five yr ave	OUT
OUT_town	town	OUT
OUT_town	town	OUT
OUT_city	city	OUT
OUT_title	title	OUT
OUT_zip	zip	OUT
OUT_latitude	latitude	OUT
OUT_ind inc avg	ind inc avg	OUT
OUT_longitude	longitude	OUT
OUT_lang. arts	lang. arts	OUT
OUT_tap college name	tap college name	OUT
OUT_language	language	OUT
OUT_description of code	description of code	OUT
OUT_county	county	OUT
OUT_fy	fy	OUT
OUT_district	district	OUT
OUT_district	district	OUT
OUT_district	district	OUT
OUT_entity name	entity name	OUT
OUT_school	school	OUT
OUT_college region name	college region name	OUT
OUT_central office administrators	central office administrators	OUT
