stc_label	sentence	category
12_2012_sat_results	2012 sat results	Table
IN_num of sat test takers	num of sat test takers	IN
IN_sat critical reading avg. score	sat critical reading avg. score	IN
OUT_class most recent assessment year	class most recent assessment year	OUT
OUT_class most recent assessment year	class most recent assessment year	OUT
OUT_pct level 1	pct level 1	OUT
OUT_num level 2	num level 2	OUT
OUT_ecers- r most recent assessment year	ecers- r most recent assessment year	OUT
OUT_cohort	cohort	OUT
OUT_student satisfaction 2013	student satisfaction 2013	OUT
IN_school name	school name	IN
IN_sat math avg. score	sat math avg. score	IN
OUT_year	year	OUT
OUT_percent partially receiving	percent partially receiving	OUT
OUT_category	category	OUT
OUT_percent not receiving	percent not receiving	OUT
OUT_total	total	OUT
IN_sat writing avg. score	sat writing avg. score	IN
OUT_eligible stop to school students	eligible stop to school students	OUT
OUT_metric value	metric value	OUT
OUT_community school district	community school district	OUT
OUT_evaluations	evaluations	OUT
OUT_fall term	fall term	OUT
OUT_count of students in hs admissions	count of students in hs admissions	OUT
OUT_discipline	discipline	OUT
OUT_school level	school level	OUT
OUT_per capita personal income 2014	per capita personal income 2014	OUT
OUT_eligible door to door students	eligible door to door students	OUT
OUT_teacher median beginning salary	teacher median beginning salary	OUT
OUT_count	count	OUT
OUT_count	count	OUT
OUT_unemployment insurance	unemployment insurance	OUT
OUT_retirement	retirement	OUT
OUT_feeder school dbn	feeder school dbn	OUT
OUT_number of children in licensed family homes	number of children in licensed family homes	OUT
OUT_u of u	u of u	OUT
OUT_grade level	grade level	OUT
OUT_industrial insurance	industrial insurance	OUT
OUT_leaders and specialists	leaders and specialists	OUT
OUT_college or institution type	college or institution type	OUT
OUT_count of offers	count of offers	OUT
OUT_subject	subject	OUT
OUT_state head start # of funded spaces	state head start # of funded spaces	OUT
OUT_college	college	OUT
OUT_title	title	OUT
OUT_class size	class size	OUT
OUT_latitude	latitude	OUT
OUT_state operating cost	state operating cost	OUT
OUT_debtpayment10 yr	debtpayment10 yr	OUT
OUT_opt code	opt code	OUT
OUT_tap college name	tap college name	OUT
OUT_tap college name	tap college name	OUT
OUT_the geom	the geom	OUT
OUT_the geom	the geom	OUT
OUT_grade span	grade span	OUT
OUT_program type	program type	OUT
OUT_program type	program type	OUT
OUT_dsu	dsu	OUT
OUT_program category	program category	OUT
OUT_see footnotes re: totals	see footnotes re: totals	OUT
OUT_qualifier	qualifier	OUT
