stc_label	sentence	category
18_2013_-_2018_school_e	2013 - 2018 school ela results	Table
OUT_percent change 2014	percent change 2014	OUT
IN_level 3 #	level 3 #	IN
IN_level 4 #	level 4 #	IN
IN_mean scale score	mean scale score	IN
IN_level 3+4 %	level 3+4 %	IN
IN_level 2 #	level 2 #	IN
IN_level 4 %	level 4 %	IN
IN_level 3 %	level 3 %	IN
IN_level 3+4 #	level 3+4 #	IN
IN_level 1 #	level 1 #	IN
IN_level 2 %	level 2 %	IN
IN_level 1 %	level 1 %	IN
OUT_progress rpt 10-11	progress rpt 10-11	OUT
IN_number tested	number tested	IN
IN_school name	school name	IN
OUT_ytd enrollment	ytd enrollment	OUT
IN_year	year	IN
OUT_percent partially receiving	percent partially receiving	OUT
IN_category	category	IN
OUT_long- term disability	long- term disability	OUT
OUT_q14 c3 r3	q14 c3 r3	OUT
OUT_score	score	OUT
OUT_q10 2	q10 2	OUT
OUT_enrollment type code	enrollment type code	OUT
OUT_response	response	OUT
OUT_count of students in hs admissions	count of students in hs admissions	OUT
OUT_location name	location name	OUT
OUT_teacher median beginning salary	teacher median beginning salary	OUT
OUT_total teacher benefits	total teacher benefits	OUT
OUT_college enroll 2010-11	college enroll 2010-11	OUT
OUT_operating cost per student	operating cost per student	OUT
OUT_grade 5 regular membership	grade 5 regular membership	OUT
IN_grade	grade	IN
OUT_q23 c3 r2	q23 c3 r2	OUT
OUT_total open accounts as of 12/31/2013	total open accounts as of 12/31/2013	OUT
OUT_number of classes	number of classes	OUT
OUT_number of classes	number of classes	OUT
OUT_core subject	core subject	OUT
OUT_subject	subject	OUT
OUT_state head start # of funded spaces	state head start # of funded spaces	OUT
OUT_state head start # of funded spaces	state head start # of funded spaces	OUT
OUT_town code	town code	OUT
OUT_contact hrs:	contact hrs:	OUT
OUT_shape st ar	shape st ar	OUT
OUT_district number	district number	OUT
OUT_section	section	OUT
OUT_pct stu safe 2014	pct stu safe 2014	OUT
OUT_opt code	opt code	OUT
OUT_main	main	OUT
OUT_the geom	the geom	OUT
OUT_the geom	the geom	OUT
OUT_location code	location code	OUT
OUT_ytd	ytd	OUT
OUT_type	type	OUT
OUT_type	type	OUT
OUT_date	date	OUT
OUT_district	district	OUT
OUT_district	district	OUT
OUT_number of offers	number of offers	OUT
OUT_school	school	OUT
