stc_label	sentence	category
27_2014-2015_arts_surve	2014-2015 arts survey data	Table
OUT_ytd % attendance	ytd % attendance	OUT
OUT_rigorous instruction - percent positive	rigorous instruction - percent positive	OUT
OUT_stem % of total graduates	stem % of total graduates	OUT
OUT_percent hispanic	percent hispanic	OUT
OUT_quality review - how clearly are high expectations communicated to students and staff?	quality review - how clearly are high expectations communicated to students and staff?	OUT
OUT_graduation 2011-12	graduation 2011-12	OUT
OUT_school name	school name	OUT
OUT_sat math avg. score	sat math avg. score	OUT
IN_q4 2	q4 2	IN
IN_q5 2	q5 2	IN
IN_q7 2	q7 2	IN
IN_q8 2	q8 2	IN
OUT_year	year	OUT
IN_q3 2	q3 2	IN
IN_q6 2	q6 2	IN
IN_q1 2	q1 2	IN
OUT_code type	code type	OUT
OUT_category	category	OUT
IN_q16 c3 r4	q16 c3 r4	IN
IN_q16 c3 r2	q16 c3 r2	IN
IN_q14 c3 r2	q14 c3 r2	IN
IN_q14 c3 r4	q14 c3 r4	IN
IN_q10 2	q10 2	IN
IN_q16 c3 r3	q16 c3 r3	IN
IN_q17 c3 r4	q17 c3 r4	IN
IN_q16 c3 r1	q16 c3 r1	IN
IN_q17 c3 r2	q17 c3 r2	IN
IN_q12 r4 c3	q12 r4 c3	IN
IN_q14 c3 r1	q14 c3 r1	IN
IN_q14 c3 r3	q14 c3 r3	IN
IN_q12 r2 c3	q12 r2 c3	IN
IN_q12 r1 c3	q12 r1 c3	IN
IN_q17 c3 r3	q17 c3 r3	IN
IN_q12 r3 c3	q12 r3 c3	IN
IN_q17 c3 r1	q17 c3 r1	IN
IN_q15 c3 r2	q15 c3 r2	IN
IN_q15 c3 r4	q15 c3 r4	IN
IN_q15 c3 r3	q15 c3 r3	IN
IN_q15 c3 r1	q15 c3 r1	IN
OUT_total benefits	total benefits	OUT
OUT_month	month	OUT
OUT_not receiving	not receiving	OUT
OUT_operating cost per student	operating cost per student	OUT
OUT_staff completing training	staff completing training	OUT
OUT_staff completing training	staff completing training	OUT
OUT_e ls	e ls	OUT
OUT_number of sessions	number of sessions	OUT
OUT_scholarship name	scholarship name	OUT
OUT_classification of instructional program	classification of instructional program	OUT
OUT_five yr ave	five yr ave	OUT
OUT_site borough	site borough	OUT
OUT_city	city	OUT
OUT_subject area	subject area	OUT
OUT_unique destinations	unique destinations	OUT
OUT_program code	program code	OUT
OUT_county	county	OUT
OUT_district	district	OUT
OUT_fy 11	fy 11	OUT
OUT_entity name	entity name	OUT
OUT_school4 definition	school4 definition	OUT
