stc_label	sentence	category
32_2015_-_2016_discharg	2015 - 2016 discharge reporting by swd - ms	Table
OUT_grade 3 end year	grade 3 end year	OUT
OUT_total parent response rate	total parent response rate	OUT
OUT_total engagement score	total engagement score	OUT
OUT_school type	school type	OUT
OUT_quality review - how clearly are high expectations communicated to students and staff?	quality review - how clearly are high expectations communicated to students and staff?	OUT
OUT_overall score	overall score	OUT
OUT_number tested	number tested	OUT
IN_total enrolled students	total enrolled students	IN
OUT_school year	school year	OUT
OUT_school year	school year	OUT
OUT_ecers observation average score	ecers observation average score	OUT
OUT_percent of students in program / grade / subject	percent of students in program / grade / subject	OUT
OUT_demographic	demographic	OUT
OUT_long- term disability	long- term disability	OUT
OUT_q5 2	q5 2	OUT
OUT_year	year	OUT
OUT_year	year	OUT
IN_student category	student category	IN
IN_code type	code type	IN
OUT_total	total	OUT
OUT_score	score	OUT
OUT_selection criteria	selection criteria	OUT
OUT_selection criteria	selection criteria	OUT
OUT_enrollment type code	enrollment type code	OUT
OUT_enrollment type code	enrollment type code	OUT
OUT_scores	scores	OUT
OUT_num of ap total exams taken	num of ap total exams taken	OUT
OUT_lea	lea	OUT
OUT_headcount type	headcount type	OUT
OUT_principal	principal	OUT
OUT_metric type	metric type	OUT
OUT_total teacher compensation	total teacher compensation	OUT
OUT_count	count	OUT
OUT_college enroll 2010-11	college enroll 2010-11	OUT
OUT_month	month	OUT
IN_count of students	count of students	IN
OUT_life insurance	life insurance	OUT
OUT_operating cost per student	operating cost per student	OUT
OUT_staff completing training	staff completing training	OUT
OUT_grade 10 regular membership	grade 10 regular membership	OUT
OUT_feeder school dbn	feeder school dbn	OUT
OUT_grade level	grade level	OUT
OUT_snow	snow	OUT
OUT_city council district	city council district	OUT
OUT_school3 secondary address	school3 secondary address	OUT
OUT_family guide name	family guide name	OUT
OUT_section	section	OUT
OUT_municipality	municipality	OUT
OUT_neighbor 6	neighbor 6	OUT
OUT_lang. arts	lang. arts	OUT
OUT_other pros and parapros	other pros and parapros	OUT
IN_geographic unit	geographic unit	IN
OUT_program code	program code	OUT
OUT_program code	program code	OUT
OUT_suu	suu	OUT
OUT_fy	fy	OUT
OUT_district	district	OUT
OUT_district	district	OUT
OUT_term	term	OUT
OUT_school district	school district	OUT
