stc_label	sentence	category
48_2019-_2020_submissio	2019- 2020 submission mf ll231 7142020	Table
IN_lgbtqgnc training - teachers	lgbtqgnc training - teachers	IN
OUT_students	students	OUT
OUT_u of u	u of u	OUT
OUT_processing snapshot date	processing snapshot date	OUT
OUT_mathematics	mathematics	OUT
OUT_snow	snow	OUT
OUT_math	math	OUT
IN_lgbtqgnc training - other	lgbtqgnc training - other	IN
OUT_count of students	count of students	OUT
OUT_elementary counselors	elementary counselors	OUT
OUT_county name	county name	OUT
OUT_county name	county name	OUT
OUT_school4 definition	school4 definition	OUT
OUT_primary program type	primary program type	OUT
OUT_soc. sec.	soc. sec.	OUT
OUT_school	school	OUT
OUT_school	school	OUT
IN_lgbtqgnc training - admin	lgbtqgnc training - admin	IN
OUT_enrollment type description	enrollment type description	OUT
OUT_district	district	OUT
OUT_link to schoolâ€™s virtual opportunities	link to schoolâ€™s virtual opportunities	OUT
OUT_dsu	dsu	OUT
OUT_location	location	OUT
OUT_institution or organization	institution or organization	OUT
OUT_program	program	OUT
OUT_location 1	location 1	OUT
OUT_sam link	sam link	OUT
IN_location code	location code	IN
OUT_room:	room:	OUT
OUT_site id	site id	OUT
OUT_city council district	city council district	OUT
OUT_planning regions	planning regions	OUT
IN_location category description	location category description	IN
OUT_partially receiving	partially receiving	OUT
OUT_headcount type	headcount type	OUT
IN_gender sexuality alliance?	gender sexuality alliance?	IN
IN_location name	location name	IN
OUT_student satisfaction historic avg similar schls	student satisfaction historic avg similar schls	OUT
OUT_num of ap total exams taken	num of ap total exams taken	OUT
OUT_full-time equivalent enrollment	full-time equivalent enrollment	OUT
OUT_code type	code type	OUT
OUT_student attendance rate	student attendance rate	OUT
OUT_closing the achievement gap points	closing the achievement gap points	OUT
OUT_mean scale score	mean scale score	OUT
OUT_percent scoring 80 or above	percent scoring 80 or above	OUT
OUT_ytd enrollment	ytd enrollment	OUT
OUT_ytd enrollment	ytd enrollment	OUT
OUT_year	year	OUT
OUT_year	year	OUT
OUT_year	year	OUT
OUT_school name	school name	OUT
OUT_school name	school name	OUT
OUT_school name	school name	OUT
OUT_kindergarten students	kindergarten students	OUT
OUT_stem % of total graduates	stem % of total graduates	OUT
OUT_level 3: %	level 3: %	OUT
OUT_level 1: %	level 1: %	OUT
OUT_q17 c3 r1	q17 c3 r1	OUT
OUT_class instructional support score	class instructional support score	OUT
OUT_school year	school year	OUT
