stc_label	sentence	category
5_2010_-_2011_school_a	2010 - 2011 school attendance and enrollment statistics by district	Table
OUT_total enrolled students	total enrolled students	OUT
OUT_pre- k students	pre- k students	OUT
OUT_pre- k students	pre- k students	OUT
OUT_graduation rate 2013	graduation rate 2013	OUT
IN_ytd % attendance	ytd % attendance	IN
OUT_total engagement score	total engagement score	OUT
OUT_teacher attendance rate	teacher attendance rate	OUT
OUT_percent rank 2014	percent rank 2014	OUT
OUT_ecers space/ furnishings score	ecers space/ furnishings score	OUT
OUT_percent fully receiving	percent fully receiving	OUT
OUT_level 2 %	level 2 %	OUT
OUT_percent proficient	percent proficient	OUT
OUT_ecers interaction score	ecers interaction score	OUT
OUT_collaborative teachers - percent positive	collaborative teachers - percent positive	OUT
IN_ytd enrollment	ytd enrollment	IN
OUT_grade 5	grade 5	OUT
OUT_grade 2	grade 2	OUT
OUT_quality review - how clearly are high expectations communicated to students and staff?	quality review - how clearly are high expectations communicated to students and staff?	OUT
OUT_pct level 3 and 4	pct level 3 and 4	OUT
OUT_total reading % goal range	total reading % goal range	OUT
OUT_number tested	number tested	OUT
OUT_performance grade	performance grade	OUT
OUT_total	total	OUT
OUT_school name	school name	OUT
OUT_school name	school name	OUT
OUT_college name	college name	OUT
OUT_quality review year	quality review year	OUT
OUT_q16 c3 r2	q16 c3 r2	OUT
OUT_stem graduates ushe	stem graduates ushe	OUT
OUT_evaluations	evaluations	OUT
OUT_student count	student count	OUT
OUT_graduation rate boro	graduation rate boro	OUT
OUT_location name	location name	OUT
OUT_location name	location name	OUT
OUT_q21 c3 r3	q21 c3 r3	OUT
OUT_retirement	retirement	OUT
OUT_sample date	sample date	OUT
OUT_number of sessions	number of sessions	OUT
OUT_number of classes	number of classes	OUT
OUT_meet 2018 annual	meet 2018 annual	OUT
OUT_dental insurance	dental insurance	OUT
OUT_total field trips	total field trips	OUT
OUT_kindergarten	kindergarten	OUT
OUT_core subject	core subject	OUT
OUT_college	college	OUT
OUT_town code	town code	OUT
OUT_five yr ave	five yr ave	OUT
OUT_town	town	OUT
OUT_neighbor 2	neighbor 2	OUT
OUT_section	section	OUT
OUT_longitude	longitude	OUT
OUT_the geom	the geom	OUT
OUT_librarians	librarians	OUT
OUT_fy 12	fy 12	OUT
OUT_tap college code	tap college code	OUT
IN_district	district	IN
OUT_type of institution or organization	type of institution or organization	OUT
OUT_entity name	entity name	OUT
OUT_school district	school district	OUT
OUT_central office administrators	central office administrators	OUT
