stc_label	sentence	category
107_statewide_cmt_3rd_gr	statewide cmt 3rd grade reading and math: 2007-2013	Table
IN_total reading % goal range	total reading % goal range	IN
OUT_graduation 2010-11	graduation 2010-11	OUT
OUT_percent of graduates that completed 2+ credits in arts	percent of graduates that completed 2+ credits in arts	OUT
OUT_percent change 2013	percent change 2013	OUT
OUT_grade 5	grade 5	OUT
OUT_ytd enrollment	ytd enrollment	OUT
OUT_grade 4	grade 4	OUT
OUT_growth language all students possible	growth language all students possible	OUT
OUT_rigorous instruction - percent positive	rigorous instruction - percent positive	OUT
OUT_num of sat test takers	num of sat test takers	OUT
IN_total mathematics % goal range	total mathematics % goal range	IN
OUT_total student response rate	total student response rate	OUT
OUT_school name	school name	OUT
OUT_school name	school name	OUT
OUT_college name	college name	OUT
IN_year	year	IN
OUT_school year	school year	OUT
OUT_school age	school age	OUT
OUT_q22 2	q22 2	OUT
OUT_percent partially receiving	percent partially receiving	OUT
OUT_total	total	OUT
OUT_in effect as of 1/1/2014?	in effect as of 1/1/2014?	OUT
OUT_count ethnicity total	count ethnicity total	OUT
OUT_head count	head count	OUT
OUT_school yea	school yea	OUT
OUT_principal	principal	OUT
OUT_location name	location name	OUT
OUT_count us citizen	count us citizen	OUT
OUT_count	count	OUT
OUT_count of students	count of students	OUT
OUT_health insurance	health insurance	OUT
OUT_social security	social security	OUT
OUT_staff completing training	staff completing training	OUT
OUT_teachers secondary	teachers secondary	OUT
OUT_grade	grade	OUT
OUT_lgbtqgnc training - teachers	lgbtqgnc training - teachers	OUT
OUT_total open accounts as of 12/31/2013	total open accounts as of 12/31/2013	OUT
OUT_number of students	number of students	OUT
OUT_charter school	charter school	OUT
OUT_mathematics	mathematics	OUT
OUT_subject	subject	OUT
OUT_network nam	network nam	OUT
OUT_neighbor 7	neighbor 7	OUT
OUT_sam link	sam link	OUT
IN_group	group	IN
OUT_title	title	OUT
OUT_family guide name	family guide name	OUT
OUT_program	program	OUT
OUT_enrollment type description	enrollment type description	OUT
OUT_sign up today!	sign up today!	OUT
OUT_ytd	ytd	OUT
OUT_district	district	OUT
OUT_district	district	OUT
OUT_district	district	OUT
OUT_core code	core code	OUT
OUT_number of offers	number of offers	OUT
OUT_fy 13	fy 13	OUT
OUT_school	school	OUT
OUT_county name	county name	OUT
OUT_school district	school district	OUT
