stc_label	sentence	category
108_stem_grads_5_years_u	stem grads 5 years utah ushe 2009-2013	Table
IN_stem % of total graduates	stem % of total graduates	IN
OUT_total grads num	total grads num	OUT
OUT_num achieving apm	num achieving apm	OUT
OUT_class classroom organization score	class classroom organization score	OUT
OUT_total engagement score	total engagement score	OUT
OUT_school age	school age	OUT
OUT_trust - percent positive	trust - percent positive	OUT
OUT_collaborative teachers - survey percent positive	collaborative teachers - survey percent positive	OUT
OUT_ecers- r interaction score	ecers- r interaction score	OUT
OUT_total academic expectations score	total academic expectations score	OUT
OUT_student response rate	student response rate	OUT
OUT_student response rate	student response rate	OUT
OUT_level4 n	level4 n	OUT
IN_school year	school year	IN
OUT_students meeting all four ccr benchmarks act	students meeting all four ccr benchmarks act	OUT
OUT_school name	school name	OUT
OUT_school name	school name	OUT
OUT_school name	school name	OUT
OUT_ytd % attendance	ytd % attendance	OUT
OUT_ytd % attendance	ytd % attendance	OUT
OUT_ytd % attendance	ytd % attendance	OUT
OUT_q3 2	q3 2	OUT
OUT_q3 2	q3 2	OUT
OUT_percent partially receiving	percent partially receiving	OUT
OUT_student category	student category	OUT
IN_total graduates ushe	total graduates ushe	IN
OUT_q22 2	q22 2	OUT
IN_stem graduates ushe	stem graduates ushe	IN
OUT_total	total	OUT
OUT_enrollment type code	enrollment type code	OUT
OUT_fall term	fall term	OUT
OUT_count of students in hs admissions	count of students in hs admissions	OUT
OUT_proposed tax rate	proposed tax rate	OUT
OUT_total benefits	total benefits	OUT
OUT_retirement	retirement	OUT
OUT_itinerant health teachers	itinerant health teachers	OUT
OUT_classification of instructional program	classification of instructional program	OUT
OUT_count of offers	count of offers	OUT
OUT_subject	subject	OUT
OUT_subject	subject	OUT
OUT_science	science	OUT
OUT_link	link	OUT
OUT_sam link	sam link	OUT
OUT_city	city	OUT
OUT_latitude	latitude	OUT
OUT_latitude	latitude	OUT
OUT_sector type	sector type	OUT
OUT_librarian parapros	librarian parapros	OUT
OUT_secondary couselors	secondary couselors	OUT
OUT_payments by issuer in 2013	payments by issuer in 2013	OUT
OUT_school principals & assistant principals	school principals & assistant principals	OUT
OUT_district	district	OUT
OUT_district	district	OUT
OUT_type of institution or organization	type of institution or organization	OUT
OUT_entity name	entity name	OUT
OUT_lgbtqgnc training - admin	lgbtqgnc training - admin	OUT
OUT_school	school	OUT
OUT_school	school	OUT
OUT_location	location	OUT
OUT_control	control	OUT
