stc_label	sentence	category
112_ucat_membership_hour	ucat membership hours 2011-2015 ucat	Table
IN_fy 14-15	fy 14-15	IN
OUT_lang. arts	lang. arts	OUT
IN_fy 12	fy 12	IN
OUT_group	group	OUT
IN_fy 14	fy 14	IN
OUT_number of children in licensed and regulated centers	number of children in licensed and regulated centers	OUT
IN_fy 13	fy 13	IN
OUT_term	term	OUT
IN_fy 15	fy 15	IN
IN_school	school	IN
OUT_school3 definition	school3 definition	OUT
OUT_sample id	sample id	OUT
OUT_district name	district name	OUT
OUT_college or institution name	college or institution name	OUT
IN_fy 11	fy 11	IN
OUT_description of code	description of code	OUT
OUT_entity name	entity name	OUT
OUT_district	district	OUT
OUT_definition	definition	OUT
OUT_neighbor 5	neighbor 5	OUT
OUT_district number	district number	OUT
OUT_school2 secondary address	school2 secondary address	OUT
OUT_town code	town code	OUT
OUT_town	town	OUT
OUT_students	students	OUT
OUT_link	link	OUT
OUT_link	link	OUT
OUT_lgbtqgnc training - teachers	lgbtqgnc training - teachers	OUT
OUT_state head start # of funded spaces	state head start # of funded spaces	OUT
OUT_grade	grade	OUT
IN_type of school	type of school	IN
OUT_staff completing training	staff completing training	OUT
OUT_staff completing training	staff completing training	OUT
OUT_life insurance	life insurance	OUT
OUT_college region name	college region name	OUT
OUT_retirement	retirement	OUT
OUT_count	count	OUT
OUT_college ready 11-12	college ready 11-12	OUT
OUT_metric type	metric type	OUT
OUT_location name	location name	OUT
OUT_student count	student count	OUT
OUT_head count	head count	OUT
OUT_head count	head count	OUT
OUT_code type	code type	OUT
OUT_total reading % goal range	total reading % goal range	OUT
OUT_school- year	school- year	OUT
OUT_percent of students in program / grade / subject	percent of students in program / grade / subject	OUT
OUT_total	total	OUT
IN_growth	growth	IN
OUT_grade 3 begin year	grade 3 begin year	OUT
OUT_state rank 2014	state rank 2014	OUT
OUT_percent scoring below 65	percent scoring below 65	OUT
OUT_school name	school name	OUT
OUT_school name	school name	OUT
OUT_school name	school name	OUT
OUT_school name	school name	OUT
OUT_school name	school name	OUT
OUT_mean scale score	mean scale score	OUT
OUT_pct level 3	pct level 3	OUT
OUT_number tested	number tested	OUT
