stc_label	sentence	category
39_2016_doe_high_school	2016 doe high school performance  directory	Table
OUT_sam link	sam link	OUT
IN_pct stu enough variety 2014	pct stu enough variety 2014	IN
OUT_district number	district number	OUT
OUT_district number	district number	OUT
OUT_course section	course section	OUT
OUT_local education agencies	local education agencies	OUT
OUT_local education agencies	local education agencies	OUT
OUT_tap sector group	tap sector group	OUT
OUT_municipality	municipality	OUT
IN_pct stu safe 2014	pct stu safe 2014	IN
OUT_the geom	the geom	OUT
OUT_code	code	OUT
OUT_description of code	description of code	OUT
OUT_school	school	OUT
OUT_number of children in licensed and regulated centers	number of children in licensed and regulated centers	OUT
OUT_sector type	sector type	OUT
OUT_subject	subject	OUT
IN_ontrack year1 boro	ontrack year1 boro	IN
OUT_grade	grade	OUT
IN_qr teacher collaboration	qr teacher collaboration	IN
OUT_percent public assistance total	percent public assistance total	OUT
OUT_q20 c3 r2	q20 c3 r2	OUT
OUT_month	month	OUT
OUT_month	month	OUT
OUT_not receiving	not receiving	OUT
IN_college career rate boro	college career rate boro	IN
IN_qr instruction	qr instruction	IN
OUT_location name	location name	OUT
OUT_discipline	discipline	OUT
IN_graduation rate boro	graduation rate boro	IN
OUT_count of students in hs admissions	count of students in hs admissions	OUT
IN_qr curriculum	qr curriculum	IN
OUT_fall term	fall term	OUT
OUT_q15 c3 r1	q15 c3 r1	OUT
OUT_fully receiving	fully receiving	OUT
OUT_state student count	state student count	OUT
OUT_q12 r1 c3	q12 r1 c3	OUT
IN_qr assessing student learning	qr assessing student learning	IN
OUT_total graduates ushe	total graduates ushe	OUT
OUT_growth math all students	growth math all students	OUT
OUT_effective school leadership - percent positive	effective school leadership - percent positive	OUT
IN_quality review year	quality review year	IN
OUT_grade 3 end year	grade 3 end year	OUT
IN_qr high expectations	qr high expectations	IN
OUT_num of ap test takers	num of ap test takers	OUT
OUT_school type	school type	OUT
IN_graduation rate 2014	graduation rate 2014	IN
IN_graduation rate 2013	graduation rate 2013	IN
OUT_num of sat test takers	num of sat test takers	OUT
OUT_trust score	trust score	OUT
OUT_school- year	school- year	OUT
IN_college career rate 2014	college career rate 2014	IN
OUT_demographic	demographic	OUT
IN_college career rate 2013	college career rate 2013	IN
OUT_year	year	OUT
OUT_year	year	OUT
OUT_year	year	OUT
OUT_year	year	OUT
OUT_total grads num	total grads num	OUT
OUT_percent not receiving	percent not receiving	OUT
