stc_label	sentence	category
3_2010_-_2011_graduati	2010 - 2011 graduation outcomes - school level - regents-based math/ela apm - ell	Table
OUT_percent change 2013	percent change 2013	OUT
IN_pct of cohort achieving apm	pct of cohort achieving apm	IN
IN_pct of graduates achieving apm	pct of graduates achieving apm	IN
IN_total grads num	total grads num	IN
OUT_growth science below proficient possible	growth science below proficient possible	OUT
IN_total cohort num	total cohort num	IN
IN_cohort year	cohort year	IN
IN_num achieving apm	num achieving apm	IN
OUT_quality review year	quality review year	OUT
OUT_growth science all students	growth science all students	OUT
OUT_growth science all students possible	growth science all students possible	OUT
IN_school name	school name	IN
OUT_school year	school year	OUT
OUT_college name	college name	OUT
IN_demographic	demographic	IN
OUT_year	year	OUT
OUT_code type	code type	OUT
OUT_q14 c3 r2	q14 c3 r2	OUT
OUT_q14 c3 r4	q14 c3 r4	OUT
OUT_score	score	OUT
OUT_enrollment type code	enrollment type code	OUT
OUT_stem graduates ushe	stem graduates ushe	OUT
OUT_q15 c3 r3	q15 c3 r3	OUT
OUT_metric value	metric value	OUT
OUT_fully receiving	fully receiving	OUT
OUT_count of students in hs admissions	count of students in hs admissions	OUT
OUT_college career rate historic avg similar schls	college career rate historic avg similar schls	OUT
OUT_count permanent resident alien	count permanent resident alien	OUT
OUT_metric type	metric type	OUT
OUT_undergraduate full- time	undergraduate full- time	OUT
OUT_unemployment insurance	unemployment insurance	OUT
OUT_operating cost per student	operating cost per student	OUT
OUT_state operating cost per student	state operating cost per student	OUT
OUT_grade	grade	OUT
OUT_grade	grade	OUT
OUT_feeder school dbn	feeder school dbn	OUT
OUT_number of sessions	number of sessions	OUT
OUT_number of sessions	number of sessions	OUT
OUT_total field trips	total field trips	OUT
OUT_number of students	number of students	OUT
OUT_new accounts opened in 2013	new accounts opened in 2013	OUT
OUT_unemploy-ment insurance	unemploy-ment insurance	OUT
OUT_network nam	network nam	OUT
OUT_town or city	town or city	OUT
OUT_sample site	sample site	OUT
OUT_contact hrs:	contact hrs:	OUT
OUT_local education agencies	local education agencies	OUT
OUT_record type code	record type code	OUT
OUT_institution or organization	institution or organization	OUT
OUT_description	description	OUT
OUT_the geom	the geom	OUT
OUT_program type	program type	OUT
OUT_ytd	ytd	OUT
OUT_county	county	OUT
OUT_district	district	OUT
OUT_district	district	OUT
OUT_service category	service category	OUT
OUT_school	school	OUT
OUT_location	location	OUT
OUT_county name	county name	OUT
