stc_label	sentence	category
43_2018_-_2019_students	2018 - 2019 students in temporary housing additional sections report	Table
OUT_cohort	cohort	OUT
OUT_number tested	number tested	OUT
OUT_demographic category	demographic category	OUT
OUT_pct of cohort achieving apm	pct of cohort achieving apm	OUT
OUT_grade 1	grade 1	OUT
OUT_level 3 %	level 3 %	OUT
OUT_pct level 2	pct level 2	OUT
OUT_level 4 #	level 4 #	OUT
OUT_total engagement score	total engagement score	OUT
OUT_graduation rate 2013	graduation rate 2013	OUT
OUT_level 4: %	level 4: %	OUT
OUT_science proficient	science proficient	OUT
OUT_full-time equivalent enrollment	full-time equivalent enrollment	OUT
OUT_quality review rating	quality review rating	OUT
OUT_school name	school name	OUT
OUT_school name	school name	OUT
OUT_school year	school year	OUT
OUT_percent white non hispanic	percent white non hispanic	OUT
OUT_overall possible	overall possible	OUT
OUT_total student response rate %	total student response rate %	OUT
OUT_q1 2	q1 2	OUT
OUT_eligible stop to school students	eligible stop to school students	OUT
OUT_code type	code type	OUT
OUT_percent scoring cr	percent scoring cr	OUT
OUT_literacy	literacy	OUT
IN_response	response	IN
OUT_ushe total	ushe total	OUT
OUT_state student count	state student count	OUT
OUT_proposed tax rate	proposed tax rate	OUT
OUT_count	count	OUT
OUT_health insurance	health insurance	OUT
OUT_grade 9 regular membership	grade 9 regular membership	OUT
OUT_q23 c3 r1	q23 c3 r1	OUT
OUT_meet 2018 annual	meet 2018 annual	OUT
OUT_subject	subject	OUT
OUT_core subject	core subject	OUT
OUT_town	town	OUT
OUT_science	science	OUT
OUT_city council district	city council district	OUT
IN_section	section	IN
OUT_latitude	latitude	OUT
OUT_subcategory	subcategory	OUT
OUT_math	math	OUT
OUT_class size	class size	OUT
OUT_debtpayment10 yr	debtpayment10 yr	OUT
OUT_institution or organization	institution or organization	OUT
IN_description	description	IN
OUT_lang. arts	lang. arts	OUT
OUT_record type code	record type code	OUT
OUT_program code	program code	OUT
OUT_county	county	OUT
OUT_program category	program category	OUT
OUT_district	district	OUT
OUT_district	district	OUT
OUT_entity name	entity name	OUT
OUT_tap college code	tap college code	OUT
OUT_number of children in licensed or regulated centers, group, and youth camps	number of children in licensed or regulated centers, group, and youth camps	OUT
OUT_number of children in licensed and regulated centers	number of children in licensed and regulated centers	OUT
OUT_school	school	OUT
OUT_school	school	OUT
