stc_label	sentence	category
54_average_salary_by_co	average salary by college graduate in utah 2020	Table
OUT_eligible door to door students	eligible door to door students	OUT
OUT_grade 4 regular membership	grade 4 regular membership	OUT
OUT_operating cost per student	operating cost per student	OUT
OUT_grade	grade	OUT
OUT_number of sessions	number of sessions	OUT
OUT_sum of f status and itinerant	sum of f status and itinerant	OUT
OUT_number of children in unlicesed relative care	number of children in unlicesed relative care	OUT
OUT_grade level	grade level	OUT
OUT_scholarship name	scholarship name	OUT
OUT_number of students	number of students	OUT
OUT_composite class nbr	composite class nbr	OUT
OUT_class size	class size	OUT
OUT_class size	class size	OUT
IN_mn earn wne p10	mn earn wne p10	IN
OUT_meals	meals	OUT
OUT_ytd	ytd	OUT
OUT_utah	utah	OUT
OUT_language	language	OUT
OUT_school district	school district	OUT
OUT_lgbtqgnc training - admin	lgbtqgnc training - admin	OUT
IN_md earn wne p10	md earn wne p10	IN
OUT_district	district	OUT
OUT_the geom	the geom	OUT
OUT_school support	school support	OUT
OUT_geographic unit	geographic unit	OUT
IN_ind inc avg	ind inc avg	IN
IN_longitude	longitude	IN
IN_latitude	latitude	IN
OUT_local education agencies	local education agencies	OUT
OUT_section	section	OUT
IN_zip	zip	IN
IN_city	city	IN
OUT_f status health teachers	f status health teachers	OUT
OUT_fall term	fall term	OUT
OUT_fall term	fall term	OUT
OUT_location name	location name	OUT
OUT_q15 c3 r1	q15 c3 r1	OUT
OUT_scores	scores	OUT
OUT_sat writing avg. score	sat writing avg. score	OUT
OUT_sat writing avg. score	sat writing avg. score	OUT
OUT_num of ap total exams taken	num of ap total exams taken	OUT
OUT_total	total	OUT
OUT_total reading % goal range	total reading % goal range	OUT
OUT_percent fully receiving	percent fully receiving	OUT
OUT_percent of students in program / grade / subject	percent of students in program / grade / subject	OUT
OUT_quality review - how well does the school assess what students are learning?	quality review - how well does the school assess what students are learning?	OUT
OUT_year	year	OUT
OUT_mean scale score	mean scale score	OUT
OUT_level3+4 n	level3+4 n	OUT
OUT_trust - percent positive	trust - percent positive	OUT
OUT_level1 n	level1 n	OUT
OUT_school name	school name	OUT
OUT_ytd enrollment	ytd enrollment	OUT
OUT_level 3 #	level 3 #	OUT
OUT_level 3 #	level 3 #	OUT
OUT_number scoring 65 or above	number scoring 65 or above	OUT
OUT_grade 4	grade 4	OUT
OUT_demographic	demographic	OUT
OUT_total safety and respect score	total safety and respect score	OUT
OUT_student category	student category	OUT
