stc_label	sentence	category
58_care_4_kids_(c4k)_nu	care 4 kids (c4k) number of children by town october 2019	Table
OUT_tap college name	tap college name	OUT
OUT_subject	subject	OUT
IN_see footnotes re: totals	see footnotes re: totals	IN
OUT_fy 15	fy 15	OUT
IN_number of children in licensed or regulated centers, group, and youth camps	number of children in licensed or regulated centers, group, and youth camps	IN
IN_number of children in unlicensed relative care	number of children in unlicensed relative care	IN
OUT_mathematics	mathematics	OUT
OUT_k	k	OUT
OUT_suu	suu	OUT
OUT_district	district	OUT
OUT_district	district	OUT
OUT_librarians	librarians	OUT
OUT_librarian parapros	librarian parapros	OUT
OUT_geographic unit	geographic unit	OUT
OUT_second address	second address	OUT
OUT_meet 2018 annual	meet 2018 annual	OUT
OUT_family guide name	family guide name	OUT
OUT_latitude	latitude	OUT
OUT_grade level	grade level	OUT
OUT_section	section	OUT
IN_town code	town code	IN
IN_number of children in licensed family homes	number of children in licensed family homes	IN
IN_town or city	town or city	IN
OUT_central office support	central office support	OUT
OUT_link to school's my schools page	link to school's my schools page	OUT
OUT_sample date	sample date	OUT
OUT_grade	grade	OUT
OUT_grade	grade	OUT
OUT_grade	grade	OUT
OUT_staff completing training	staff completing training	OUT
IN_total number of children . distinct count, not the sum of columns.	total number of children . distinct count, not the sum of columns.	IN
OUT_count	count	OUT
OUT_total teacher benefits	total teacher benefits	OUT
OUT_per capita personal income 2014	per capita personal income 2014	OUT
OUT_metric type	metric type	OUT
OUT_headcount type	headcount type	OUT
OUT_proposed tax rate	proposed tax rate	OUT
OUT_evaluations	evaluations	OUT
OUT_head count	head count	OUT
OUT_head count	head count	OUT
OUT_score	score	OUT
OUT_quality review - how clearly are high expectations communicated to students and staff?	quality review - how clearly are high expectations communicated to students and staff?	OUT
OUT_percent rank 2014	percent rank 2014	OUT
OUT_student satisfaction 2013	student satisfaction 2013	OUT
OUT_ecers- r most recent assessment year	ecers- r most recent assessment year	OUT
OUT_grade 3 begin year	grade 3 begin year	OUT
OUT_closing the achievement gap points	closing the achievement gap points	OUT
OUT_grade 3 end year	grade 3 end year	OUT
OUT_years of principal experience at this school	years of principal experience at this school	OUT
OUT_level3 n	level3 n	OUT
OUT_ecers oberservation average score	ecers oberservation average score	OUT
OUT_overall score	overall score	OUT
OUT_percent black	percent black	OUT
OUT_percent hispanic	percent hispanic	OUT
OUT_q4 2	q4 2	OUT
OUT_level 3+4 %	level 3+4 %	OUT
OUT_pct level 1	pct level 1	OUT
OUT_pct of cohort achieving apm	pct of cohort achieving apm	OUT
OUT_number tested	number tested	OUT
OUT_student category	student category	OUT
