stc_label	sentence	category
60_care_4_kids_unique_c	care 4 kids unique children by age group fy13	Table
OUT_classification of instructional program	classification of instructional program	OUT
OUT_subject	subject	OUT
OUT_subject	subject	OUT
OUT_processing snapshot date	processing snapshot date	OUT
OUT_processing snapshot date	processing snapshot date	OUT
OUT_county name	county name	OUT
OUT_lgbtqgnc training - teachers	lgbtqgnc training - teachers	OUT
OUT_ytd	ytd	OUT
OUT_school3 definition	school3 definition	OUT
OUT_staff completing training	staff completing training	OUT
OUT_staff completing training	staff completing training	OUT
OUT_school	school	OUT
OUT_number of children in licensed or regulated centers, group, and youth camps	number of children in licensed or regulated centers, group, and youth camps	OUT
OUT_lgbtqgnc training - admin	lgbtqgnc training - admin	OUT
OUT_program category	program category	OUT
OUT_suu	suu	OUT
OUT_district	district	OUT
OUT_district	district	OUT
OUT_district	district	OUT
OUT_code	code	OUT
OUT_dsu	dsu	OUT
OUT_subject area	subject area	OUT
OUT_subject area	subject area	OUT
OUT_percent public assistance total	percent public assistance total	OUT
OUT_district number	district number	OUT
OUT_latitude	latitude	OUT
OUT_school3 secondary address	school3 secondary address	OUT
OUT_title	title	OUT
OUT_location category description	location category description	OUT
IN_town	town	IN
OUT_total teacher compensation	total teacher compensation	OUT
OUT_per capita personal income 2013	per capita personal income 2013	OUT
OUT_metric type	metric type	OUT
OUT_not receiving	not receiving	OUT
OUT_student count	student count	OUT
OUT_fall term	fall term	OUT
OUT_enrollment type code	enrollment type code	OUT
IN_infant/ toddler	infant/ toddler	IN
OUT_full-time equivalent enrollment	full-time equivalent enrollment	OUT
OUT_total enrolled students	total enrolled students	OUT
OUT_school dbn	school dbn	OUT
OUT_student satisfaction 2012	student satisfaction 2012	OUT
OUT_grade 3 end year	grade 3 end year	OUT
OUT_collaborative teachers score	collaborative teachers score	OUT
OUT_years of principal experience at this school	years of principal experience at this school	OUT
OUT_level3 n	level3 n	OUT
OUT_graduation rate 2014	graduation rate 2014	OUT
OUT_ecers language reasoning rating	ecers language reasoning rating	OUT
OUT_ecers language reasoning score	ecers language reasoning score	OUT
OUT_school name	school name	OUT
OUT_school name	school name	OUT
OUT_level2 n	level2 n	OUT
IN_preschool age	preschool age	IN
OUT_year	year	OUT
OUT_level 3 %	level 3 %	OUT
OUT_total safety and respect score	total safety and respect score	OUT
OUT_feeder school name	feeder school name	OUT
OUT_category	category	OUT
IN_school age	school age	IN
OUT_community school district	community school district	OUT
