stc_label	sentence	category
66_college_credit_card_	college credit card agreements from the credit card act of 2009 for utah	Table
OUT_dental insurance	dental insurance	OUT
OUT_mathematics	mathematics	OUT
IN_new accounts opened in 2013	new accounts opened in 2013	IN
OUT_subject	subject	OUT
OUT_u of u	u of u	OUT
IN_total open accounts as of 12/31/2013	total open accounts as of 12/31/2013	IN
OUT_college	college	OUT
OUT_kindergarten	kindergarten	OUT
OUT_science	science	OUT
IN_status	status	IN
OUT_class size	class size	OUT
IN_payments by issuer in 2013	payments by issuer in 2013	IN
OUT_sam #	sam #	OUT
OUT_language	language	OUT
OUT_fy 15	fy 15	OUT
OUT_school	school	OUT
OUT_school	school	OUT
OUT_sample id	sample id	OUT
OUT_qr teacher collaboration	qr teacher collaboration	OUT
IN_type of institution or organization	type of institution or organization	IN
OUT_total vehicles	total vehicles	OUT
OUT_entity name	entity name	OUT
OUT_entity name	entity name	OUT
OUT_district	district	OUT
OUT_district	district	OUT
IN_location	location	IN
IN_credit card issuer	credit card issuer	IN
OUT_nation	nation	OUT
OUT_subject area	subject area	OUT
IN_institution or organization	institution or organization	IN
OUT_zip code	zip code	OUT
OUT_retirement	retirement	OUT
OUT_latitude	latitude	OUT
OUT_subcategory	subcategory	OUT
OUT_section	section	OUT
OUT_unemployment insurance	unemployment insurance	OUT
OUT_site borough	site borough	OUT
OUT_link to school's my schools page	link to school's my schools page	OUT
OUT_discipline	discipline	OUT
OUT_metric value	metric value	OUT
OUT_teachers special education	teachers special education	OUT
OUT_enrollment type code	enrollment type code	OUT
OUT_total	total	OUT
OUT_percent fully receiving	percent fully receiving	OUT
OUT_college career rate 2013	college career rate 2013	OUT
OUT_ecers- r most recent assessment year	ecers- r most recent assessment year	OUT
OUT_year	year	OUT
OUT_year	year	OUT
OUT_year	year	OUT
OUT_year	year	OUT
OUT_school type	school type	OUT
OUT_ecers- r program structure score	ecers- r program structure score	OUT
OUT_school year	school year	OUT
OUT_level 2 %	level 2 %	OUT
OUT_pct level 1	pct level 1	OUT
OUT_q1 2	q1 2	OUT
OUT_grade 6	grade 6	OUT
OUT_percent partially receiving	percent partially receiving	OUT
OUT_percent not receiving	percent not receiving	OUT
IN_in effect as of 1/1/2014?	in effect as of 1/1/2014?	IN
