stc_label	sentence	category
68_degrees_by_program_&	degrees by program & institution table 16.8 2014-15 utah	Table
OUT_grade	grade	OUT
OUT_staff completing training	staff completing training	OUT
OUT_staff completing training	staff completing training	OUT
OUT_number of sessions	number of sessions	OUT
OUT_number of classes	number of classes	OUT
OUT_health insurance	health insurance	OUT
IN_u of u	u of u	IN
OUT_scholarship name	scholarship name	OUT
IN_classification of instructional program	classification of instructional program	IN
OUT_count of students	count of students	OUT
OUT_unemploy-ment insurance	unemploy-ment insurance	OUT
OUT_count receives public assistance	count receives public assistance	OUT
OUT_month	month	OUT
OUT_core subject	core subject	OUT
IN_snow	snow	IN
OUT_science	science	OUT
OUT_math	math	OUT
OUT_median beginning salary	median beginning salary	OUT
OUT_count	count	OUT
OUT_record type code	record type code	OUT
OUT_county name	county name	OUT
OUT_program type	program type	OUT
IN_usu	usu	IN
OUT_language	language	OUT
OUT_fy 15	fy 15	OUT
OUT_sign up today!	sign up today!	OUT
OUT_total vehicles	total vehicles	OUT
IN_suu	suu	IN
OUT_entity name	entity name	OUT
OUT_district	district	OUT
OUT_district	district	OUT
IN_dsu	dsu	IN
OUT_main	main	OUT
OUT_main	main	OUT
OUT_geographic unit	geographic unit	OUT
OUT_classroom parapros	classroom parapros	OUT
OUT_zip	zip	OUT
OUT_contact hrs:	contact hrs:	OUT
OUT_town code	town code	OUT
OUT_link	link	OUT
OUT_graduate part- time	graduate part- time	OUT
OUT_location name	location name	OUT
OUT_state student count	state student count	OUT
IN_ushe total	ushe total	IN
OUT_q15 c3 r3	q15 c3 r3	OUT
OUT_num of ap exams passed	num of ap exams passed	OUT
OUT_total graduates ushe	total graduates ushe	OUT
OUT_percent of students in program / grade / subject	percent of students in program / grade / subject	OUT
OUT_teacher attendance rate	teacher attendance rate	OUT
OUT_total parent response ratem %	total parent response ratem %	OUT
OUT_level3 n	level3 n	OUT
OUT_level3 n	level3 n	OUT
OUT_ytd enrollment	ytd enrollment	OUT
OUT_school name	school name	OUT
OUT_school name	school name	OUT
OUT_number tested	number tested	OUT
OUT_number tested	number tested	OUT
OUT_school age	school age	OUT
OUT_response	response	OUT
OUT_exited to ecse - early childhood special education	exited to ecse - early childhood special education	OUT
