stc_label	sentence	category
7_2011_-_2012_d75_prog	2011 - 2012 d75 progress report	Table
OUT_level 3 %	level 3 %	OUT
OUT_num level 3 and 4	num level 3 and 4	OUT
OUT_ecers- r language reasoning score	ecers- r language reasoning score	OUT
IN_closing the achievement gap points	closing the achievement gap points	IN
OUT_growth science all students	growth science all students	OUT
IN_overall grade	overall grade	IN
IN_overall score	overall score	IN
IN_progress grade	progress grade	IN
OUT_percent permanent resident alien	percent permanent resident alien	OUT
IN_performance grade	performance grade	IN
OUT_percent fully receiving	percent fully receiving	OUT
IN_school type	school type	IN
OUT_cohort	cohort	OUT
OUT_cohort	cohort	OUT
IN_school name	school name	IN
IN_environment grade	environment grade	IN
OUT_ytd % attendance	ytd % attendance	OUT
IN_enrollment	enrollment	IN
OUT_q1 2	q1 2	OUT
OUT_year	year	OUT
OUT_percent partially receiving	percent partially receiving	OUT
OUT_category	category	OUT
OUT_percent not receiving	percent not receiving	OUT
OUT_code type	code type	OUT
OUT_in effect as of 1/1/2014?	in effect as of 1/1/2014?	OUT
OUT_score	score	OUT
OUT_literacy	literacy	OUT
OUT_stem graduates ushe	stem graduates ushe	OUT
OUT_evaluations	evaluations	OUT
OUT_headcount type	headcount type	OUT
IN_principal	principal	IN
OUT_location name	location name	OUT
OUT_location name	location name	OUT
IN_rank	rank	IN
OUT_median classroom teacher salary	median classroom teacher salary	OUT
OUT_teacher median beginning salary	teacher median beginning salary	OUT
OUT_count	count	OUT
OUT_count of students	count of students	OUT
OUT_u of u	u of u	OUT
OUT_number of classes	number of classes	OUT
OUT_number of classes	number of classes	OUT
OUT_sum of f status and itinerant	sum of f status and itinerant	OUT
OUT_count of offers	count of offers	OUT
OUT_town code	town code	OUT
OUT_town code	town code	OUT
OUT_town code	town code	OUT
OUT_city council district	city council district	OUT
OUT_site borough	site borough	OUT
OUT_status	status	OUT
OUT_section	section	OUT
OUT_tap sector group	tap sector group	OUT
OUT_site name	site name	OUT
OUT_shape st le	shape st le	OUT
OUT_subcategory	subcategory	OUT
OUT_grade span	grade span	OUT
OUT_county	county	OUT
OUT_district	district	OUT
OUT_district	district	OUT
OUT_school	school	OUT
OUT_county name	county name	OUT
