stc_label	sentence	category
80_libraries_-_2015_wi_	libraries - 2015 wi fi usage	Table
OUT_school4 secondary address	school4 secondary address	OUT
OUT_family guide name	family guide name	OUT
OUT_site zip code	site zip code	OUT
OUT_zip	zip	OUT
OUT_city	city	OUT
OUT_city	city	OUT
OUT_description	description	OUT
OUT_district	district	OUT
OUT_total vehicles	total vehicles	OUT
OUT_service category	service category	OUT
OUT_type	type	OUT
OUT_fy 15	fy 15	OUT
IN_ytd	ytd	IN
OUT_fy 14	fy 14	OUT
OUT_primary program type	primary program type	OUT
OUT_lang. arts	lang. arts	OUT
OUT_core subject	core subject	OUT
OUT_kindergarten	kindergarten	OUT
OUT_subject	subject	OUT
OUT_mathematics	mathematics	OUT
OUT_grade level	grade level	OUT
IN_number of sessions	number of sessions	IN
OUT_grade	grade	OUT
OUT_grade	grade	OUT
OUT_grade	grade	OUT
OUT_operating cost per student	operating cost per student	OUT
OUT_count of testers	count of testers	OUT
IN_month	month	IN
OUT_per capita personal income 2012	per capita personal income 2012	OUT
OUT_school yea	school yea	OUT
OUT_proposed tax rate	proposed tax rate	OUT
OUT_lea	lea	OUT
OUT_state student count	state student count	OUT
OUT_stem graduates ushe	stem graduates ushe	OUT
OUT_num of ap exams passed	num of ap exams passed	OUT
OUT_ytd enrollment	ytd enrollment	OUT
OUT_percent fully receiving	percent fully receiving	OUT
OUT_percent of teachers with 3 or more years of experience	percent of teachers with 3 or more years of experience	OUT
OUT_quality review year	quality review year	OUT
OUT_school name	school name	OUT
OUT_school name	school name	OUT
OUT_school name	school name	OUT
OUT_total student response rate %	total student response rate %	OUT
OUT_growth language below proficient	growth language below proficient	OUT
OUT_college career readiness act possible	college career readiness act possible	OUT
OUT_total teacher response rate	total teacher response rate	OUT
OUT_num of ap test takers	num of ap test takers	OUT
OUT_total academic expectations score	total academic expectations score	OUT
OUT_grade 1	grade 1	OUT
OUT_language proficient possible	language proficient possible	OUT
OUT_selection criteria	selection criteria	OUT
OUT_school year	school year	OUT
OUT_total	total	OUT
OUT_total	total	OUT
OUT_total	total	OUT
OUT_total safety and respect score	total safety and respect score	OUT
OUT_percent citizen status unknown	percent citizen status unknown	OUT
IN_year	year	IN
OUT_total cohort num	total cohort num	OUT
OUT_preschool age	preschool age	OUT
