stc_label	sentence	category
82_libraries_-_wifi_usa	libraries - wifi usage (2011-2014)	Table
OUT_debtpayment10 yr	debtpayment10 yr	OUT
OUT_classroom parapros	classroom parapros	OUT
OUT_district number	district number	OUT
OUT_name	name	OUT
OUT_code	code	OUT
OUT_family guide name	family guide name	OUT
OUT_district	district	OUT
OUT_district	district	OUT
OUT_counties	counties	OUT
OUT_room:	room:	OUT
OUT_suu	suu	OUT
OUT_entity name	entity name	OUT
OUT_section	section	OUT
OUT_zip	zip	OUT
OUT_five yr ave	five yr ave	OUT
OUT_location category description	location category description	OUT
OUT_school	school	OUT
OUT_school	school	OUT
OUT_record type code	record type code	OUT
OUT_science	science	OUT
OUT_core subject	core subject	OUT
OUT_subject	subject	OUT
IN_number of sessions	number of sessions	IN
OUT_grade	grade	OUT
OUT_staff completing training	staff completing training	OUT
OUT_teachers elementary	teachers elementary	OUT
OUT_operating cost per student	operating cost per student	OUT
OUT_operating cost per student	operating cost per student	OUT
OUT_operating cost per student	operating cost per student	OUT
OUT_work type	work type	OUT
OUT_total number of children . distinct count, not the sum of columns.	total number of children . distinct count, not the sum of columns.	OUT
IN_month	month	IN
OUT_total benefits	total benefits	OUT
OUT_median salary	median salary	OUT
OUT_median classroom teacher salary	median classroom teacher salary	OUT
IN_cumulative number of sessions	cumulative number of sessions	IN
OUT_total number of children	total number of children	OUT
OUT_location name	location name	OUT
OUT_total trained	total trained	OUT
OUT_qr curriculum	qr curriculum	OUT
OUT_fall term	fall term	OUT
OUT_fall term	fall term	OUT
OUT_score	score	OUT
OUT_student satisfaction 2012	student satisfaction 2012	OUT
OUT_student satisfaction 2012	student satisfaction 2012	OUT
OUT_state rank 2014	state rank 2014	OUT
OUT_percent fully receiving	percent fully receiving	OUT
OUT_quality review - how clearly are high expectations communicated to students and staff?	quality review - how clearly are high expectations communicated to students and staff?	OUT
OUT_school name	school name	OUT
OUT_school name	school name	OUT
OUT_school name	school name	OUT
OUT_qr high expectations	qr high expectations	OUT
OUT_percent change 2014	percent change 2014	OUT
OUT_college career readiness grad	college career readiness grad	OUT
OUT_percent black	percent black	OUT
OUT_effective school leadership score	effective school leadership score	OUT
OUT_grade 3	grade 3	OUT
OUT_response	response	OUT
IN_year	year	IN
OUT_percent not receiving	percent not receiving	OUT
