stc_label	sentence	category
97_school_programs_in_c	school programs in colorado	Table
OUT_referrals	referrals	OUT
OUT_record type description	record type description	OUT
IN_longitude	longitude	IN
OUT_municipality	municipality	OUT
OUT_opt code	opt code	OUT
IN_latitude	latitude	IN
OUT_debtpayment10 yr	debtpayment10 yr	OUT
IN_zip	zip	IN
OUT_the geom	the geom	OUT
IN_city	city	IN
OUT_town code	town code	OUT
OUT_description	description	OUT
OUT_oid	oid	OUT
OUT_name	name	OUT
OUT_district	district	OUT
OUT_district	district	OUT
OUT_district	district	OUT
OUT_number of children in licensed or regulated centers, group, and youth camps	number of children in licensed or regulated centers, group, and youth camps	OUT
OUT_school	school	OUT
OUT_md earn wne	md earn wne	OUT
OUT_qualifier	qualifier	OUT
OUT_record type code	record type code	OUT
OUT_core subject	core subject	OUT
OUT_subject	subject	OUT
OUT_daily start time	daily start time	OUT
OUT_total field trips	total field trips	OUT
OUT_grade	grade	OUT
OUT_grade	grade	OUT
OUT_college ready 10-11	college ready 10-11	OUT
OUT_teachers kindergarten	teachers kindergarten	OUT
OUT_life insurance	life insurance	OUT
OUT_count of students	count of students	OUT
OUT_college enroll 2011-12	college enroll 2011-12	OUT
OUT_total benefits	total benefits	OUT
OUT_graduation rate boro	graduation rate boro	OUT
OUT_f status health teachers	f status health teachers	OUT
OUT_total trained	total trained	OUT
OUT_count of students in hs admissions	count of students in hs admissions	OUT
OUT_fully receiving	fully receiving	OUT
OUT_graduation rate historic avg similar schls	graduation rate historic avg similar schls	OUT
OUT_enrollment type code	enrollment type code	OUT
OUT_q12 r4 c3	q12 r4 c3	OUT
OUT_total reading % goal range	total reading % goal range	OUT
OUT_total graduates ushe	total graduates ushe	OUT
OUT_q14 c3 r4	q14 c3 r4	OUT
OUT_score	score	OUT
OUT_score	score	OUT
OUT_head count	head count	OUT
OUT_quality review - dates of review	quality review - dates of review	OUT
OUT_q11 r1 c3	q11 r1 c3	OUT
OUT_student response rate	student response rate	OUT
OUT_graduation rate 2013	graduation rate 2013	OUT
OUT_graduation rate 2012	graduation rate 2012	OUT
OUT_category	category	OUT
OUT_school year	school year	OUT
OUT_school year	school year	OUT
OUT_grade 3	grade 3	OUT
OUT_grade 6	grade 6	OUT
OUT_student category	student category	OUT
OUT_is dual immersion	is dual immersion	OUT
