stc_label	sentence	category
10_2013-2014_class_size	2013-2014 class size report district level detail final	Table
IN_average class size	average class size	IN
IN_core course	core course	IN
IN_program type	program type	IN
OUT_department	department	OUT
OUT_teacher attendance rate	teacher attendance rate	OUT
IN_csd	csd	IN
IN_number of sections	number of sections	IN
IN_grade level	grade level	IN
OUT_tribal	tribal	OUT
IN_service category	service category	IN
OUT_additional need	additional need	OUT
IN_number of students / seats filled	number of students / seats filled	IN
IN_core subject	core subject	IN
OUT_4	4	OUT
OUT_2	2	OUT
OUT_7	7	OUT
OUT_2015	2015	OUT
OUT_1	1	OUT
OUT_5	5	OUT
OUT_11	11	OUT
OUT_12	12	OUT
OUT_k	k	OUT
OUT_female	female	OUT
OUT_locale	locale	OUT
OUT_african am or black	african am or black	OUT
OUT_male	male	OUT
OUT_november 2017 identified need	november 2017 identified need	OUT
OUT_4th grade	4th grade	OUT
OUT_ethnic minority	ethnic minority	OUT
OUT_total	total	OUT
OUT_gender	gender	OUT
OUT_american indian or alaska native	american indian or alaska native	OUT
OUT_american indian	american indian	OUT
OUT_test	test	OUT
OUT_school year	school year	OUT
OUT_course type	course type	OUT
OUT_native hawaiian or other pacific islander	native hawaiian or other pacific islander	OUT
OUT_11th grade	11th grade	OUT
OUT_5th grade	5th grade	OUT
OUT_2012	2012	OUT
OUT_hispanic	hispanic	OUT
OUT_charter school	charter school	OUT
OUT_2nd grade	2nd grade	OUT
OUT_2017 grad rate	2017 grad rate	OUT
OUT_2011	2011	OUT
OUT_course	course	OUT
OUT_2016 grad rate	2016 grad rate	OUT
OUT_kansas	kansas	OUT
OUT_district name	district name	OUT
OUT_released	released	OUT
OUT_program name	program name	OUT
OUT_utah	utah	OUT
OUT_present	present	OUT
OUT_absent	absent	OUT
OUT_5 p2 nontraditional completion	5 p2 nontraditional completion	OUT
OUT_percent other citizen status	percent other citizen status	OUT
OUT_1997	1997	OUT
OUT_school district	school district	OUT
OUT_uniform	uniform	OUT
OUT_1769	1769	OUT
OUT_number of sessions	number of sessions	OUT
OUT_student count	student count	OUT
IN_boro	boro	IN
OUT_federal school code	federal school code	OUT
OUT_district	district	OUT
OUT_cumulative number of sessions	cumulative number of sessions	OUT
OUT_ytd	ytd	OUT
OUT_record count	record count	OUT
OUT_pre- k applicants	pre- k applicants	OUT
OUT_feeder school name	feeder school name	OUT
OUT_number of offers	number of offers	OUT
OUT_unemployment insurance	unemployment insurance	OUT
OUT_metric type	metric type	OUT
OUT_unnamed column 1	unnamed column 1	OUT
OUT_grade 9 applicants	grade 9 applicants	OUT
OUT_dental insurance	dental insurance	OUT
OUT_school	school	OUT
OUT_unnamed column	unnamed column	OUT
OUT_tap college name	tap college name	OUT
OUT_fiscal agent name	fiscal agent name	OUT
OUT_count of testers	count of testers	OUT
OUT_grade 6 applicants	grade 6 applicants	OUT
OUT_sector type	sector type	OUT
OUT_primary program type	primary program type	OUT
OUT_literacy	literacy	OUT
OUT_faculty total	faculty total	OUT
OUT_number of seats in scope / design	number of seats in scope / design	OUT
OUT_remaining balance	remaining balance	OUT
OUT_capacity	capacity	OUT
OUT_life insurance	life insurance	OUT
OUT_town code	town code	OUT
OUT_borough	borough	OUT
OUT_retirement	retirement	OUT
OUT_# of 8th graders who have completed at least one semester of health instruction	# of 8th graders who have completed at least one semester of health instruction	OUT
OUT_town	town	OUT
OUT_tap recipient dollars	tap recipient dollars	OUT
OUT_total benefits	total benefits	OUT
OUT_# of 8th graders	# of 8th graders	OUT
OUT_district number	district number	OUT
OUT_count of students in hs admissions	count of students in hs admissions	OUT
OUT_mathematics	mathematics	OUT
OUT_total trained	total trained	OUT
OUT_total compensation	total compensation	OUT
OUT_classification of instructional program name	classification of instructional program name	OUT
OUT_month	month	OUT
OUT_operating cost	operating cost	OUT
OUT_score	score	OUT
OUT_teacher median salary	teacher median salary	OUT
OUT_community school district	community school district	OUT
OUT_median beginning salary	median beginning salary	OUT
OUT_geo dist	geo dist	OUT
OUT_expended amount ltd	expended amount ltd	OUT
OUT_amount	amount	OUT
OUT_anticipated number of contracts	anticipated number of contracts	OUT
