stc_label	sentence	category
1_2006_-_2012__math_te	2006 - 2012  math test results - district - all students	Table
IN_pct level 3 and 4	pct level 3 and 4	IN
IN_pct level 4	pct level 4	IN
IN_num level 3	num level 3	IN
IN_pct level 1	pct level 1	IN
IN_num level 2	num level 2	IN
IN_num level 1	num level 1	IN
IN_num level 4	num level 4	IN
IN_num level 3 and 4	num level 3 and 4	IN
IN_pct level 3	pct level 3	IN
OUT_grade 5	grade 5	OUT
IN_pct level 2	pct level 2	IN
OUT_grade 6	grade 6	OUT
OUT_% hispanic	% hispanic	OUT
OUT_% asian	% asian	OUT
OUT_grade 3	grade 3	OUT
OUT_grade 1	grade 1	OUT
OUT_category	category	OUT
OUT_% black	% black	OUT
OUT_grade 4	grade 4	OUT
OUT_%	%	OUT
IN_mean scale score	mean scale score	IN
IN_year	year	IN
IN_number tested	number tested	IN
OUT_% special class	% special class	OUT
OUT_school name	school name	OUT
IN_grade	grade	IN
OUT_total students	total students	OUT
IN_demographic	demographic	IN
OUT_percent of students chronically absent	percent of students chronically absent	OUT
OUT_percent female	percent female	OUT
OUT_percent white	percent white	OUT
OUT_percent asian	percent asian	OUT
OUT_percent english language learners	percent english language learners	OUT
OUT_percent hispanic	percent hispanic	OUT
OUT_school type	school type	OUT
OUT_percent self- contained	percent self- contained	OUT
OUT_rigorous instruction - percent positive	rigorous instruction - percent positive	OUT
OUT_percent american indian	percent american indian	OUT
OUT_type	type	OUT
OUT_collaborative teachers - percent positive	collaborative teachers - percent positive	OUT
OUT_overall rating	overall rating	OUT
OUT_grade 10 #	grade 10 #	OUT
OUT_grade 5 #	grade 5 #	OUT
OUT_grade 10 %	grade 10 %	OUT
OUT_grade 1 %	grade 1 %	OUT
OUT_years of principal experience at this school	years of principal experience at this school	OUT
OUT_grade 7 %	grade 7 %	OUT
OUT_pre- k students	pre- k students	OUT
OUT_pct of graduates achieving apm	pct of graduates achieving apm	OUT
OUT_pct of cohort achieving apm	pct of cohort achieving apm	OUT
OUT_3rd grade reading	3rd grade reading	OUT
OUT_program code	program code	OUT
OUT_total cohort num	total cohort num	OUT
OUT_regents w/o advanced pct of cohort	regents w/o advanced pct of cohort	OUT
OUT_local pct of grads	local pct of grads	OUT
OUT_regents w/o advanced num	regents w/o advanced num	OUT
OUT_dropped out num	dropped out num	OUT
OUT_school	school	OUT
OUT_special ed self cont	special ed self cont	OUT
IN_district	district	IN
OUT_2010	2010	OUT
OUT_2011	2011	OUT
OUT_subject	subject	OUT
OUT_native hawaiian or other pacific islander	native hawaiian or other pacific islander	OUT
OUT_asian	asian	OUT
OUT_all students	all students	OUT
OUT_american indian or alaska native	american indian or alaska native	OUT
OUT_white	white	OUT
OUT_male	male	OUT
OUT_black or african american	black or african american	OUT
OUT_60 superintendent	60 superintendent	OUT
OUT_3 principal	3 principal	OUT
OUT_male removals	male removals	OUT
OUT_male superintendent	male superintendent	OUT
OUT_kindergarten	kindergarten	OUT
OUT_9	9	OUT
OUT_location category	location category	OUT
OUT_total students with 2 or more suspensions or removals	total students with 2 or more suspensions or removals	OUT
OUT_location name	location name	OUT
OUT_8	8	OUT
OUT_count american indian	count american indian	OUT
