stc_label	sentence	category
23_electronic_waste_rec	electronic waste recycling facilities list	Table
OUT_state land	state land	OUT
OUT_measure qualifier code	measure qualifier code	OUT
IN_phone number	phone number	IN
OUT_company city	company city	OUT
OUT_data identifier	data identifier	OUT
OUT_detection quantitation limit type name	detection quantitation limit type name	OUT
IN_location 1	location 1	IN
OUT_monitoring location identifier	monitoring location identifier	OUT
OUT_company state	company state	OUT
OUT_organization formal name	organization formal name	OUT
OUT_activity depth altitude reference point text	activity depth altitude reference point text	OUT
OUT_county land	county land	OUT
OUT_data source name	data source name	OUT
OUT_statistical base code	statistical base code	OUT
OUT_company address	company address	OUT
OUT_pa school districts	pa school districts	OUT
OUT_pennsylvania county boundaries	pennsylvania county boundaries	OUT
IN_facility name	facility name	IN
IN_street address	street address	IN
OUT_activity identifier	activity identifier	OUT
OUT_company name	company name	OUT
OUT_pa senatorial districts	pa senatorial districts	OUT
IN_new york zip codes	new york zip codes	IN
OUT_result laboratory comment text	result laboratory comment text	OUT
IN_zip code	zip code	IN
OUT_analysis start date	analysis start date	OUT
OUT_company zip	company zip	OUT
OUT_laboratory name	laboratory name	OUT
OUT_permit expiration date	permit expiration date	OUT
OUT_testing device type name	testing device type name	OUT
OUT_result detection condition text	result detection condition text	OUT
OUT_test end date	test end date	OUT
IN_registration number	registration number	IN
OUT_preparation start date	preparation start date	OUT
OUT_subject taxonomic name	subject taxonomic name	OUT
OUT_activity media name	activity media name	OUT
IN_counties	counties	IN
OUT_sample aquifer	sample aquifer	OUT
IN_county	county	IN
OUT_activity end date	activity end date	OUT
OUT_activity type code	activity type code	OUT
IN_city	city	IN
OUT_resid	resid	OUT
OUT_hydrologic condition	hydrologic condition	OUT
OUT_activity start date	activity start date	OUT
IN_state	state	IN
OUT_longitude	longitude	OUT
OUT_surface ownership % private	surface ownership % private	OUT
OUT_result comment text	result comment text	OUT
OUT_surface ownership % state	surface ownership % state	OUT
OUT_utah pipeline only	utah pipeline only	OUT
OUT_wasatch plateau	wasatch plateau	OUT
OUT_unspecified	unspecified	OUT
OUT_property name	property name	OUT
OUT_activity comment text	activity comment text	OUT
IN_website	website	IN
OUT_result measure value	result measure value	OUT
OUT_other known i ds	other known i ds	OUT
OUT_borough	borough	OUT
OUT_garbage mt	garbage mt	OUT
OUT_permit effective date	permit effective date	OUT
