stc_label	sentence	category
29_municipal_solid_wast	municipal solid waste curbside collection cost	Table
OUT_cities water loan fund board $	cities water loan fund board $	OUT
OUT_conservation & dev fund board $	conservation & dev fund board $	OUT
OUT_com seco use	com seco use	OUT
OUT_residential & commercial	residential & commercial	OUT
OUT_year / month	year / month	OUT
OUT_acct num	acct num	OUT
OUT_building purpose code	building purpose code	OUT
OUT_lead agency	lead agency	OUT
OUT_stimulus project	stimulus project	OUT
OUT_location	location	OUT
OUT_the geom	the geom	OUT
IN_total cost / unit	total cost / unit	IN
IN_region	region	IN
OUT_final disposition	final disposition	OUT
OUT_dec contact	dec contact	OUT
OUT_residential	residential	OUT
OUT_other industrial	other industrial	OUT
IN_organics	organics	IN
OUT_geo area	geo area	OUT
IN_total cost	total cost	IN
OUT_date	date	OUT
OUT_premium gas price	premium gas price	OUT
IN_municipality	municipality	IN
OUT_total sum all	total sum all	OUT
IN_service units	service units	IN
OUT_all grades gas price	all grades gas price	OUT
OUT_electric utilities	electric utilities	OUT
IN_garbage	garbage	IN
OUT_total board $	total board $	OUT
OUT_regular gas price	regular gas price	OUT
OUT_extension	extension	OUT
OUT_vehicle fuel	vehicle fuel	OUT
OUT_# of projects rcf	# of projects rcf	OUT
OUT_commercial	commercial	OUT
OUT_status	status	OUT
OUT_coke plants	coke plants	OUT
IN_year	year	IN
OUT_total all projects	total all projects	OUT
OUT_shape are	shape are	OUT
OUT_other biomass	other biomass	OUT
OUT_wind	wind	OUT
OUT_electric power	electric power	OUT
OUT_complete status	complete status	OUT
OUT_total rcf	total rcf	OUT
IN_population	population	IN
OUT_gasoline deliveries	gasoline deliveries	OUT
IN_organics mt	organics mt	IN
OUT_gross withdrawals	gross withdrawals	OUT
OUT_gasoline receipts	gasoline receipts	OUT
OUT_solar	solar	OUT
OUT_quantity	quantity	OUT
OUT_butane deliveries	butane deliveries	OUT
OUT_season	season	OUT
OUT_prod form 4	prod form 4	OUT
OUT_butane receipts	butane receipts	OUT
OUT_ethane deliveries	ethane deliveries	OUT
OUT_iso- butane beginning stocks	iso- butane beginning stocks	OUT
OUT_propane beginning stocks	propane beginning stocks	OUT
OUT_other deliveries	other deliveries	OUT
OUT_propane ending stocks	propane ending stocks	OUT
OUT_gasoline ending stocks	gasoline ending stocks	OUT
OUT_company	company	OUT
OUT_marketed production	marketed production	OUT
