stc_label	sentence	category
34_natural_gas_gross_pr	natural gas gross production in utah by the 25 largest operators t4.7 2010	Table
IN_percent of state production	percent of state production	IN
IN_rank	rank	IN
IN_2010 gross production	2010 gross production	IN
IN_percent of total state cumulative production	percent of total state cumulative production	IN
IN_operator	operator	IN
OUT_production	production	OUT
OUT_mitigation year ended	mitigation year ended	OUT
OUT_21	21	OUT
OUT_7	7	OUT
OUT_iso- butane production	iso- butane production	OUT
OUT_butane ending stocks	butane ending stocks	OUT
OUT_gasoline ending stocks	gasoline ending stocks	OUT
OUT_ethane beginning stocks	ethane beginning stocks	OUT
OUT_emery	emery	OUT
OUT_11	11	OUT
OUT_other deliveries	other deliveries	OUT
OUT_propane beginning stocks	propane beginning stocks	OUT
OUT_gasoline beginning stocks	gasoline beginning stocks	OUT
OUT_gasoline production	gasoline production	OUT
OUT_others	others	OUT
OUT_prod form 4	prod form 4	OUT
OUT_condensate beginning stocks	condensate beginning stocks	OUT
OUT_18	18	OUT
OUT_prod form 2	prod form 2	OUT
OUT_iso- butane receipts	iso- butane receipts	OUT
OUT_total deliveries to consumers	total deliveries to consumers	OUT
OUT_natural gas	natural gas	OUT
OUT_overseas exports	overseas exports	OUT
OUT_residential deliveries	residential deliveries	OUT
OUT_audience	audience	OUT
OUT_total	total	OUT
OUT_electric power	electric power	OUT
OUT_sego	sego	OUT
OUT_total funds	total funds	OUT
OUT_service type	service type	OUT
OUT_coke plants	coke plants	OUT
OUT_total consumption	total consumption	OUT
OUT_year	year	OUT
OUT_commercial	commercial	OUT
OUT_# of projects rcf	# of projects rcf	OUT
OUT_value of crude oil nominal dollars	value of crude oil nominal dollars	OUT
OUT_trans price	trans price	OUT
OUT_regular gas price	regular gas price	OUT
OUT_transportation	transportation	OUT
OUT_value of crude oil real dollars	value of crude oil real dollars	OUT
OUT_res sales	res sales	OUT
OUT_industrial	industrial	OUT
OUT_service units	service units	OUT
OUT_garbage	garbage	OUT
OUT_fiscal year	fiscal year	OUT
OUT_day	day	OUT
OUT_all grades gas price	all grades gas price	OUT
OUT_municipality	municipality	OUT
OUT_premium gas price	premium gas price	OUT
OUT_value of coal produced mill nom dollars	value of coal produced mill nom dollars	OUT
OUT_trans sales	trans sales	OUT
OUT_date	date	OUT
OUT_organics	organics	OUT
OUT_residential	residential	OUT
OUT_other industrial	other industrial	OUT
OUT_utility number	utility number	OUT
OUT_# of students	# of students	OUT
OUT_commodity	commodity	OUT
OUT_part	part	OUT
OUT_the geom	the geom	OUT
OUT_final disposition	final disposition	OUT
OUT_client	client	OUT
OUT_mitigation comments	mitigation comments	OUT
OUT_total sum all	total sum all	OUT
OUT_residential & commercial	residential & commercial	OUT
OUT_kind of tree	kind of tree	OUT
OUT_acct num	acct num	OUT
OUT_common name	common name	OUT
OUT_conservation & dev fund board $	conservation & dev fund board $	OUT
OUT_state and fee	state and fee	OUT
OUT_breeding status	breeding status	OUT
OUT_cities water loan fund board $	cities water loan fund board $	OUT
OUT_revolving construction fund board $	revolving construction fund board $	OUT
OUT_native american	native american	OUT
OUT_com sec gpcd	com sec gpcd	OUT
OUT_program location	program location	OUT
OUT_domain category	domain category	OUT
OUT_organics mt	organics mt	OUT
OUT_fed. region	fed. region	OUT
OUT_family description	family description	OUT
OUT_size class	size class	OUT
OUT_total sup	total sup	OUT
OUT_res sec gpcd	res sec gpcd	OUT
OUT_tree size	tree size	OUT
OUT_breeding behavior	breeding behavior	OUT
OUT_1986	1986	OUT
OUT_2013	2013	OUT
OUT_1989	1989	OUT
OUT_2001	2001	OUT
OUT_2003	2003	OUT
OUT_2005	2005	OUT
OUT_2011	2011	OUT
OUT_2008	2008	OUT
OUT_1997	1997	OUT
OUT_1996	1996	OUT
OUT_2009	2009	OUT
OUT_2002 rank	2002 rank	OUT
OUT_ind sec gpcd	ind sec gpcd	OUT
OUT_coalville	coalville	OUT
OUT_neral ownership % federal	neral ownership % federal	OUT
