stc_label	sentence	category
35_natural_gas_plant_op	natural gas plant operations in utah t4.12 2010	Table
IN_gasoline beginning stocks	gasoline beginning stocks	IN
IN_iso- butane beginning stocks	iso- butane beginning stocks	IN
IN_propane beginning stocks	propane beginning stocks	IN
IN_other receipts	other receipts	IN
IN_iso- butane ending stocks	iso- butane ending stocks	IN
IN_butane receipts	butane receipts	IN
IN_condensate deliveries	condensate deliveries	IN
IN_propane ending stocks	propane ending stocks	IN
IN_ethane deliveries	ethane deliveries	IN
IN_condensate receipts	condensate receipts	IN
IN_condensate ending stocks	condensate ending stocks	IN
IN_other deliveries	other deliveries	IN
IN_ethane receipts	ethane receipts	IN
IN_propane production	propane production	IN
IN_ethane beginning stocks	ethane beginning stocks	IN
OUT_20	20	OUT
IN_butane deliveries	butane deliveries	IN
IN_gasoline ending stocks	gasoline ending stocks	IN
IN_condensate beginning stocks	condensate beginning stocks	IN
IN_butane beginning stocks	butane beginning stocks	IN
OUT_company	company	OUT
OUT_season	season	OUT
OUT_prod form 3	prod form 3	OUT
IN_gasoline receipts	gasoline receipts	IN
IN_gasoline production	gasoline production	IN
OUT_prod form 4	prod form 4	OUT
IN_ethane ending stocks	ethane ending stocks	IN
IN_butane ending stocks	butane ending stocks	IN
IN_iso- butane receipts	iso- butane receipts	IN
IN_propane receipts	propane receipts	IN
IN_ethane production	ethane production	IN
IN_gasoline deliveries	gasoline deliveries	IN
OUT_natural gas	natural gas	OUT
OUT_1	1	OUT
IN_other ending stocks	other ending stocks	IN
IN_natural gas plant	natural gas plant	IN
IN_other beginning stocks	other beginning stocks	IN
OUT_coal	coal	OUT
OUT_electric power	electric power	OUT
OUT_total	total	OUT
OUT_population	population	OUT
OUT_total funds	total funds	OUT
OUT_audience	audience	OUT
OUT_complete status	complete status	OUT
OUT_sego	sego	OUT
OUT_vehicle fuel deliveries	vehicle fuel deliveries	OUT
OUT_coke plants	coke plants	OUT
IN_propane deliveries	propane deliveries	IN
OUT_commercial	commercial	OUT
OUT_vehicle fuel	vehicle fuel	OUT
OUT_year	year	OUT
OUT_value of crude oil nominal dollars	value of crude oil nominal dollars	OUT
OUT_trans price	trans price	OUT
OUT_% of total	% of total	OUT
OUT_federal	federal	OUT
IN_iso- butane production	iso- butane production	IN
OUT_7	7	OUT
OUT_value of coal produced million real dollars	value of coal produced million real dollars	OUT
OUT_transportation	transportation	OUT
OUT_value of crude oil real dollars	value of crude oil real dollars	OUT
OUT_service units	service units	OUT
OUT_industrial	industrial	OUT
OUT_res price	res price	OUT
OUT_municipality	municipality	OUT
OUT_premium gas price	premium gas price	OUT
OUT_all grades gas price	all grades gas price	OUT
OUT_value of coal produced mill nom dollars	value of coal produced mill nom dollars	OUT
IN_butane production	butane production	IN
OUT_well code	well code	OUT
OUT_organics	organics	OUT
IN_condensate production	condensate production	IN
IN_other production	other production	IN
OUT_residential	residential	OUT
OUT_utility number	utility number	OUT
OUT_other industrial	other industrial	OUT
OUT_attendees	attendees	OUT
OUT_data item	data item	OUT
OUT_production	production	OUT
OUT_# of students	# of students	OUT
OUT_the geom	the geom	OUT
OUT_final disposition	final disposition	OUT
OUT_total sum all	total sum all	OUT
OUT_location	location	OUT
OUT_year / month	year / month	OUT
OUT_27	27	OUT
OUT_acct num	acct num	OUT
OUT_common name	common name	OUT
OUT_mitigation county	mitigation county	OUT
OUT_program location	program location	OUT
OUT_geo area	geo area	OUT
OUT_min	min	OUT
OUT_operator	operator	OUT
OUT_plant use	plant use	OUT
OUT_county fips code	county fips code	OUT
OUT_total rcf	total rcf	OUT
OUT_2006 gross production	2006 gross production	OUT
OUT_2002 production	2002 production	OUT
OUT_percent of total state cumulative production	percent of total state cumulative production	OUT
OUT_2011 production	2011 production	OUT
OUT_alton	alton	OUT
OUT_organics mt	organics mt	OUT
OUT_2008 gross production	2008 gross production	OUT
OUT_percent of state production	percent of state production	OUT
OUT_2009 production	2009 production	OUT
OUT_fed. region	fed. region	OUT
OUT_rank	rank	OUT
OUT_family description	family description	OUT
OUT_2010 gross production	2010 gross production	OUT
OUT_percent of cumulative production	percent of cumulative production	OUT
OUT_year discovered	year discovered	OUT
OUT_cumulative production	cumulative production	OUT
OUT_field	field	OUT
OUT_1986	1986	OUT
OUT_2001	2001	OUT
OUT_1998	1998	OUT
OUT_2004	2004	OUT
OUT_2008	2008	OUT
OUT_colorado pipeline only	colorado pipeline only	OUT
OUT_total recoverable reserves at producing mines	total recoverable reserves at producing mines	OUT
OUT_neral ownership % federal	neral ownership % federal	OUT
OUT_surface ownership % federal	surface ownership % federal	OUT
OUT_% total demonstrated reserve base	% total demonstrated reserve base	OUT
OUT_property type	property type	OUT
OUT_agreement	agreement	OUT
OUT_canada pipeline only	canada pipeline only	OUT
OUT_agree type	agree type	OUT
OUT_cause narr	cause narr	OUT
OUT_short description	short description	OUT
OUT_petro type	petro type	OUT
OUT_lease use	lease use	OUT
OUT_wyoming pipeline only	wyoming pipeline only	OUT
OUT_date received	date received	OUT
OUT_mineral ownership % private	mineral ownership % private	OUT
OUT_fee land	fee land	OUT
OUT_book cliffs	book cliffs	OUT
OUT_vented and flared	vented and flared	OUT
OUT_garbage mt	garbage mt	OUT
OUT_borough	borough	OUT
OUT_number of stripper gas wells	number of stripper gas wells	OUT
OUT_average daily production per well thousand cf	average daily production per well thousand cf	OUT
OUT_number of stripper oil wells	number of stripper oil wells	OUT
OUT_ba code	ba code	OUT
OUT_from oil wells	from oil wells	OUT
OUT_total 2005 gas production million cf	total 2005 gas production million cf	OUT
OUT_from gas wells	from gas wells	OUT
OUT_total 2002 gas production million cf	total 2002 gas production million cf	OUT
OUT_production from stripper gas wells thousand cf	production from stripper gas wells thousand cf	OUT
OUT_total gpcd	total gpcd	OUT
OUT_percent production from stripper oil wells	percent production from stripper oil wells	OUT
OUT_result measure value	result measure value	OUT
OUT_resid	resid	OUT
OUT_municipality name	municipality name	OUT
OUT_production from stripper oil wells bbls	production from stripper oil wells bbls	OUT
OUT_surface ownership % private	surface ownership % private	OUT
OUT_activity type code	activity type code	OUT
OUT_total acres	total acres	OUT
OUT_agency id	agency id	OUT
OUT_ind pot gpcd	ind pot gpcd	OUT
OUT_company city	company city	OUT
OUT_fire name	fire name	OUT
OUT_test method type code	test method type code	OUT
OUT_result comment text	result comment text	OUT
OUT_ins pot gpcd	ins pot gpcd	OUT
OUT_street address	street address	OUT
OUT_lat dd	lat dd	OUT
OUT_total renewable generation	total renewable generation	OUT
OUT_organization formal name	organization formal name	OUT
OUT_site num	site num	OUT
OUT_county ansi	county ansi	OUT
OUT_year end date	year end date	OUT
OUT_company state	company state	OUT
OUT_exceptional data count	exceptional data count	OUT
OUT_pennsylvania county boundaries	pennsylvania county boundaries	OUT
OUT_company name	company name	OUT
OUT_facility location	facility location	OUT
OUT_pa house districts	pa house districts	OUT
OUT_fire number	fire number	OUT
OUT_year est	year est	OUT
OUT_springs sup	springs sup	OUT
OUT_field name	field name	OUT
OUT_specimen collection date	specimen collection date	OUT
OUT_city name	city name	OUT
OUT_location 1	location 1	OUT
OUT_section part	section part	OUT
OUT_facility state	facility state	OUT
OUT_county land	county land	OUT
OUT_block id	block id	OUT
OUT_percent renewable	percent renewable	OUT
OUT_state name	state name	OUT
OUT_comments	comments	OUT
OUT_zip codes	zip codes	OUT
OUT_county code	county code	OUT
OUT_state	state	OUT
OUT_sample duration	sample duration	OUT
OUT_total dry	total dry	OUT
OUT_total wet after lease separation	total wet after lease separation	OUT
OUT_school districts	school districts	OUT
OUT_county	county	OUT
OUT_counties	counties	OUT
OUT_municipalities	municipalities	OUT
