stc_label	sentence	category
36_natural_gas_producti	natural gas production by landownership t4.8 1960-2012	Table
OUT_propane beginning stocks	propane beginning stocks	OUT
OUT_iso- butane ending stocks	iso- butane ending stocks	OUT
OUT_condensate deliveries	condensate deliveries	OUT
OUT_condensate receipts	condensate receipts	OUT
OUT_ethane deliveries	ethane deliveries	OUT
OUT_other deliveries	other deliveries	OUT
OUT_propane production	propane production	OUT
OUT_other receipts	other receipts	OUT
OUT_ethane beginning stocks	ethane beginning stocks	OUT
OUT_gasoline ending stocks	gasoline ending stocks	OUT
OUT_ethane receipts	ethane receipts	OUT
OUT_quantity	quantity	OUT
OUT_butane beginning stocks	butane beginning stocks	OUT
OUT_condensate beginning stocks	condensate beginning stocks	OUT
OUT_prod form 3	prod form 3	OUT
OUT_farm	farm	OUT
OUT_season	season	OUT
OUT_company	company	OUT
OUT_gasoline receipts	gasoline receipts	OUT
OUT_prod form 4	prod form 4	OUT
OUT_prod form 1	prod form 1	OUT
OUT_butane ending stocks	butane ending stocks	OUT
OUT_ethane production	ethane production	OUT
OUT_iso- butane receipts	iso- butane receipts	OUT
OUT_propane receipts	propane receipts	OUT
OUT_acres	acres	OUT
OUT_natural gas plant	natural gas plant	OUT
OUT_shape len	shape len	OUT
OUT_complete status	complete status	OUT
OUT_total all projects	total all projects	OUT
OUT_propane deliveries	propane deliveries	OUT
OUT_well status	well status	OUT
OUT_# of projects rcf	# of projects rcf	OUT
IN_year	year	IN
OUT_status	status	OUT
IN_federal	federal	IN
OUT_regular gas price	regular gas price	OUT
OUT_total board $	total board $	OUT
OUT_total use	total use	OUT
OUT_fiscal year	fiscal year	OUT
OUT_all grades gas price	all grades gas price	OUT
OUT_premium gas price	premium gas price	OUT
OUT_condensate production	condensate production	OUT
OUT_other production	other production	OUT
OUT_well code	well code	OUT
OUT_date	date	OUT
OUT_system cost	system cost	OUT
IN_production	production	IN
OUT_applicant	applicant	OUT
OUT_dec contact	dec contact	OUT
IN_fee	fee	IN
OUT_final disposition	final disposition	OUT
OUT_mitigation comments	mitigation comments	OUT
OUT_mitigation year ended	mitigation year ended	OUT
OUT_total sum all	total sum all	OUT
OUT_ogo num	ogo num	OUT
OUT_location	location	OUT
OUT_year / month	year / month	OUT
OUT_acct num	acct num	OUT
OUT_kind of tree	kind of tree	OUT
OUT_conservation & dev fund board $	conservation & dev fund board $	OUT
IN_state and fee	state and fee	IN
OUT_mitigation county	mitigation county	OUT
OUT_measure value	measure value	OUT
OUT_revolving construction fund board $	revolving construction fund board $	OUT
OUT_com seco use	com seco use	OUT
OUT_tot seco use	tot seco use	OUT
IN_native american	native american	IN
OUT_coalfield	coalfield	OUT
OUT_building purpose code	building purpose code	OUT
OUT_region	region	OUT
OUT_com sec gpcd	com sec gpcd	OUT
OUT_geo area	geo area	OUT
OUT_mitigation test type	mitigation test type	OUT
OUT_operator	operator	OUT
OUT_shape are	shape are	OUT
OUT_ind seco use	ind seco use	OUT
