stc_label	sentence	category
45_radon_mitigation_sys	radon mitigation system year 1987 - current annual county environmental protection	Table
OUT_total sup	total sup	OUT
IN_county fips code	county fips code	IN
OUT_total rcf	total rcf	OUT
OUT_plant use	plant use	OUT
IN_mitigation test type	mitigation test type	IN
OUT_geo area	geo area	OUT
OUT_domain category	domain category	OUT
OUT_res seco use	res seco use	OUT
IN_building purpose code	building purpose code	IN
OUT_region	region	OUT
OUT_revolving construction fund board $	revolving construction fund board $	OUT
IN_mitigation county	mitigation county	IN
IN_measure value	measure value	IN
OUT_class people	class people	OUT
OUT_conservation & dev fund board $	conservation & dev fund board $	OUT
IN_building type code	building type code	IN
OUT_max	max	OUT
OUT_location	location	OUT
OUT_acct num	acct num	OUT
OUT_common name	common name	OUT
OUT_year / month	year / month	OUT
OUT_residential & commercial	residential & commercial	OUT
IN_mitigation comments	mitigation comments	IN
OUT_kind of tree	kind of tree	OUT
OUT_total sum all	total sum all	OUT
OUT_the geom	the geom	OUT
OUT_period	period	OUT
OUT_# of students	# of students	OUT
IN_system cost	system cost	IN
OUT_utility number	utility number	OUT
OUT_date	date	OUT
OUT_residential	residential	OUT
OUT_other industrial	other industrial	OUT
OUT_attendees	attendees	OUT
OUT_value of coal produced mill nom dollars	value of coal produced mill nom dollars	OUT
OUT_premium gas price	premium gas price	OUT
OUT_municipality	municipality	OUT
OUT_com price	com price	OUT
OUT_all grades gas price	all grades gas price	OUT
OUT_garbage	garbage	OUT
OUT_res price	res price	OUT
OUT_industrial	industrial	OUT
OUT_service units	service units	OUT
OUT_res sales	res sales	OUT
OUT_electric utilities	electric utilities	OUT
OUT_value of crude oil real dollars	value of crude oil real dollars	OUT
OUT_transportation	transportation	OUT
OUT_federal	federal	OUT
OUT_status	status	OUT
OUT_pipeline fuel	pipeline fuel	OUT
OUT_year	year	OUT
OUT_total consumption	total consumption	OUT
OUT_# of projects rcf	# of projects rcf	OUT
OUT_value of crude oil nominal dollars	value of crude oil nominal dollars	OUT
OUT_commercial	commercial	OUT
OUT_total all projects	total all projects	OUT
OUT_other biomass	other biomass	OUT
OUT_coke plants	coke plants	OUT
OUT_wind	wind	OUT
OUT_vehicle fuel deliveries	vehicle fuel deliveries	OUT
OUT_total funds	total funds	OUT
OUT_complete status	complete status	OUT
OUT_sego	sego	OUT
OUT_total	total	OUT
