stc_label	sentence	category
47_sale_of_electricity_	sale of electricity in utah by sector t5.19 gigawatt hours 1960-2013	Table
OUT_natural gas plant	natural gas plant	OUT
OUT_iso- butane receipts	iso- butane receipts	OUT
IN_total	total	IN
OUT_gross withdrawals	gross withdrawals	OUT
OUT_coke plants	coke plants	OUT
OUT_shape len	shape len	OUT
OUT_solar	solar	OUT
OUT_total all projects	total all projects	OUT
OUT_condensate beginning stocks	condensate beginning stocks	OUT
OUT_propane deliveries	propane deliveries	OUT
IN_commercial	commercial	IN
OUT_ethane receipts	ethane receipts	OUT
OUT_complete status	complete status	OUT
OUT_prod form 2	prod form 2	OUT
IN_year	year	IN
OUT_prod form 1	prod form 1	OUT
OUT_quantity	quantity	OUT
OUT_status	status	OUT
IN_transportation	transportation	IN
OUT_total board $	total board $	OUT
OUT_regular gas price	regular gas price	OUT
OUT_season	season	OUT
IN_industrial	industrial	IN
OUT_other receipts	other receipts	OUT
OUT_prod form 3	prod form 3	OUT
OUT_prod form 4	prod form 4	OUT
OUT_premium gas price	premium gas price	OUT
OUT_all grades gas price	all grades gas price	OUT
IN_residential	residential	IN
OUT_other industrial	other industrial	OUT
OUT_iso- butane ending stocks	iso- butane ending stocks	OUT
OUT_system cost	system cost	OUT
OUT_date	date	OUT
OUT_gasoline production	gasoline production	OUT
OUT_stimulus project	stimulus project	OUT
OUT_dec contact	dec contact	OUT
OUT_client	client	OUT
OUT_gasoline ending stocks	gasoline ending stocks	OUT
OUT_residential & commercial	residential & commercial	OUT
OUT_company	company	OUT
OUT_year / month	year / month	OUT
OUT_location	location	OUT
OUT_conservation & dev fund board $	conservation & dev fund board $	OUT
OUT_building type code	building type code	OUT
OUT_kind of tree	kind of tree	OUT
OUT_cities water loan fund board $	cities water loan fund board $	OUT
OUT_revolving construction fund board $	revolving construction fund board $	OUT
OUT_com seco use	com seco use	OUT
OUT_region	region	OUT
OUT_res seco use	res seco use	OUT
OUT_geo area	geo area	OUT
OUT_ind seco use	ind seco use	OUT
OUT_shape are	shape are	OUT
OUT_application type	application type	OUT
OUT_operator	operator	OUT
OUT_2002 production	2002 production	OUT
OUT_percent of total state cumulative production	percent of total state cumulative production	OUT
OUT_2013 production	2013 production	OUT
OUT_2011 production	2011 production	OUT
OUT_tree size	tree size	OUT
OUT_2008 gross production	2008 gross production	OUT
OUT_percent of state production	percent of state production	OUT
OUT_2009 production	2009 production	OUT
OUT_rank	rank	OUT
OUT_2003 gross production	2003 gross production	OUT
OUT_2010 gross production	2010 gross production	OUT
OUT_percent of cumulative production	percent of cumulative production	OUT
OUT_year discovered	year discovered	OUT
OUT_cumulative production	cumulative production	OUT
OUT_field	field	OUT
OUT_total estimated recoverable reserves	total estimated recoverable reserves	OUT
OUT_2002	2002	OUT
OUT_1984	1984	OUT
OUT_2013	2013	OUT
OUT_colorado pipeline only	colorado pipeline only	OUT
OUT_2011	2011	OUT
OUT_1994	1994	OUT
OUT_2004	2004	OUT
OUT_2008	2008	OUT
OUT_2010	2010	OUT
OUT_1997	1997	OUT
OUT_1996	1996	OUT
OUT_1999	1999	OUT
OUT_2009	2009	OUT
OUT_1995	1995	OUT
OUT_underground estimated recoverable reserves	underground estimated recoverable reserves	OUT
OUT_surface estimated recoverable reserves	surface estimated recoverable reserves	OUT
OUT_underground recoverable reserves at producing mines	underground recoverable reserves at producing mines	OUT
OUT_surface recoverable reserves at producing mines	surface recoverable reserves at producing mines	OUT
OUT_surface ownership % federal	surface ownership % federal	OUT
OUT_property type	property type	OUT
OUT_agreement	agreement	OUT
OUT_mod	mod	OUT
OUT_mineral ownership % state	mineral ownership % state	OUT
OUT_coastal zone status	coastal zone status	OUT
OUT_canada pipeline only	canada pipeline only	OUT
OUT_agree type	agree type	OUT
OUT_remediation system description	remediation system description	OUT
OUT_petro type	petro type	OUT
OUT_short description	short description	OUT
OUT_wyoming pipeline only	wyoming pipeline only	OUT
OUT_mineral ownership % private	mineral ownership % private	OUT
OUT_characteristic name	characteristic name	OUT
OUT_configuration code	configuration code	OUT
OUT_borough	borough	OUT
OUT_unconventional ind	unconventional ind	OUT
OUT_property name	property name	OUT
OUT_client id	client id	OUT
OUT_utah pipeline only	utah pipeline only	OUT
OUT_biomass wood & derived fuels	biomass wood & derived fuels	OUT
OUT_website	website	OUT
OUT_comment begin date	comment begin date	OUT
OUT_resid	resid	OUT
OUT_written comments due	written comments due	OUT
OUT_surface ownership % private	surface ownership % private	OUT
OUT_project identifier	project identifier	OUT
OUT_company city	company city	OUT
OUT_permit id	permit id	OUT
OUT_permit expiration date	permit expiration date	OUT
OUT_poc	poc	OUT
OUT_street address	street address	OUT
OUT_comment end date	comment end date	OUT
OUT_municipality name	municipality name	OUT
OUT_measure qualifier code	measure qualifier code	OUT
OUT_year est	year est	OUT
OUT_company state	company state	OUT
OUT_discharge units	discharge units	OUT
OUT_rep acres	rep acres	OUT
OUT_facility city	facility city	OUT
OUT_ins pot gpcd	ins pot gpcd	OUT
OUT_company name	company name	OUT
OUT_address postal code	address postal code	OUT
OUT_location uncertainty statement	location uncertainty statement	OUT
OUT_total renewable generation	total renewable generation	OUT
OUT_testing device type name	testing device type name	OUT
OUT_ind pot gpcd	ind pot gpcd	OUT
OUT_company address	company address	OUT
OUT_result value type name	result value type name	OUT
OUT_facility state	facility state	OUT
OUT_oh mg l	oh mg l	OUT
OUT_pct diff	pct diff	OUT
OUT_method description text	method description text	OUT
OUT_company zip	company zip	OUT
OUT_field name	field name	OUT
OUT_total state generation	total state generation	OUT
OUT_from shale gas wells	from shale gas wells	OUT
OUT_b mg l	b mg l	OUT
OUT_registration number	registration number	OUT
OUT_new york zip codes	new york zip codes	OUT
OUT_other analytical data	other analytical data	OUT
OUT_location 1	location 1	OUT
OUT_test result identifier	test result identifier	OUT
OUT_pa house districts	pa house districts	OUT
OUT_units of measure	units of measure	OUT
OUT_analysis start date	analysis start date	OUT
OUT_hydrologic condition	hydrologic condition	OUT
OUT_plss meridians	plss meridians	OUT
OUT_pa senatorial districts	pa senatorial districts	OUT
OUT_comments	comments	OUT
OUT_facility name	facility name	OUT
OUT_state name	state name	OUT
OUT_rb mg l	rb mg l	OUT
OUT_zip code	zip code	OUT
OUT_result time basis text	result time basis text	OUT
OUT_method name	method name	OUT
OUT_state	state	OUT
OUT_preparation start date	preparation start date	OUT
OUT_percent renewable	percent renewable	OUT
OUT_local site name	local site name	OUT
OUT_zip codes	zip codes	OUT
OUT_laboratory name	laboratory name	OUT
OUT_test end date	test end date	OUT
OUT_result depth altitude reference point text	result depth altitude reference point text	OUT
OUT_statistical base code	statistical base code	OUT
OUT_notes	notes	OUT
OUT_sample aquifer	sample aquifer	OUT
OUT_result temperature basis text	result temperature basis text	OUT
OUT_county	county	OUT
OUT_result particle size basis text	result particle size basis text	OUT
OUT_underground demonstrated reserve base	underground demonstrated reserve base	OUT
OUT_specimen description	specimen description	OUT
OUT_surface demonstrated reserve base	surface demonstrated reserve base	OUT
OUT_counties	counties	OUT
OUT_school districts	school districts	OUT
OUT_number of stripper gas wells	number of stripper gas wells	OUT
OUT_latitude	latitude	OUT
OUT_municipality boundary	municipality boundary	OUT
OUT_observation count	observation count	OUT
OUT_floor level tested	floor level tested	OUT
OUT_total demonstrated reserve base	total demonstrated reserve base	OUT
OUT_total dry	total dry	OUT
OUT_total wet after lease separation	total wet after lease separation	OUT
OUT_municipalities	municipalities	OUT
OUT_from oil wells	from oil wells	OUT
OUT_production from stripper oil wells bbls	production from stripper oil wells bbls	OUT
OUT_production from stripper gas wells thousand cf	production from stripper gas wells thousand cf	OUT
OUT_percent production from stripper gas wells	percent production from stripper gas wells	OUT
OUT_percent production from stripper oil wells	percent production from stripper oil wells	OUT
OUT_average daily production per well thousand cf	average daily production per well thousand cf	OUT
OUT_total 2005 gas production million cf	total 2005 gas production million cf	OUT
