stc_label	sentence	category
50_stripper_gas_well_pr	stripper gas well production by state t4.9 2002	Table
IN_municipalities	municipalities	IN
IN_gas wells plugged and abandoned	gas wells plugged and abandoned	IN
IN_counties	counties	IN
OUT_section	section	OUT
OUT_count	count	OUT
OUT_county	county	OUT
OUT_facility	facility	OUT
OUT_longitude	longitude	OUT
OUT_state	state	OUT
IN_location 1	location 1	IN
IN_school districts	school districts	IN
OUT_result detection condition text	result detection condition text	OUT
OUT_comments	comments	OUT
OUT_county code	county code	OUT
OUT_floor level tested	floor level tested	OUT
OUT_fire id	fire id	OUT
OUT_detection quantitation limit type name	detection quantitation limit type name	OUT
IN_zip codes	zip codes	IN
OUT_block id	block id	OUT
OUT_year est	year est	OUT
OUT_company state	company state	OUT
OUT_rep acres	rep acres	OUT
OUT_county land	county land	OUT
OUT_pa senatorial districts	pa senatorial districts	OUT
OUT_company zip	company zip	OUT
OUT_company name	company name	OUT
OUT_trans rev	trans rev	OUT
OUT_pa school districts	pa school districts	OUT
OUT_company city	company city	OUT
OUT_field name	field name	OUT
OUT_statistical cause	statistical cause	OUT
OUT_municipality boundary	municipality boundary	OUT
OUT_measure qualifier code	measure qualifier code	OUT
OUT_company address	company address	OUT
OUT_result value type name	result value type name	OUT
OUT_unit id	unit id	OUT
OUT_result laboratory comment text	result laboratory comment text	OUT
OUT_result particle size basis text	result particle size basis text	OUT
OUT_inspection date	inspection date	OUT
OUT_permit type	permit type	OUT
OUT_pennsylvania county boundaries	pennsylvania county boundaries	OUT
OUT_test result identifier	test result identifier	OUT
OUT_state land	state land	OUT
OUT_activity identifier	activity identifier	OUT
OUT_subject taxonomic name	subject taxonomic name	OUT
OUT_sub section	sub section	OUT
OUT_unspecified	unspecified	OUT
OUT_testing device type name	testing device type name	OUT
OUT_address postal code	address postal code	OUT
OUT_total acres	total acres	OUT
OUT_spud date	spud date	OUT
IN_production from stripper gas wells thousand cf	production from stripper gas wells thousand cf	IN
OUT_project identifier	project identifier	OUT
IN_percent production from stripper gas wells	percent production from stripper gas wells	IN
OUT_hydrologic condition	hydrologic condition	OUT
OUT_sample collection equipment name	sample collection equipment name	OUT
IN_number of stripper gas wells	number of stripper gas wells	IN
OUT_utah pipeline only	utah pipeline only	OUT
OUT_municipality name	municipality name	OUT
OUT_disc well	disc well	OUT
IN_total 2002 gas production million cf	total 2002 gas production million cf	IN
OUT_resid	resid	OUT
OUT_com pot gpcd	com pot gpcd	OUT
OUT_other known i ds	other known i ds	OUT
OUT_wells sup	wells sup	OUT
IN_average daily production per well thousand cf	average daily production per well thousand cf	IN
OUT_written comments due	written comments due	OUT
OUT_com rev	com rev	OUT
OUT_garbage mt	garbage mt	OUT
OUT_permit effective date	permit effective date	OUT
OUT_book cliffs	book cliffs	OUT
OUT_fee land	fee land	OUT
OUT_wyoming pipeline only	wyoming pipeline only	OUT
OUT_mineral ownership % private	mineral ownership % private	OUT
OUT_petro type	petro type	OUT
OUT_short description	short description	OUT
OUT_hydrologic event	hydrologic event	OUT
OUT_lease and plant use	lease and plant use	OUT
OUT_agree type	agree type	OUT
OUT_canada pipeline only	canada pipeline only	OUT
OUT_federal land	federal land	OUT
OUT_trans cust	trans cust	OUT
OUT_ignition	ignition	OUT
OUT_mineral ownership % state	mineral ownership % state	OUT
OUT_ac- ft	ac- ft	OUT
OUT_agreement	agreement	OUT
OUT_surface ownership % federal	surface ownership % federal	OUT
OUT_coalville	coalville	OUT
OUT_ind sec gpcd	ind sec gpcd	OUT
OUT_colorado pipeline only	colorado pipeline only	OUT
OUT_1995	1995	OUT
OUT_2009	2009	OUT
OUT_2006	2006	OUT
OUT_1999	1999	OUT
OUT_1997	1997	OUT
OUT_2008	2008	OUT
OUT_1998	1998	OUT
OUT_2011	2011	OUT
OUT_2003	2003	OUT
OUT_2002	2002	OUT
OUT_data type	data type	OUT
OUT_ins seco use	ins seco use	OUT
OUT_size class	size class	OUT
OUT_family description	family description	OUT
OUT_fed. region	fed. region	OUT
IN_rank	rank	IN
OUT_organics mt	organics mt	OUT
OUT_total cust	total cust	OUT
OUT_alton	alton	OUT
OUT_total rcf	total rcf	OUT
OUT_ind seco use	ind seco use	OUT
OUT_plant use	plant use	OUT
OUT_geo area	geo area	OUT
