stc_label	sentence	category
54_total_renewable_net_	total renewable net energy generation by source and state 2001	Table
OUT_pa school districts	pa school districts	OUT
IN_total renewable generation	total renewable generation	IN
IN_location 1	location 1	IN
OUT_activity depth altitude reference point text	activity depth altitude reference point text	OUT
IN_school districts	school districts	IN
IN_total state generation	total state generation	IN
OUT_county land	county land	OUT
OUT_unit id	unit id	OUT
OUT_pennsylvania county boundaries	pennsylvania county boundaries	OUT
OUT_pa house districts	pa house districts	OUT
IN_percent renewable	percent renewable	IN
OUT_state land	state land	OUT
OUT_result sample fraction text	result sample fraction text	OUT
OUT_gis acres	gis acres	OUT
OUT_pct diff	pct diff	OUT
IN_zip codes	zip codes	IN
OUT_rep acres	rep acres	OUT
OUT_organization formal name	organization formal name	OUT
OUT_block id	block id	OUT
OUT_subject taxonomic name	subject taxonomic name	OUT
OUT_measure qualifier code	measure qualifier code	OUT
OUT_company name	company name	OUT
OUT_permit expiration date	permit expiration date	OUT
OUT_company address	company address	OUT
OUT_agency id	agency id	OUT
OUT_company city	company city	OUT
OUT_municipality boundary	municipality boundary	OUT
OUT_result value type name	result value type name	OUT
OUT_notes	notes	OUT
OUT_company zip	company zip	OUT
OUT_springs sup	springs sup	OUT
OUT_address postal code	address postal code	OUT
OUT_county	county	OUT
IN_municipalities	municipalities	IN
OUT_lat ss	lat ss	OUT
IN_conventional hydroelectric	conventional hydroelectric	IN
OUT_permit type	permit type	OUT
IN_counties	counties	IN
OUT_longitude	longitude	OUT
OUT_field name	field name	OUT
OUT_spud date	spud date	OUT
OUT_latitude	latitude	OUT
OUT_hydrologic condition	hydrologic condition	OUT
OUT_comments	comments	OUT
OUT_state	state	OUT
OUT_wasatch plateau	wasatch plateau	OUT
OUT_surface ownership % private	surface ownership % private	OUT
OUT_municipality name	municipality name	OUT
OUT_total rev	total rev	OUT
OUT_ind rev	ind rev	OUT
OUT_surface ownership % state	surface ownership % state	OUT
OUT_resid	resid	OUT
OUT_utah pipeline only	utah pipeline only	OUT
OUT_disc well	disc well	OUT
OUT_ba code	ba code	OUT
OUT_map link	map link	OUT
OUT_configuration code	configuration code	OUT
OUT_wells sup	wells sup	OUT
OUT_com rev	com rev	OUT
OUT_borough	borough	OUT
OUT_written comments due	written comments due	OUT
OUT_garbage mt	garbage mt	OUT
OUT_res pot gpcd	res pot gpcd	OUT
OUT_fee land	fee land	OUT
OUT_date received	date received	OUT
OUT_lease use	lease use	OUT
OUT_wyoming pipeline only	wyoming pipeline only	OUT
OUT_mineral ownership % private	mineral ownership % private	OUT
OUT_book cliffs	book cliffs	OUT
OUT_petro type	petro type	OUT
OUT_hydrologic event	hydrologic event	OUT
