stc_label	sentence	category
60_utah_water_quality_d	utah water quality data by county 2014	Table
OUT_source uri	source uri	OUT
OUT_pennsylvania county boundaries	pennsylvania county boundaries	OUT
OUT_data source name	data source name	OUT
OUT_other site id	other site id	OUT
IN_result temperature basis text	result temperature basis text	IN
OUT_pa school districts	pa school districts	OUT
IN_result depth altitude reference point text	result depth altitude reference point text	IN
OUT_location 1	location 1	OUT
IN_activity depth altitude reference point text	activity depth altitude reference point text	IN
IN_monitoring location identifier	monitoring location identifier	IN
OUT_plss meridians	plss meridians	OUT
OUT_analysis date time	analysis date time	OUT
IN_analysis start date	analysis start date	IN
OUT_county code	county code	OUT
IN_result time basis text	result time basis text	IN
OUT_pct diff	pct diff	OUT
OUT_4th max date time	4th max date time	OUT
IN_organization identifier	organization identifier	IN
IN_result weight basis text	result weight basis text	IN
OUT_sampling feature name	sampling feature name	OUT
IN_result laboratory comment text	result laboratory comment text	IN
IN_sample tissue anatomy name	sample tissue anatomy name	IN
IN_result status identifier	result status identifier	IN
IN_statistical base code	statistical base code	IN
OUT_school districts	school districts	OUT
OUT_mn mg l	mn mg l	OUT
OUT_parent company name	parent company name	OUT
IN_activity identifier	activity identifier	IN
OUT_facility name	facility name	OUT
OUT_watershed code	watershed code	OUT
OUT_facility zip	facility zip	OUT
OUT_pollutant standard	pollutant standard	OUT
IN_detection quantitation limit type name	detection quantitation limit type name	IN
OUT_new york zip codes	new york zip codes	OUT
IN_result sample fraction text	result sample fraction text	IN
OUT_pa senatorial districts	pa senatorial districts	OUT
OUT_zip codes	zip codes	OUT
IN_result detection condition text	result detection condition text	IN
OUT_facility location	facility location	OUT
OUT_company state	company state	OUT
OUT_gis acres	gis acres	OUT
IN_laboratory name	laboratory name	IN
OUT_company city	company city	OUT
OUT_company name	company name	OUT
IN_activity media subdivision name	activity media subdivision name	IN
IN_organization formal name	organization formal name	IN
IN_measure qualifier code	measure qualifier code	IN
IN_project identifier	project identifier	IN
OUT_address postal code	address postal code	OUT
OUT_observation percent	observation percent	OUT
IN_result value type name	result value type name	IN
IN_subject taxonomic name	subject taxonomic name	IN
IN_result particle size basis text	result particle size basis text	IN
OUT_inspection date	inspection date	OUT
OUT_rep acres	rep acres	OUT
IN_method description text	method description text	IN
OUT_total state generation	total state generation	OUT
OUT_street address	street address	OUT
IN_preparation start date	preparation start date	IN
OUT_year est	year est	OUT
IN_activity end date	activity end date	IN
OUT_county	county	OUT
OUT_method name	method name	OUT
OUT_counties	counties	OUT
IN_sample aquifer	sample aquifer	IN
OUT_ins pot gpcd	ins pot gpcd	OUT
IN_activity type code	activity type code	IN
OUT_unit of measure	unit of measure	OUT
IN_activity media name	activity media name	IN
OUT_comment end date	comment end date	OUT
IN_sample collection equipment name	sample collection equipment name	IN
OUT_rb mg l	rb mg l	OUT
OUT_township	township	OUT
IN_activity start date	activity start date	IN
OUT_4th max value	4th max value	OUT
OUT_municipalities	municipalities	OUT
OUT_geothermal	geothermal	OUT
IN_hydrologic condition	hydrologic condition	IN
OUT_date of last change	date of last change	OUT
OUT_watershed	watershed	OUT
IN_result comment text	result comment text	IN
OUT_city	city	OUT
OUT_state	state	OUT
OUT_comments	comments	OUT
OUT_count	count	OUT
OUT_st	st	OUT
OUT_resid	resid	OUT
OUT_surface sup	surface sup	OUT
IN_precision value	precision value	IN
OUT_unspecified	unspecified	OUT
OUT_total rev	total rev	OUT
OUT_com pot gpcd	com pot gpcd	OUT
