stc_label	sentence	category
0_2014_clinic_diabetes	2014 clinic diabetes quality comparisons for clinics with five or more service providers	Table
OUT_hospital location	hospital location	OUT
OUT_hospital name	hospital name	OUT
OUT_provider city	provider city	OUT
OUT_provider address	provider address	OUT
IN_utah house districts	utah house districts	IN
OUT_location 1	location 1	OUT
IN_municipalities	municipalities	IN
OUT_central line days	central line days	OUT
IN_zip codes	zip codes	IN
OUT_provider name	provider name	OUT
OUT_community area	community area	OUT
IN_school districts	school districts	IN
OUT_sir interpretation	sir interpretation	OUT
OUT_location	location	OUT
OUT_community area number	community area number	OUT
IN_counties	counties	IN
IN_zip code	zip code	IN
OUT_benchmark icon	benchmark icon	OUT
OUT_county	county	OUT
OUT_2016 sir	2016 sir	OUT
OUT_community area name	community area name	OUT
OUT_catheter days	catheter days	OUT
IN_city	city	IN
IN_provider business address	provider business address	IN
OUT_deficiency prefix	deficiency prefix	OUT
IN_# of diabetes patients receiving appropriate care	# of diabetes patients receiving appropriate care	IN
OUT_scope severity code	scope severity code	OUT
OUT_observed infections	observed infections	OUT
OUT_longitude	longitude	OUT
OUT_predicted infections	predicted infections	OUT
IN_total # of diabetes patients	total # of diabetes patients	IN
OUT_bbl	bbl	OUT
OUT_deficiency description	deficiency description	OUT
OUT_standard deficiency	standard deficiency	OUT
OUT_survey type	survey type	OUT
OUT_pennsylvania	pennsylvania	OUT
OUT_inspection cycle	inspection cycle	OUT
OUT_wisconsin	wisconsin	OUT
OUT_tennessee	tennessee	OUT
OUT_complaint deficiency	complaint deficiency	OUT
OUT_new mexico	new mexico	OUT
OUT_deficiency corrected	deficiency corrected	OUT
OUT_fips	fips	OUT
OUT_shape st ar	shape st ar	OUT
OUT_incident address zip	incident address zip	OUT
OUT_# of patients who received appropriate treatment	# of patients who received appropriate treatment	OUT
OUT_incident address street number	incident address street number	OUT
OUT_state	state	OUT
OUT_shape st le	shape st le	OUT
OUT_refugee clinic patients	refugee clinic patients	OUT
OUT_physician last name	physician last name	OUT
OUT_limonene	limonene	OUT
OUT_dispute status for publication	dispute status for publication	OUT
IN_legal business name	legal business name	IN
OUT_physician profile id	physician profile id	OUT
OUT_applicable manufacturer or applicable gpo making payment country	applicable manufacturer or applicable gpo making payment country	OUT
OUT_applicable manufacturer or applicable gpo making payment name	applicable manufacturer or applicable gpo making payment name	OUT
OUT_submitting applicable manufacturer or applicable gpo name	submitting applicable manufacturer or applicable gpo name	OUT
OUT_fertility rate 2005 lower ci	fertility rate 2005 lower ci	OUT
OUT_fertility rate 2003 upper ci	fertility rate 2003 upper ci	OUT
OUT_fertility rate 1999 lower ci	fertility rate 1999 lower ci	OUT
OUT_fertility rate 2006 lower ci	fertility rate 2006 lower ci	OUT
OUT_fertility rate 1999 upper ci	fertility rate 1999 upper ci	OUT
OUT_fertility rate 2007 upper ci	fertility rate 2007 upper ci	OUT
OUT_fertility rate 2001 upper ci	fertility rate 2001 upper ci	OUT
OUT_fertility rate 2002	fertility rate 2002	OUT
OUT_fertility rate 2007	fertility rate 2007	OUT
OUT_percent 2007 lower ci	percent 2007 lower ci	OUT
OUT_births 2002	births 2002	OUT
OUT_percent 1999 upper ci	percent 1999 upper ci	OUT
OUT_fertility rate 2006	fertility rate 2006	OUT
OUT_percent 1999 lower ci	percent 1999 lower ci	OUT
OUT_fertility rate 2001	fertility rate 2001	OUT
OUT_percent 2001 upper ci	percent 2001 upper ci	OUT
OUT_percent 2000 lower ci	percent 2000 lower ci	OUT
OUT_25 to 29 years old	25 to 29 years old	OUT
OUT_payment type	payment type	OUT
OUT_unit values	unit values	OUT
OUT_cases 2007 - 2011	cases 2007 - 2011	OUT
OUT_2004	2004	OUT
OUT_2001	2001	OUT
OUT_cases 2010	cases 2010	OUT
OUT_cases 2007	cases 2007	OUT
OUT_census tract	census tract	OUT
OUT_2009 duchesne	2009 duchesne	OUT
OUT_2000 life expectancy	2000 life expectancy	OUT
OUT_2007	2007	OUT
OUT_2008	2008	OUT
OUT_2008 carbon	2008 carbon	OUT
IN_npi	npi	IN
OUT_gonorrhea in females	gonorrhea in females	OUT
OUT_2008 us	2008 us	OUT
OUT_2009 us	2009 us	OUT
OUT_2010	2010	OUT
OUT_condition	condition	OUT
OUT_2011	2011	OUT
OUT_2007 us	2007 us	OUT
OUT_2012 duchesne	2012 duchesne	OUT
OUT_2010 us	2010 us	OUT
OUT_2013 us	2013 us	OUT
OUT_guaiol	guaiol	OUT
OUT_2006	2006	OUT
OUT_death rate for suicide	death rate for suicide	OUT
OUT_a- cedrene	a- cedrene	OUT
OUT_2010 carbon	2010 carbon	OUT
OUT_per capita income	per capita income	OUT
OUT_check in dat	check in dat	OUT
OUT_general fertility rate	general fertility rate	OUT
OUT_food insecure population	food insecure population	OUT
OUT_2008 box elder	2008 box elder	OUT
OUT_any current supply of surgical masks	any current supply of surgical masks	OUT
OUT_count of suicides	count of suicides	OUT
OUT_disease	disease	OUT
OUT_cancer	cancer	OUT
OUT_completion rate - total enrolled by year	completion rate - total enrolled by year	OUT
OUT_lung cancer	lung cancer	OUT
OUT_completion rate - more than 2 years	completion rate - more than 2 years	OUT
OUT_manner of death	manner of death	OUT
OUT_demographics	demographics	OUT
OUT_years of potential life lost rate for total population	years of potential life lost rate for total population	OUT
OUT_total numerator	total numerator	OUT
OUT_sex	sex	OUT
IN_diabetes rate	diabetes rate	IN
OUT_completion rate - % completed	completion rate - % completed	OUT
OUT_demographic	demographic	OUT
OUT_unemployment	unemployment	OUT
OUT_outlier	outlier	OUT
OUT_gender	gender	OUT
OUT_population	population	OUT
OUT_age	age	OUT
OUT_a- terpinene	a- terpinene	OUT
OUT_veteran status	veteran status	OUT
OUT_protocol	protocol	OUT
OUT_age group	age group	OUT
OUT_2017	2017	OUT
OUT_death year	death year	OUT
OUT_2011 box elder	2011 box elder	OUT
OUT_cause of death category	cause of death category	OUT
OUT_minutes	minutes	OUT
OUT_year	year	OUT
OUT_eeo category	eeo category	OUT
OUT_ab other living arrangements payments	ab other living arrangements payments	OUT
OUT_paid per service	paid per service	OUT
OUT_title	title	OUT
