stc_label	sentence	category
10_2017_surgical_site_i	2017 surgical site infections (ssi) following adult coronary artery bypass graft (cbgb) procedures map	Table
IN_hospital name	hospital name	IN
IN_location 1	location 1	IN
IN_2010 senate districts	2010 senate districts	IN
IN_sir interpretation	sir interpretation	IN
IN_2010 house districts	2010 house districts	IN
IN_procedure type	procedure type	IN
OUT_provider address	provider address	OUT
OUT_zip codes	zip codes	OUT
OUT_provider state	provider state	OUT
OUT_provider city	provider city	OUT
IN_county	county	IN
IN_counties	counties	IN
IN_sir icon	sir icon	IN
OUT_provider name	provider name	OUT
OUT_zip code	zip code	OUT
IN_sir	sir	IN
OUT_longitude	longitude	OUT
IN_observed infections	observed infections	IN
IN_predicted infections	predicted infections	IN
OUT_facility id	facility id	OUT
IN_benchmark icon	benchmark icon	IN
OUT_location name	location name	OUT
OUT_score	score	OUT
OUT_community area number	community area number	OUT
OUT_census tracts	census tracts	OUT
OUT_correction date	correction date	OUT
OUT_total # of diabetes patients	total # of diabetes patients	OUT
OUT_utah	utah	OUT
OUT_inspection cycle	inspection cycle	OUT
OUT_standard deficiency	standard deficiency	OUT
OUT_survey type	survey type	OUT
OUT_vermont	vermont	OUT
IN_procedures performed	procedures performed	IN
OUT_nebraska	nebraska	OUT
OUT_deficiency corrected	deficiency corrected	OUT
OUT_north carolina	north carolina	OUT
OUT_site name	site name	OUT
OUT_inspection date	inspection date	OUT
OUT_hours monday	hours monday	OUT
OUT_primary site	primary site	OUT
OUT_address	address	OUT
OUT_area name	area name	OUT
OUT_site id	site id	OUT
OUT_fenchone	fenchone	OUT
OUT_incident address zip	incident address zip	OUT
OUT_website	website	OUT
OUT_incident address borough	incident address borough	OUT
OUT_process description	process description	OUT
OUT_complaint number	complaint number	OUT
OUT_refugee clinic patients	refugee clinic patients	OUT
OUT_complaint type 311	complaint type 311	OUT
OUT_hours	hours	OUT
OUT_60 to 64 years old	60 to 64 years old	OUT
OUT_physician ownership transaction id	physician ownership transaction id	OUT
OUT_recipient city	recipient city	OUT
OUT_recipient country	recipient country	OUT
OUT_limonene	limonene	OUT
OUT_recipient state	recipient state	OUT
OUT_dispute status for publication	dispute status for publication	OUT
OUT_applicable manufacturer or applicable gpo making payment country	applicable manufacturer or applicable gpo making payment country	OUT
OUT_recipient province	recipient province	OUT
OUT_total amount of payment us dollars	total amount of payment us dollars	OUT
OUT_drug cost	drug cost	OUT
OUT_fertility rate 2005	fertility rate 2005	OUT
OUT_percent 2004	percent 2004	OUT
OUT_births 2005	births 2005	OUT
OUT_any current supply of ventilator supplies	any current supply of ventilator supplies	OUT
OUT_fertility rate 2001	fertility rate 2001	OUT
OUT_percent 2008 upper ci	percent 2008 upper ci	OUT
OUT_40 to 44 years old	40 to 44 years old	OUT
OUT_years averaged	years averaged	OUT
OUT_25 to 29 years old	25 to 29 years old	OUT
OUT_low birth weight	low birth weight	OUT
OUT_all ages	all ages	OUT
OUT_any current supply of gloves	any current supply of gloves	OUT
OUT_teen birth rate	teen birth rate	OUT
OUT_2003	2003	OUT
OUT_2002	2002	OUT
OUT_cases 2010	cases 2010	OUT
OUT_amount	amount	OUT
OUT_census tract	census tract	OUT
OUT_cases 2008	cases 2008	OUT
OUT_2007	2007	OUT
OUT_total provider payment 75	total provider payment 75	OUT
OUT_descriptor 1 311	descriptor 1 311	OUT
OUT_2009 carbon	2009 carbon	OUT
OUT_amount paid	amount paid	OUT
OUT_2013	2013	OUT
OUT_2008 us	2008 us	OUT
OUT_2009 us	2009 us	OUT
OUT_census tract population	census tract population	OUT
OUT_2012 duchesne	2012 duchesne	OUT
OUT_2012	2012	OUT
OUT_2010 us	2010 us	OUT
OUT_2006	2006	OUT
OUT_death rate for suicide	death rate for suicide	OUT
OUT_2011 carbon	2011 carbon	OUT
OUT_food insecure percentage	food insecure percentage	OUT
OUT_2009 box elder	2009 box elder	OUT
OUT_2010 life expectancy	2010 life expectancy	OUT
OUT_check in dat	check in dat	OUT
OUT_2012 carbon	2012 carbon	OUT
OUT_food insecure population	food insecure population	OUT
OUT_ethnicity	ethnicity	OUT
OUT_provider organization name legal business name	provider organization name legal business name	OUT
OUT_tuberculosis	tuberculosis	OUT
OUT_count of suicides	count of suicides	OUT
OUT_disease	disease	OUT
OUT_completion rate - total enrolled by year	completion rate - total enrolled by year	OUT
OUT_cancer	cancer	OUT
OUT_oct- dec denominator	oct- dec denominator	OUT
OUT_manner of death	manner of death	OUT
OUT_demographics	demographics	OUT
OUT_total numerator	total numerator	OUT
OUT_sex	sex	OUT
