stc_label	sentence	category
12_2017_utah_office_vis	2017 utah office visit provider payment comparisons: office visits (cpt 99201-99215)	Table
OUT_date received	date received	OUT
IN_total provider payment 25	total provider payment 25	IN
OUT_amount	amount	OUT
IN_total provider payment 75	total provider payment 75	IN
OUT_payment type	payment type	OUT
IN_npi	npi	IN
IN_total provider payment 50	total provider payment 50	IN
OUT_condition	condition	OUT
OUT_dme	dme	OUT
IN_provider organization name legal business name	provider organization name legal business name	IN
OUT_program identifier	program identifier	OUT
OUT_record id	record id	OUT
OUT_any current supply of ventilator supplies	any current supply of ventilator supplies	OUT
OUT_record type	record type	OUT
OUT_drug cost	drug cost	OUT
OUT_total capacity	total capacity	OUT
OUT_sliding fee	sliding fee	OUT
IN_provider other organization name	provider other organization name	IN
OUT_ab overall cost per case	ab overall cost per case	OUT
OUT_services rendered	services rendered	OUT
OUT_completion rate - total enrolled by year	completion rate - total enrolled by year	OUT
OUT_percent of prescriptions	percent of prescriptions	OUT
OUT_vendor	vendor	OUT
OUT_department name	department name	OUT
OUT_morphine milligram equivalents	morphine milligram equivalents	OUT
IN_office visit type	office visit type	IN
OUT_services per beneficiary	services per beneficiary	OUT
OUT_beneficiaries	beneficiaries	OUT
OUT_fiscal year	fiscal year	OUT
OUT_boundaries single member districts	boundaries single member districts	OUT
OUT_description	description	OUT
OUT_fiscal quarter end date	fiscal quarter end date	OUT
OUT_program	program	OUT
OUT_fiscal quarter start date	fiscal quarter start date	OUT
OUT_county fips code	county fips code	OUT
OUT_source	source	OUT
OUT_rx per beneficiary	rx per beneficiary	OUT
OUT_date	date	OUT
OUT_quarter	quarter	OUT
OUT_childhood blood lead level screening	childhood blood lead level screening	OUT
IN_pos category	pos category	IN
OUT_single member council districts	single member council districts	OUT
OUT_number of prescriptions	number of prescriptions	OUT
OUT_confirmed	confirmed	OUT
OUT_ab boarding homes - other - cases	ab boarding homes - other - cases	OUT
OUT_for more information	for more information	OUT
OUT_context of research	context of research	OUT
OUT_intake condition	intake condition	OUT
OUT_fiscal quarter key	fiscal quarter key	OUT
OUT_name	name	OUT
OUT_county name	county name	OUT
OUT_eeo category description	eeo category description	OUT
OUT_zoning review cases data	zoning review cases data	OUT
OUT_enrollment status - previously enrolled	enrollment status - previously enrolled	OUT
OUT_total amount of payment us dollars	total amount of payment us dollars	OUT
OUT_end time period	end time period	OUT
OUT_applicable manufacturer or applicable gpo making payment name	applicable manufacturer or applicable gpo making payment name	OUT
OUT_number of programs	number of programs	OUT
OUT_state name	state name	OUT
OUT_rate	rate	OUT
OUT_small area code	small area code	OUT
OUT_applicable manufacturer or applicable gpo making payment country	applicable manufacturer or applicable gpo making payment country	OUT
OUT_number of employees	number of employees	OUT
OUT_study phase	study phase	OUT
OUT_agency	agency	OUT
OUT_month	month	OUT
OUT_unknown	unknown	OUT
OUT_residents weekly all deaths	residents weekly all deaths	OUT
OUT_neighborhood planning areas	neighborhood planning areas	OUT
OUT_organization	organization	OUT
OUT_first name	first name	OUT
OUT_found location	found location	OUT
OUT_adm count	adm count	OUT
OUT_recipient postal code	recipient postal code	OUT
OUT_foster care	foster care	OUT
OUT_breed	breed	OUT
OUT_pulegol	pulegol	OUT
OUT_relative care	relative care	OUT
OUT_primary service to community	primary service to community	OUT
OUT_zone	zone	OUT
OUT_animal type	animal type	OUT
OUT_crude prevalence rate	crude prevalence rate	OUT
OUT_year	year	OUT
OUT_check out da	check out da	OUT
OUT_cause of death category	cause of death category	OUT
OUT_2011 box elder	2011 box elder	OUT
OUT_2017	2017	OUT
OUT_age group	age group	OUT
OUT_veteran status	veteran status	OUT
OUT_id	id	OUT
OUT_deaths	deaths	OUT
OUT_physician first name	physician first name	OUT
OUT_age upon intake	age upon intake	OUT
OUT_gender	gender	OUT
OUT_recipient country	recipient country	OUT
OUT_outlier	outlier	OUT
OUT_race	race	OUT
OUT_prevalence	prevalence	OUT
OUT_shortage of other staff	shortage of other staff	OUT
OUT_sex	sex	OUT
OUT_total numerator	total numerator	OUT
OUT_years of potential life lost rate for total population	years of potential life lost rate for total population	OUT
OUT_food insecure population	food insecure population	OUT
OUT_2009 box elder	2009 box elder	OUT
OUT_food insecure percentage	food insecure percentage	OUT
OUT_2011 us	2011 us	OUT
OUT_death rate for suicide	death rate for suicide	OUT
OUT_2013 us	2013 us	OUT
OUT_census tract population	census tract population	OUT
OUT_2009 us	2009 us	OUT
OUT_2008 us	2008 us	OUT
OUT_gonorrhea in females	gonorrhea in females	OUT
OUT_2008	2008	OUT
OUT_1990 life expectancy	1990 life expectancy	OUT
OUT_2007	2007	OUT
OUT_2000 life expectancy	2000 life expectancy	OUT
OUT_census tract	census tract	OUT
OUT_2005	2005	OUT
OUT_2000	2000	OUT
OUT_25 to 29 years old	25 to 29 years old	OUT
OUT_percent 1999 upper ci	percent 1999 upper ci	OUT
OUT_fertility rate 2009	fertility rate 2009	OUT
OUT_percent 2004 lower ci	percent 2004 lower ci	OUT
OUT_fertility rate 2006 upper ci	fertility rate 2006 upper ci	OUT
OUT_fertility rate 2003	fertility rate 2003	OUT
OUT_fertility rate 1999 lower ci	fertility rate 1999 lower ci	OUT
OUT_fertility rate 2001 lower ci	fertility rate 2001 lower ci	OUT
OUT_process description	process description	OUT
OUT_complaint number	complaint number	OUT
OUT_complaint status	complaint status	OUT
OUT_refugee clinic patients	refugee clinic patients	OUT
OUT_state	state	OUT
