stc_label	sentence	category
13_aca_health_plan_sele	aca health plan selections by income   county in utah 2015	Table
OUT_drug type	drug type	OUT
OUT_fiscal year end	fiscal year end	OUT
OUT_ab other living arrangements - cases	ab other living arrangements - cases	OUT
OUT_date	date	OUT
IN_county fips code	county fips code	IN
OUT_fiscal quarter start date	fiscal quarter start date	OUT
OUT_rate effective date	rate effective date	OUT
OUT_single member council districts	single member council districts	OUT
OUT_fiscal quarter end date	fiscal quarter end date	OUT
OUT_ab total paid cases	ab total paid cases	OUT
OUT_fiscal year	fiscal year	OUT
OUT_services per beneficiary	services per beneficiary	OUT
OUT_boundaries single member districts	boundaries single member districts	OUT
OUT_name	name	OUT
IN_county name	county name	IN
OUT_office visit type	office visit type	OUT
IN_total plan selections	total plan selections	IN
OUT_calls	calls	OUT
OUT_terms of interest	terms of interest	OUT
OUT_morphine milligram equivalents	morphine milligram equivalents	OUT
OUT_ab total boarding homes - payments	ab total boarding homes - payments	OUT
OUT_mean annual frequency	mean annual frequency	OUT
OUT_capacity under 3	capacity under 3	OUT
OUT_number of programs	number of programs	OUT
OUT_end date	end date	OUT
OUT_cost per beneficiary	cost per beneficiary	OUT
OUT_intake type	intake type	OUT
IN_state name	state name	IN
OUT_rate	rate	OUT
OUT_small area code	small area code	OUT
OUT_assault	assault	OUT
OUT_number of employees	number of employees	OUT
OUT_date time	date time	OUT
OUT_adm month	adm month	OUT
OUT_number of fbi critical	number of fbi critical	OUT
OUT_beginning time period	beginning time period	OUT
OUT_provider other organization name	provider other organization name	OUT
OUT_the geom	the geom	OUT
OUT_month	month	OUT
OUT_primary drug	primary drug	OUT
OUT_fy month order	fy month order	OUT
OUT_adm year	adm year	OUT
OUT_program year	program year	OUT
OUT_residents weekly all deaths	residents weekly all deaths	OUT
IN_unknown	unknown	IN
OUT_neighborhood planning areas	neighborhood planning areas	OUT
OUT_language	language	OUT
OUT_minutes	minutes	OUT
OUT_found location	found location	OUT
OUT_community registry	community registry	OUT
OUT_group home	group home	OUT
OUT_payment type subcategory	payment type subcategory	OUT
OUT_health zone of residence	health zone of residence	OUT
OUT_zone	zone	OUT
OUT_year	year	OUT
OUT_crude prevalence rate	crude prevalence rate	OUT
OUT_special study	special study	OUT
OUT_geraniol	geraniol	OUT
OUT_primary service to community	primary service to community	OUT
OUT_health care provider	health care provider	OUT
OUT_population	population	OUT
OUT_b- pinene	b- pinene	OUT
OUT_gender	gender	OUT
OUT_provider organization name legal business name	provider organization name legal business name	OUT
OUT_completion rate - more than 2 years	completion rate - more than 2 years	OUT
OUT_demographic	demographic	OUT
OUT_no high school diploma	no high school diploma	OUT
OUT_diabetes rate	diabetes rate	OUT
OUT_manner of death	manner of death	OUT
OUT_oct- dec numerator	oct- dec numerator	OUT
OUT_required documents	required documents	OUT
OUT_disease	disease	OUT
OUT_2008 box elder	2008 box elder	OUT
OUT_2013 carbon	2013 carbon	OUT
OUT_2012 carbon	2012 carbon	OUT
OUT_billing npi	billing npi	OUT
OUT_2010 life expectancy	2010 life expectancy	OUT
OUT_postal code	postal code	OUT
OUT_2011 us	2011 us	OUT
OUT_2011 carbon	2011 carbon	OUT
OUT_2012 us	2012 us	OUT
OUT_2006	2006	OUT
OUT_2013 us	2013 us	OUT
