stc_label	sentence	category
16_age_adjusted_inciden	age adjusted incidence rates of bladder cancer per 100,000 all states-test	Table
IN_massachusetts	massachusetts	IN
IN_delaware	delaware	IN
IN_vermont	vermont	IN
IN_rhode island	rhode island	IN
IN_pennsylvania	pennsylvania	IN
IN_nevada	nevada	IN
IN_hawaii	hawaii	IN
IN_oklahoma	oklahoma	IN
IN_utah	utah	IN
IN_mississippi	mississippi	IN
IN_arizona	arizona	IN
OUT_school districts	school districts	OUT
IN_idaho	idaho	IN
IN_maryland	maryland	IN
IN_virginia	virginia	IN
IN_missouri	missouri	IN
IN_connecticut	connecticut	IN
IN_new hampshire	new hampshire	IN
OUT_counties	counties	OUT
IN_wyoming	wyoming	IN
IN_georgia	georgia	IN
IN_south dakota	south dakota	IN
IN_new york	new york	IN
IN_washington	washington	IN
IN_maine	maine	IN
IN_west virginia	west virginia	IN
IN_north dakota	north dakota	IN
IN_arkansas	arkansas	IN
IN_district of columbia	district of columbia	IN
IN_tennessee	tennessee	IN
IN_alaska	alaska	IN
IN_wisconsin	wisconsin	IN
IN_oregon	oregon	IN
IN_ohio	ohio	IN
IN_kentucky	kentucky	IN
IN_nebraska	nebraska	IN
IN_illinois	illinois	IN
IN_montana	montana	IN
IN_california	california	IN
OUT_2016 sir	2016 sir	OUT
IN_texas	texas	IN
IN_iowa	iowa	IN
IN_north carolina	north carolina	IN
IN_new jersey	new jersey	IN
IN_indiana	indiana	IN
OUT_location 1	location 1	OUT
IN_new mexico	new mexico	IN
IN_colorado	colorado	IN
OUT_sir	sir	OUT
IN_alabama	alabama	IN
OUT_municipalities	municipalities	OUT
OUT_2010 senate districts	2010 senate districts	OUT
IN_south carolina	south carolina	IN
OUT_sir interpretation	sir interpretation	OUT
OUT_county	county	OUT
OUT_2010 house districts	2010 house districts	OUT
OUT_sir icon	sir icon	OUT
OUT_hospital location	hospital location	OUT
OUT_central line days	central line days	OUT
OUT_community area	community area	OUT
OUT_utah house districts	utah house districts	OUT
OUT_fips	fips	OUT
OUT_hospital name	hospital name	OUT
OUT_predicted infections	predicted infections	OUT
OUT_latitude	latitude	OUT
OUT_observed bsi	observed bsi	OUT
OUT_number of clinics	number of clinics	OUT
OUT_patient days	patient days	OUT
OUT_deficiency tag number	deficiency tag number	OUT
OUT_procedure type	procedure type	OUT
OUT_zip codes	zip codes	OUT
OUT_benchmark icon	benchmark icon	OUT
OUT_provider zip code	provider zip code	OUT
OUT_zip code	zip code	OUT
OUT_provider name	provider name	OUT
OUT_percent male	percent male	OUT
OUT_planning regions	planning regions	OUT
OUT_facility name	facility name	OUT
OUT_boundaries - zip codes	boundaries - zip codes	OUT
OUT_scope severity code	scope severity code	OUT
OUT_location	location	OUT
OUT_total # of diabetes patients	total # of diabetes patients	OUT
OUT_percent hispanic	percent hispanic	OUT
OUT_city	city	OUT
OUT_inspection cycle	inspection cycle	OUT
OUT_correction date	correction date	OUT
OUT_town index	town index	OUT
OUT_hours of operation	hours of operation	OUT
OUT_provider business address	provider business address	OUT
OUT_processing date	processing date	OUT
OUT_shape st ar	shape st ar	OUT
OUT_health inspection rating	health inspection rating	OUT
OUT_phone number	phone number	OUT
OUT_area name	area name	OUT
OUT_2014 deaths	2014 deaths	OUT
OUT_survey date	survey date	OUT
OUT_address	address	OUT
