stc_label	sentence	category
23_box_elder_county_med	box elder county medicare cost data 2007-2014	Table
OUT_2009	2009	OUT
OUT_2000 life expectancy	2000 life expectancy	OUT
OUT_2007	2007	OUT
OUT_1990 life expectancy	1990 life expectancy	OUT
OUT_2008	2008	OUT
OUT_cases 2011	cases 2011	OUT
OUT_census tract	census tract	OUT
OUT_breast cancer in females	breast cancer in females	OUT
IN_2008 us	2008 us	IN
IN_2009 us	2009 us	IN
OUT_2003	2003	OUT
IN_2007 us	2007 us	IN
OUT_total denominator	total denominator	OUT
OUT_census tract population	census tract population	OUT
IN_2010 us	2010 us	IN
OUT_2000	2000	OUT
IN_2013 us	2013 us	IN
OUT_cases 2007 - 2011	cases 2007 - 2011	OUT
IN_2012 us	2012 us	IN
IN_2011 us	2011 us	IN
IN_2009 box elder	2009 box elder	IN
OUT_independent living	independent living	OUT
IN_2008 box elder	2008 box elder	IN
OUT_disease	disease	OUT
OUT_lung cancer	lung cancer	OUT
OUT_oct- dec denominator	oct- dec denominator	OUT
IN_demographics	demographics	IN
OUT_diabetes rate	diabetes rate	OUT
OUT_stroke	stroke	OUT
OUT_demographic	demographic	OUT
OUT_25 to 29 years old	25 to 29 years old	OUT
OUT_deaths	deaths	OUT
OUT_age group	age group	OUT
OUT_death year	death year	OUT
IN_2011 box elder	2011 box elder	IN
IN_2007 box elder	2007 box elder	IN
IN_2012 box elder	2012 box elder	IN
OUT_demographic type	demographic type	OUT
OUT_special study	special study	OUT
OUT_check out da	check out da	OUT
OUT_year	year	OUT
OUT_crude prevalence rate	crude prevalence rate	OUT
IN_2013 box elder	2013 box elder	IN
IN_2010 box elder	2010 box elder	IN
OUT_zone	zone	OUT
OUT_b- eudesmol	b- eudesmol	OUT
OUT_residential	residential	OUT
OUT_health zone of residence	health zone of residence	OUT
OUT_foster care	foster care	OUT
OUT_primary service to community	primary service to community	OUT
OUT_community registry	community registry	OUT
OUT_average call to door interval	average call to door interval	OUT
OUT_language	language	OUT
OUT_neighborhood planning areas	neighborhood planning areas	OUT
OUT_unknown	unknown	OUT
OUT_month	month	OUT
OUT_completers - gender	completers - gender	OUT
OUT_date time	date time	OUT
OUT_agency	agency	OUT
OUT_percent 2008 lower ci	percent 2008 lower ci	OUT
OUT_quarter number	quarter number	OUT
OUT_number of employees	number of employees	OUT
OUT_description of dog	description of dog	OUT
OUT_fertility rate 2001	fertility rate 2001	OUT
OUT_state name	state name	OUT
OUT_month year	month year	OUT
OUT_end time period	end time period	OUT
OUT_last name	last name	OUT
OUT_eeo category description	eeo category description	OUT
OUT_shortage of other staff	shortage of other staff	OUT
OUT_fertility rate 2008 lower ci	fertility rate 2008 lower ci	OUT
OUT_county name	county name	OUT
OUT_fiscal quarter	fiscal quarter	OUT
OUT_name	name	OUT
OUT_network	network	OUT
OUT_confirmed	confirmed	OUT
OUT_number of prescriptions	number of prescriptions	OUT
OUT_pos category	pos category	OUT
OUT_ab other living arrangements - cases	ab other living arrangements - cases	OUT
OUT_last	last	OUT
OUT_date	date	OUT
OUT_rx per beneficiary	rx per beneficiary	OUT
OUT_source	source	OUT
OUT_county fips code	county fips code	OUT
OUT_fiscal quarter start date	fiscal quarter start date	OUT
OUT_recovered	recovered	OUT
OUT_boundaries single member districts	boundaries single member districts	OUT
OUT_fiscal year	fiscal year	OUT
OUT_beneficiaries	beneficiaries	OUT
OUT_services per beneficiary	services per beneficiary	OUT
OUT_ab total boarding homes - cases	ab total boarding homes - cases	OUT
OUT_date closed	date closed	OUT
OUT_outlier effective date	outlier effective date	OUT
OUT_office visit type	office visit type	OUT
OUT_total plan selections	total plan selections	OUT
OUT_morphine milligram equivalents	morphine milligram equivalents	OUT
OUT_org name	org name	OUT
OUT_ab boarding homes - dds payments	ab boarding homes - dds payments	OUT
OUT_organization name	organization name	OUT
OUT_percent of prescriptions	percent of prescriptions	OUT
