stc_label	sentence	category
25_carbon_monoxide_pois	carbon monoxide poisoning emergency dept visits per 100,000 all states homes	Table
IN_municipalities	municipalities	IN
IN_location 1	location 1	IN
IN_zip codes	zip codes	IN
IN_school districts	school districts	IN
OUT_latitude	latitude	OUT
IN_counties	counties	IN
OUT_provider address	provider address	OUT
OUT_provider state	provider state	OUT
OUT_community area number	community area number	OUT
OUT_county	county	OUT
OUT_zip code	zip code	OUT
OUT_provider city	provider city	OUT
OUT_community area name	community area name	OUT
OUT_federal provider number	federal provider number	OUT
OUT_provider name	provider name	OUT
IN_new york	new york	IN
OUT_provider zip code	provider zip code	OUT
IN_massachusetts	massachusetts	IN
IN_utah	utah	IN
IN_florida	florida	IN
IN_louisiana	louisiana	IN
OUT_camphor	camphor	OUT
OUT_longitude	longitude	OUT
OUT_st	st	OUT
IN_vermont	vermont	IN
IN_maryland	maryland	IN
IN_new hampshire	new hampshire	IN
OUT_hospital	hospital	OUT
IN_new jersey	new jersey	IN
IN_connecticut	connecticut	IN
IN_missouri	missouri	IN
OUT_location name	location name	OUT
IN_minnesota	minnesota	IN
OUT_access point type	access point type	OUT
IN_wisconsin	wisconsin	IN
IN_california	california	IN
IN_iowa	iowa	IN
IN_new mexico	new mexico	IN
IN_maine	maine	IN
OUT_standard deficiency	standard deficiency	OUT
OUT_# of diabetes patients receiving appropriate care	# of diabetes patients receiving appropriate care	OUT
OUT_survey type	survey type	OUT
IN_south carolina	south carolina	IN
OUT_fips	fips	OUT
OUT_deficiency corrected	deficiency corrected	OUT
OUT_address	address	OUT
OUT_area name	area name	OUT
OUT_number of ventilators in facility	number of ventilators in facility	OUT
OUT_site languages	site languages	OUT
OUT_# of patients who received appropriate treatment	# of patients who received appropriate treatment	OUT
OUT_shortage of nursing staff	shortage of nursing staff	OUT
OUT_state	state	OUT
OUT_shape st le	shape st le	OUT
OUT_average age of death	average age of death	OUT
OUT_refugee clinic patients	refugee clinic patients	OUT
OUT_35 to 39 years old	35 to 39 years old	OUT
OUT_total number of occupied beds	total number of occupied beds	OUT
OUT_physician ownership transaction id	physician ownership transaction id	OUT
OUT_product indicator	product indicator	OUT
OUT_recipient city	recipient city	OUT
OUT_physician last name	physician last name	OUT
OUT_recipient state	recipient state	OUT
OUT_physician profile id	physician profile id	OUT
OUT_applicable manufacturer or applicable gpo making payment name	applicable manufacturer or applicable gpo making payment name	OUT
OUT_applicable manufacturer or applicable gpo making payment state	applicable manufacturer or applicable gpo making payment state	OUT
OUT_nerol	nerol	OUT
OUT_total amount of payment us dollars	total amount of payment us dollars	OUT
OUT_applicable manufacturer or applicable gpo making payment id	applicable manufacturer or applicable gpo making payment id	OUT
OUT_fertility rate 2008 lower ci	fertility rate 2008 lower ci	OUT
