stc_label	sentence	category
26_child_day_care_cente	child day care centers and group day care homes	Table
OUT_# of patients who received appropriate treatment	# of patients who received appropriate treatment	OUT
OUT_street address	street address	OUT
OUT_# of diabetes patients receiving appropriate care	# of diabetes patients receiving appropriate care	OUT
IN_address	address	IN
IN_city	city	IN
OUT_longitude	longitude	OUT
OUT_website	website	OUT
IN_location	location	IN
IN_town index	town index	IN
IN_planning regions	planning regions	IN
OUT_total # of patients who were treated	total # of patients who were treated	OUT
OUT_incident address street number	incident address street number	OUT
IN_phone	phone	IN
OUT_number of clinics	number of clinics	OUT
IN_zip	zip	IN
OUT_measure description	measure description	OUT
IN_zip code	zip code	IN
OUT_community area name	community area name	OUT
IN_zip code 2	zip code 2	IN
OUT_hospital location	hospital location	OUT
OUT_community area	community area	OUT
OUT_observed infections	observed infections	OUT
OUT_location 1	location 1	OUT
OUT_measure id	measure id	OUT
OUT_sir interpretation	sir interpretation	OUT
OUT_county	county	OUT
OUT_sir icon	sir icon	OUT
OUT_predicted infections	predicted infections	OUT
IN_counties	counties	IN
OUT_percentile on 2014 national sir distribution	percentile on 2014 national sir distribution	OUT
OUT_colorado	colorado	OUT
OUT_montana	montana	OUT
OUT_arkansas	arkansas	OUT
OUT_fips	fips	OUT
OUT_number of all beds	number of all beds	OUT
OUT_complaint status	complaint status	OUT
OUT_complaint number	complaint number	OUT
OUT_65 to 69 years old	65 to 69 years old	OUT
OUT_incident address	incident address	OUT
OUT_35 to 39 years old	35 to 39 years old	OUT
OUT_60 to 64 years old	60 to 64 years old	OUT
OUT_physician middle name	physician middle name	OUT
OUT_recipient country	recipient country	OUT
OUT_physician first name	physician first name	OUT
OUT_physician name suffix	physician name suffix	OUT
OUT_50 to 54 years old	50 to 54 years old	OUT
OUT_physician specialty	physician specialty	OUT
OUT_recipient postal code	recipient postal code	OUT
OUT_research transaction id	research transaction id	OUT
OUT_submitting applicable manufacturer or applicable gpo name	submitting applicable manufacturer or applicable gpo name	OUT
OUT_applicable manufacturer or applicable gpo making payment id	applicable manufacturer or applicable gpo making payment id	OUT
IN_legal operator	legal operator	IN
OUT_75 to 79 years old	75 to 79 years old	OUT
OUT_any current supply of ventilator supplies	any current supply of ventilator supplies	OUT
OUT_fertility rate 2004 lower ci	fertility rate 2004 lower ci	OUT
OUT_fertility rate 2006 lower ci	fertility rate 2006 lower ci	OUT
OUT_fertility rate 2007 lower ci	fertility rate 2007 lower ci	OUT
OUT_fertility rate 2009 upper ci	fertility rate 2009 upper ci	OUT
OUT_fertility rate 2000 lower ci	fertility rate 2000 lower ci	OUT
OUT_percent 2004	percent 2004	OUT
OUT_percent 2005 upper ci	percent 2005 upper ci	OUT
OUT_fertility rate 2001	fertility rate 2001	OUT
OUT_percent 2002 upper ci	percent 2002 upper ci	OUT
OUT_percent 2001	percent 2001	OUT
OUT_births 2008	births 2008	OUT
OUT_births 2006	births 2006	OUT
OUT_percent 2000	percent 2000	OUT
OUT_outlier effective date	outlier effective date	OUT
OUT_payment type	payment type	OUT
OUT_70 to 74 years old	70 to 74 years old	OUT
OUT_years averaged	years averaged	OUT
OUT_25 to 29 years old	25 to 29 years old	OUT
OUT_unit values	unit values	OUT
OUT_15 to 19 years old	15 to 19 years old	OUT
OUT_cases 2007 - 2011	cases 2007 - 2011	OUT
OUT_2000	2000	OUT
OUT_teen birth rate	teen birth rate	OUT
IN_license #	license #	IN
OUT_2004	2004	OUT
OUT_amount	amount	OUT
OUT_total provider payment 25	total provider payment 25	OUT
OUT_2001	2001	OUT
OUT_2002	2002	OUT
IN_expiration date	expiration date	IN
OUT_census tract	census tract	OUT
OUT_cases 2011	cases 2011	OUT
OUT_cases 2008	cases 2008	OUT
OUT_npi	npi	OUT
OUT_clinical trials gov identifier	clinical trials gov identifier	OUT
OUT_2007 duchesne	2007 duchesne	OUT
OUT_1990 life expectancy	1990 life expectancy	OUT
OUT_descriptor 1 311	descriptor 1 311	OUT
OUT_2008 carbon	2008 carbon	OUT
OUT_ventilator dependent unit	ventilator dependent unit	OUT
OUT_2013 duchesne	2013 duchesne	OUT
OUT_shortage of other staff	shortage of other staff	OUT
OUT_childhood lead poisoning	childhood lead poisoning	OUT
OUT_2008 us	2008 us	OUT
OUT_2009 us	2009 us	OUT
OUT_2010	2010	OUT
OUT_2007 us	2007 us	OUT
OUT_census tract population	census tract population	OUT
OUT_2010 us	2010 us	OUT
OUT_dme	dme	OUT
OUT_2013 us	2013 us	OUT
OUT_guaiol	guaiol	OUT
OUT_2006	2006	OUT
OUT_2012 us	2012 us	OUT
OUT_death rate for suicide	death rate for suicide	OUT
OUT_2011 us	2011 us	OUT
OUT_2010 carbon	2010 carbon	OUT
OUT_provider organization name legal business name	provider organization name legal business name	OUT
OUT_food insecure percentage	food insecure percentage	OUT
OUT_2010 life expectancy	2010 life expectancy	OUT
OUT_2008 box elder	2008 box elder	OUT
OUT_ethnicity	ethnicity	OUT
OUT_count of suicides	count of suicides	OUT
OUT_disease	disease	OUT
OUT_2016	2016	OUT
OUT_oct- dec denominator	oct- dec denominator	OUT
OUT_manner of death	manner of death	OUT
OUT_years of potential life lost rate for total population	years of potential life lost rate for total population	OUT
OUT_sex	sex	OUT
OUT_diabetes rate	diabetes rate	OUT
OUT_payment type subcategory	payment type subcategory	OUT
OUT_prevalence	prevalence	OUT
OUT_outlier	outlier	OUT
OUT_protocol	protocol	OUT
OUT_race	race	OUT
OUT_gender	gender	OUT
OUT_2018	2018	OUT
OUT_minutes	minutes	OUT
OUT_producer	producer	OUT
IN_total capacity	total capacity	IN
OUT_id	id	OUT
OUT_age	age	OUT
OUT_cedrol	cedrol	OUT
OUT_provider other organization name	provider other organization name	OUT
IN_type	type	IN
OUT_primary drug	primary drug	OUT
OUT_title	title	OUT
OUT_age group	age group	OUT
OUT_death year	death year	OUT
OUT_check out da	check out da	OUT
OUT_2012 box elder	2012 box elder	OUT
OUT_special study	special study	OUT
OUT_crude prevalence rate	crude prevalence rate	OUT
OUT_year	year	OUT
OUT_2013 box elder	2013 box elder	OUT
OUT_zone	zone	OUT
OUT_date opened	date opened	OUT
OUT_cost per beneficiary	cost per beneficiary	OUT
OUT_percent of prescriptions	percent of prescriptions	OUT
OUT_pulegol	pulegol	OUT
OUT_community registry	community registry	OUT
OUT_crowded housing	crowded housing	OUT
OUT_date closed	date closed	OUT
OUT_ab boarding homes - dds payments	ab boarding homes - dds payments	OUT
OUT_organization	organization	OUT
OUT_language	language	OUT
IN_capacity under 3	capacity under 3	IN
OUT_morphine milligram equivalents	morphine milligram equivalents	OUT
OUT_office visit type	office visit type	OUT
OUT_research information link	research information link	OUT
OUT_unknown	unknown	OUT
OUT_residents weekly all deaths	residents weekly all deaths	OUT
OUT_number of employees	number of employees	OUT
OUT_ab total boarding homes - cases	ab total boarding homes - cases	OUT
OUT_month	month	OUT
OUT_boundaries single member districts	boundaries single member districts	OUT
OUT_beginning time period	beginning time period	OUT
OUT_beneficiaries	beneficiaries	OUT
OUT_outpatient interim rates	outpatient interim rates	OUT
OUT_services per beneficiary	services per beneficiary	OUT
OUT_frequency	frequency	OUT
OUT_completion rate - 1 - 2 years	completion rate - 1 - 2 years	OUT
OUT_fiscal year	fiscal year	OUT
OUT_date time	date time	OUT
OUT_adm month	adm month	OUT
OUT_program	program	OUT
OUT_source	source	OUT
OUT_enrollees - gender	enrollees - gender	OUT
OUT_small area code	small area code	OUT
OUT_ab boarding homes - dds - cases	ab boarding homes - dds - cases	OUT
OUT_b- caryophyllene	b- caryophyllene	OUT
OUT_rx per beneficiary	rx per beneficiary	OUT
OUT_rate	rate	OUT
OUT_quarter	quarter	OUT
OUT_end time period	end time period	OUT
OUT_state name	state name	OUT
OUT_date	date	OUT
OUT_ab other living arrangements - cases	ab other living arrangements - cases	OUT
OUT_month year	month year	OUT
IN_ages served	ages served	IN
OUT_call to door interval target	call to door interval target	OUT
OUT_calls	calls	OUT
OUT_total expenditure	total expenditure	OUT
OUT_fiscal quarter key	fiscal quarter key	OUT
IN_name	name	IN
OUT_county name	county name	OUT
