stc_label	sentence	category
29_communicable_disease	communicable disease clinic patient visits per month	Table
OUT_neighborhood planning areas	neighborhood planning areas	OUT
OUT_beginning time period	beginning time period	OUT
IN_month	month	IN
IN_std clinic patients	std clinic patients	IN
OUT_terpinolene	terpinolene	OUT
OUT_agency	agency	OUT
OUT_number of fbi critical	number of fbi critical	OUT
OUT_date time	date time	OUT
OUT_therapeutic foster care	therapeutic foster care	OUT
OUT_study phase	study phase	OUT
OUT_group home	group home	OUT
OUT_community registry	community registry	OUT
OUT_pulegol	pulegol	OUT
OUT_small area code	small area code	OUT
OUT_rate	rate	OUT
OUT_relative care	relative care	OUT
OUT_animal type	animal type	OUT
OUT_state name	state name	OUT
IN_year	year	IN
OUT_end date	end date	OUT
OUT_mean annual frequency	mean annual frequency	OUT
OUT_zoning review cases data	zoning review cases data	OUT
OUT_2011 box elder	2011 box elder	OUT
OUT_2007 box elder	2007 box elder	OUT
OUT_health care provider	health care provider	OUT
OUT_description of dog	description of dog	OUT
OUT_fiscal quarter	fiscal quarter	OUT
OUT_county name	county name	OUT
OUT_id	id	OUT
OUT_deaths	deaths	OUT
OUT_2018	2018	OUT
OUT_network	network	OUT
OUT_age upon intake	age upon intake	OUT
OUT_name	name	OUT
OUT_b- pinene	b- pinene	OUT
OUT_region	region	OUT
OUT_b- terpinene	b- terpinene	OUT
OUT_outlier	outlier	OUT
OUT_# deaths for total population	# deaths for total population	OUT
OUT_rate effective date	rate effective date	OUT
OUT_single member council districts	single member council districts	OUT
OUT_dependency	dependency	OUT
OUT_file date	file date	OUT
OUT_stroke	stroke	OUT
OUT_diabetes rate	diabetes rate	OUT
OUT_sex	sex	OUT
OUT_date	date	OUT
OUT_last	last	OUT
OUT_demographics	demographics	OUT
OUT_fiscal quarter start date	fiscal quarter start date	OUT
OUT_disease	disease	OUT
OUT_food insecure population	food insecure population	OUT
OUT_boundaries single member districts	boundaries single member districts	OUT
OUT_description	description	OUT
IN_fiscal year	fiscal year	IN
OUT_date closed	date closed	OUT
OUT_2015	2015	OUT
OUT_food insecure percentage	food insecure percentage	OUT
OUT_2010 life expectancy	2010 life expectancy	OUT
OUT_2009 box elder	2009 box elder	OUT
OUT_ab boarding homes - dds payments	ab boarding homes - dds payments	OUT
OUT_organization name	organization name	OUT
OUT_2011 us	2011 us	OUT
OUT_2006	2006	OUT
OUT_2013 us	2013 us	OUT
OUT_2012	2012	OUT
OUT_ab overall cost per case	ab overall cost per case	OUT
OUT_2009 us	2009 us	OUT
OUT_title	title	OUT
OUT_2008 us	2008 us	OUT
OUT_gonorrhea in females	gonorrhea in females	OUT
OUT_2009 carbon	2009 carbon	OUT
OUT_producer	producer	OUT
OUT_ab total maintenance payments	ab total maintenance payments	OUT
OUT_2008	2008	OUT
OUT_1990 life expectancy	1990 life expectancy	OUT
OUT_2000 life expectancy	2000 life expectancy	OUT
OUT_cases 2011	cases 2011	OUT
OUT_referral type	referral type	OUT
OUT_census tract	census tract	OUT
OUT_cases 2010	cases 2010	OUT
OUT_2002	2002	OUT
OUT_provider organization name legal business name	provider organization name legal business name	OUT
OUT_laboratory type is other	laboratory type is other	OUT
OUT_2003	2003	OUT
OUT_dme	dme	OUT
OUT_cases 2009	cases 2009	OUT
OUT_2005	2005	OUT
OUT_email	email	OUT
