stc_label	sentence	category
33_dialysis_facilities_	dialysis facilities comparison data utah	Table
OUT_number of clinics	number of clinics	OUT
OUT_hospital name	hospital name	OUT
IN_facility name	facility name	IN
IN_provider number	provider number	IN
IN_address line 2	address line 2	IN
IN_zip codes	zip codes	IN
IN_municipalities	municipalities	IN
IN_address line 1	address line 1	IN
IN_location 1	location 1	IN
OUT_provider zip code	provider zip code	OUT
IN_school districts	school districts	IN
OUT_zip code	zip code	OUT
OUT_community area number	community area number	OUT
OUT_community area	community area	OUT
IN_counties	counties	IN
IN_location	location	IN
OUT_community area name	community area name	OUT
IN_county	county	IN
OUT_latitude	latitude	OUT
OUT_location name	location name	OUT
OUT_city	city	OUT
OUT_# of diabetes patients receiving appropriate care	# of diabetes patients receiving appropriate care	OUT
OUT_access point type	access point type	OUT
OUT_washington	washington	OUT
OUT_virginia	virginia	OUT
OUT_wyoming	wyoming	OUT
OUT_north dakota	north dakota	OUT
OUT_missouri	missouri	OUT
OUT_oregon	oregon	OUT
OUT_kentucky	kentucky	OUT
OUT_bin	bin	OUT
OUT_south carolina	south carolina	OUT
IN_phone number	phone number	IN
OUT_laboratory type is state health dept	laboratory type is state health dept	OUT
OUT_unknown age	unknown age	OUT
OUT_address	address	OUT
OUT_area name	area name	OUT
OUT_number of ventilators in facility	number of ventilators in facility	OUT
OUT_shortage of nursing staff	shortage of nursing staff	OUT
OUT_state	state	OUT
OUT_average age of death	average age of death	OUT
OUT_less than 5 years old	less than 5 years old	OUT
OUT_45 to 49 years old	45 to 49 years old	OUT
OUT_total number of occupied beds	total number of occupied beds	OUT
OUT_physician specialty	physician specialty	OUT
OUT_form of payment or transfer of value	form of payment or transfer of value	OUT
OUT_physician primary type	physician primary type	OUT
OUT_recipient postal code	recipient postal code	OUT
OUT_dispute status for publication	dispute status for publication	OUT
OUT_applicable manufacturer or applicable gpo making payment name	applicable manufacturer or applicable gpo making payment name	OUT
OUT_nerol	nerol	OUT
OUT_applicable manufacturer or applicable gpo making payment id	applicable manufacturer or applicable gpo making payment id	OUT
OUT_10 to 14 years old	10 to 14 years old	OUT
OUT_percent 2004	percent 2004	OUT
OUT_percent 2004 upper ci	percent 2004 upper ci	OUT
OUT_births 2005	births 2005	OUT
OUT_fertility rate 1999	fertility rate 1999	OUT
OUT_births 2002	births 2002	OUT
OUT_any current supply of hand sanitizer	any current supply of hand sanitizer	OUT
OUT_births 2003	births 2003	OUT
OUT_percent 2006	percent 2006	OUT
OUT_percent 1999	percent 1999	OUT
OUT_outlier effective date	outlier effective date	OUT
OUT_payment type	payment type	OUT
OUT_low birth weight	low birth weight	OUT
OUT_all ages	all ages	OUT
OUT_cases 2007 - 2011	cases 2007 - 2011	OUT
OUT_2000	2000	OUT
OUT_resident access to testing in facility	resident access to testing in facility	OUT
OUT_teen birth rate	teen birth rate	OUT
OUT_cases 2009	cases 2009	OUT
OUT_2003	2003	OUT
OUT_2002	2002	OUT
OUT_cases 2007	cases 2007	OUT
OUT_census tract	census tract	OUT
OUT_amount	amount	OUT
OUT_2009 duchesne	2009 duchesne	OUT
OUT_cases 2008	cases 2008	OUT
OUT_2000 life expectancy	2000 life expectancy	OUT
OUT_laboratory type is other	laboratory type is other	OUT
OUT_2007	2007	OUT
OUT_1990 life expectancy	1990 life expectancy	OUT
OUT_2008	2008	OUT
OUT_total provider payment 75	total provider payment 75	OUT
OUT_2008 carbon	2008 carbon	OUT
OUT_2011 duchesne	2011 duchesne	OUT
OUT_2013 duchesne	2013 duchesne	OUT
OUT_gonorrhea in females	gonorrhea in females	OUT
OUT_2009 us	2009 us	OUT
OUT_2010	2010	OUT
OUT_2007 us	2007 us	OUT
OUT_total denominator	total denominator	OUT
OUT_census tract population	census tract population	OUT
OUT_2012	2012	OUT
OUT_2010 us	2010 us	OUT
OUT_2013 us	2013 us	OUT
OUT_2012 us	2012 us	OUT
OUT_death rate for suicide	death rate for suicide	OUT
OUT_2011 carbon	2011 carbon	OUT
OUT_a- cedrene	a- cedrene	OUT
OUT_food insecure percentage	food insecure percentage	OUT
OUT_2014	2014	OUT
OUT_2010 life expectancy	2010 life expectancy	OUT
OUT_dme	dme	OUT
OUT_gonorrhea in males	gonorrhea in males	OUT
OUT_2015	2015	OUT
OUT_general fertility rate	general fertility rate	OUT
OUT_independent living	independent living	OUT
