stc_label	sentence	category
36_dors_brs_map_view	dors brs map view	Table
OUT_incident address zip	incident address zip	OUT
OUT_street address	street address	OUT
IN_town index	town index	IN
OUT_longitude	longitude	OUT
IN_address	address	IN
OUT_location	location	OUT
IN_planning regions	planning regions	IN
OUT_primary site	primary site	OUT
IN_city	city	IN
OUT_total # of patients who were treated	total # of patients who were treated	OUT
OUT_facility name	facility name	OUT
OUT_total # of diabetes patients	total # of diabetes patients	OUT
OUT_area name	area name	OUT
OUT_website	website	OUT
OUT_provider city	provider city	OUT
OUT_provider address	provider address	OUT
OUT_correction date	correction date	OUT
OUT_bin	bin	OUT
IN_zip code	zip code	IN
IN_zip code 2	zip code 2	IN
OUT_zip codes	zip codes	OUT
OUT_number of clinics	number of clinics	OUT
OUT_provider state	provider state	OUT
OUT_federal provider number	federal provider number	OUT
OUT_community area name	community area name	OUT
IN_phone	phone	IN
OUT_hospital name	hospital name	OUT
OUT_hospital location	hospital location	OUT
OUT_shape st ar	shape st ar	OUT
OUT_tb clinic patients	tb clinic patients	OUT
OUT_camphor	camphor	OUT
OUT_sir interpretation	sir interpretation	OUT
OUT_deficiency prefix	deficiency prefix	OUT
OUT_benchmark icon	benchmark icon	OUT
OUT_council district	council district	OUT
OUT_location 1	location 1	OUT
OUT_community area	community area	OUT
OUT_catheter days	catheter days	OUT
OUT_deficiency description	deficiency description	OUT
OUT_county	county	OUT
OUT_sir icon	sir icon	OUT
IN_counties	counties	IN
OUT_2016 sir	2016 sir	OUT
OUT_predicted infections	predicted infections	OUT
OUT_standard deficiency	standard deficiency	OUT
OUT_percentile on 2014 national sir distribution	percentile on 2014 national sir distribution	OUT
OUT_fenchone	fenchone	OUT
OUT_state	state	OUT
OUT_ohio	ohio	OUT
OUT_isoborneol	isoborneol	OUT
OUT_borneol	borneol	OUT
OUT_vermont	vermont	OUT
OUT_maryland	maryland	OUT
OUT_north carolina	north carolina	OUT
OUT_fips	fips	OUT
OUT_shortage of clinical staff	shortage of clinical staff	OUT
OUT_complaint number	complaint number	OUT
OUT_refugee clinic patients	refugee clinic patients	OUT
OUT_65 to 69 years old	65 to 69 years old	OUT
OUT_incident address	incident address	OUT
OUT_60 to 64 years old	60 to 64 years old	OUT
OUT_recipient city	recipient city	OUT
OUT_recipient country	recipient country	OUT
OUT_physician first name	physician first name	OUT
OUT_physician name suffix	physician name suffix	OUT
OUT_physician last name	physician last name	OUT
OUT_recipient zip code	recipient zip code	OUT
OUT_physician primary type	physician primary type	OUT
OUT_applicable manufacturer or applicable gpo making payment country	applicable manufacturer or applicable gpo making payment country	OUT
OUT_applicable manufacturer or applicable gpo making payment state	applicable manufacturer or applicable gpo making payment state	OUT
OUT_total amount of payment us dollars	total amount of payment us dollars	OUT
OUT_20 to 24 years old	20 to 24 years old	OUT
OUT_drug cost	drug cost	OUT
OUT_fertility rate 2004 lower ci	fertility rate 2004 lower ci	OUT
OUT_fertility rate 2008 lower ci	fertility rate 2008 lower ci	OUT
OUT_fertility rate 2006 upper ci	fertility rate 2006 upper ci	OUT
OUT_fertility rate 2001 upper ci	fertility rate 2001 upper ci	OUT
OUT_percent 2004	percent 2004	OUT
OUT_births 2005	births 2005	OUT
OUT_fertility rate 2009	fertility rate 2009	OUT
OUT_percent 2007 lower ci	percent 2007 lower ci	OUT
OUT_percent 2006	percent 2006	OUT
OUT_percent 2007 upper ci	percent 2007 upper ci	OUT
OUT_percent 2000 upper ci	percent 2000 upper ci	OUT
OUT_percent 2008 upper ci	percent 2008 upper ci	OUT
OUT_70 to 74 years old	70 to 74 years old	OUT
OUT_years averaged	years averaged	OUT
OUT_payment type	payment type	OUT
OUT_unit values	unit values	OUT
OUT_cases 2009	cases 2009	OUT
OUT_2003	2003	OUT
OUT_2004	2004	OUT
OUT_2001	2001	OUT
OUT_amount	amount	OUT
OUT_2002	2002	OUT
OUT_census tract	census tract	OUT
OUT_shortage of aides	shortage of aides	OUT
OUT_cases 2011	cases 2011	OUT
OUT_cases 2008	cases 2008	OUT
OUT_2000 life expectancy	2000 life expectancy	OUT
OUT_total provider payment 75	total provider payment 75	OUT
OUT_2007	2007	OUT
OUT_1990 life expectancy	1990 life expectancy	OUT
OUT_2008	2008	OUT
OUT_2011 duchesne	2011 duchesne	OUT
OUT_2013	2013	OUT
OUT_2008 us	2008 us	OUT
OUT_2009 us	2009 us	OUT
OUT_2007 us	2007 us	OUT
OUT_census tract population	census tract population	OUT
OUT_2012 us	2012 us	OUT
OUT_dme	dme	OUT
OUT_death rate for suicide	death rate for suicide	OUT
OUT_2011 carbon	2011 carbon	OUT
OUT_2011 us	2011 us	OUT
OUT_food insecure percentage	food insecure percentage	OUT
OUT_2009 box elder	2009 box elder	OUT
OUT_2014	2014	OUT
OUT_provider organization name legal business name	provider organization name legal business name	OUT
OUT_general fertility rate	general fertility rate	OUT
OUT_2013 carbon	2013 carbon	OUT
OUT_food insecure population	food insecure population	OUT
OUT_ethnicity	ethnicity	OUT
OUT_oct- dec denominator	oct- dec denominator	OUT
OUT_completion rate - % completed	completion rate - % completed	OUT
OUT_years of potential life lost rate for total population	years of potential life lost rate for total population	OUT
OUT_total numerator	total numerator	OUT
OUT_sex	sex	OUT
OUT_diabetes rate	diabetes rate	OUT
OUT_# deaths for total population	# deaths for total population	OUT
OUT_demographic	demographic	OUT
OUT_payment type subcategory	payment type subcategory	OUT
OUT_2018	2018	OUT
OUT_id	id	OUT
OUT_age	age	OUT
OUT_cedrol	cedrol	OUT
OUT_minutes	minutes	OUT
OUT_age group	age group	OUT
OUT_2017	2017	OUT
OUT_fy month order	fy month order	OUT
OUT_provider other organization name	provider other organization name	OUT
OUT_primary drug	primary drug	OUT
OUT_fenchol	fenchol	OUT
OUT_check out da	check out da	OUT
OUT_2012 box elder	2012 box elder	OUT
OUT_paid per service	paid per service	OUT
OUT_title	title	OUT
OUT_year	year	OUT
OUT_eeo category	eeo category	OUT
OUT_ab boarding homes - other payments	ab boarding homes - other payments	OUT
OUT_sex upon intake	sex upon intake	OUT
OUT_zone	zone	OUT
OUT_relative care	relative care	OUT
OUT_residential	residential	OUT
OUT_services rendered	services rendered	OUT
OUT_animal id	animal id	OUT
OUT_foster care	foster care	OUT
OUT_date opened	date opened	OUT
OUT_breed	breed	OUT
OUT_std clinic patients	std clinic patients	OUT
OUT_cost per beneficiary	cost per beneficiary	OUT
OUT_percent of prescriptions	percent of prescriptions	OUT
OUT_crowded housing	crowded housing	OUT
OUT_average call to door interval	average call to door interval	OUT
OUT_first name	first name	OUT
OUT_neighborhood planning areas	neighborhood planning areas	OUT
OUT_date closed	date closed	OUT
OUT_unknown	unknown	OUT
OUT_the geom	the geom	OUT
OUT_month	month	OUT
OUT_total plan selections	total plan selections	OUT
OUT_morphine milligram equivalents	morphine milligram equivalents	OUT
OUT_office visit type	office visit type	OUT
OUT_study phase	study phase	OUT
OUT_date time	date time	OUT
OUT_completion rate - 1 - 2 years	completion rate - 1 - 2 years	OUT
OUT_boundaries single member districts	boundaries single member districts	OUT
OUT_beneficiaries	beneficiaries	OUT
OUT_outpatient interim rates	outpatient interim rates	OUT
OUT_fiscal year	fiscal year	OUT
OUT_fiscal quarter end date	fiscal quarter end date	OUT
OUT_ab total paid cases	ab total paid cases	OUT
OUT_reporting period	reporting period	OUT
OUT_fiscal quarter start date	fiscal quarter start date	OUT
OUT_source	source	OUT
OUT_county fips code	county fips code	OUT
OUT_town	town	OUT
OUT_end time period	end time period	OUT
OUT_quarter	quarter	OUT
OUT_ab boarding homes - other - cases	ab boarding homes - other - cases	OUT
OUT_terpineol	terpineol	OUT
OUT_mean annual frequency	mean annual frequency	OUT
OUT_calls	calls	OUT
