stc_label	sentence	category
37_duchesne_county_medi	duchesne county medicare cost data 2007-2013	Table
IN_2009 duchesne	2009 duchesne	IN
IN_2008 duchesne	2008 duchesne	IN
OUT_census tract	census tract	OUT
OUT_2009	2009	OUT
OUT_cases 2007	cases 2007	OUT
IN_2007 duchesne	2007 duchesne	IN
OUT_2000 life expectancy	2000 life expectancy	OUT
OUT_1990 life expectancy	1990 life expectancy	OUT
OUT_cases 2010	cases 2010	OUT
OUT_2002	2002	OUT
OUT_2008	2008	OUT
IN_2011 duchesne	2011 duchesne	IN
IN_2010 duchesne	2010 duchesne	IN
OUT_2003	2003	OUT
OUT_descriptor 1 311	descriptor 1 311	OUT
IN_2013 duchesne	2013 duchesne	IN
OUT_cases 2009	cases 2009	OUT
IN_2008 us	2008 us	IN
OUT_2005	2005	OUT
IN_2009 us	2009 us	IN
IN_2007 us	2007 us	IN
IN_2012 duchesne	2012 duchesne	IN
IN_2010 us	2010 us	IN
IN_2013 us	2013 us	IN
IN_2012 us	2012 us	IN
IN_2011 us	2011 us	IN
OUT_a- cedrene	a- cedrene	OUT
OUT_count of suicides	count of suicides	OUT
OUT_disease	disease	OUT
OUT_oct- dec denominator	oct- dec denominator	OUT
OUT_oct- dec numerator	oct- dec numerator	OUT
IN_demographics	demographics	IN
OUT_low birth weight	low birth weight	OUT
OUT_sex	sex	OUT
OUT_years of potential life lost rate for total population	years of potential life lost rate for total population	OUT
OUT_diabetes rate	diabetes rate	OUT
OUT_demographic	demographic	OUT
OUT_race	race	OUT
OUT_years averaged	years averaged	OUT
OUT_age upon intake	age upon intake	OUT
OUT_age group	age group	OUT
OUT_2017	2017	OUT
OUT_year	year	OUT
OUT_crude prevalence rate	crude prevalence rate	OUT
OUT_residential	residential	OUT
OUT_animal id	animal id	OUT
OUT_group home	group home	OUT
OUT_community registry	community registry	OUT
OUT_therapeutic foster care	therapeutic foster care	OUT
OUT_color	color	OUT
OUT_births 2008	births 2008	OUT
OUT_organization	organization	OUT
OUT_neighborhood planning areas	neighborhood planning areas	OUT
OUT_adm year	adm year	OUT
OUT_month	month	OUT
OUT_fertility rate 2008	fertility rate 2008	OUT
OUT_beginning time period	beginning time period	OUT
OUT_date time	date time	OUT
OUT_fertility rate 2009	fertility rate 2009	OUT
OUT_quarter number	quarter number	OUT
OUT_number of employees	number of employees	OUT
OUT_small area code	small area code	OUT
OUT_state name	state name	OUT
OUT_fertility rate 2003	fertility rate 2003	OUT
OUT_fertility rate 2008 lower ci	fertility rate 2008 lower ci	OUT
OUT_fertility rate 2001 lower ci	fertility rate 2001 lower ci	OUT
OUT_fertility rate 2005 lower ci	fertility rate 2005 lower ci	OUT
OUT_fertility rate 2002 lower ci	fertility rate 2002 lower ci	OUT
OUT_month year	month year	OUT
OUT_end time period	end time period	OUT
