stc_label	sentence	category
43_hospital_value_based	hospital value based purchasing scores from medicare for utah hospitals	Table
IN_hospital name	hospital name	IN
OUT_number of clinics	number of clinics	OUT
IN_location 1	location 1	IN
IN_municipalities	municipalities	IN
OUT_community area	community area	OUT
IN_school districts	school districts	IN
IN_zip codes	zip codes	IN
IN_provider number	provider number	IN
OUT_provider address	provider address	OUT
OUT_community area number	community area number	OUT
IN_counties	counties	IN
OUT_latitude	latitude	OUT
IN_zip code	zip code	IN
IN_weighted efficiency domain score	weighted efficiency domain score	IN
OUT_county	county	OUT
OUT_community area name	community area name	OUT
OUT_district of columbia	district of columbia	OUT
IN_location	location	IN
OUT_hospital	hospital	OUT
OUT_access point type	access point type	OUT
OUT_location name	location name	OUT
IN_unweighted normalized efficiency domain score	unweighted normalized efficiency domain score	IN
OUT_total # of diabetes patients	total # of diabetes patients	OUT
OUT_maryland	maryland	OUT
OUT_arizona	arizona	OUT
OUT_georgia	georgia	OUT
OUT_oregon	oregon	OUT
OUT_tennessee	tennessee	OUT
OUT_illinois	illinois	OUT
IN_weighted clinical process of care domain score	weighted clinical process of care domain score	IN
IN_unweighted normalized clinical process of care domain score	unweighted normalized clinical process of care domain score	IN
OUT_fips	fips	OUT
OUT_alabama	alabama	OUT
OUT_bin	bin	OUT
IN_weighted patient experience of care domain score	weighted patient experience of care domain score	IN
OUT_laboratory type is state health dept	laboratory type is state health dept	OUT
IN_weighted outcome domain score	weighted outcome domain score	IN
OUT_primary site	primary site	OUT
IN_unweighted normalized outcome domain score	unweighted normalized outcome domain score	IN
OUT_area name	area name	OUT
OUT_address	address	OUT
IN_unweighted patient experience of care domain score	unweighted patient experience of care domain score	IN
OUT_# of patients who received appropriate treatment	# of patients who received appropriate treatment	OUT
OUT_measure description	measure description	OUT
OUT_total # of patients who were treated	total # of patients who were treated	OUT
OUT_number of all beds	number of all beds	OUT
OUT_incident address street name	incident address street name	OUT
IN_total performance score	total performance score	IN
OUT_less than 5 years old	less than 5 years old	OUT
OUT_65 to 69 years old	65 to 69 years old	OUT
OUT_refugee clinic patients	refugee clinic patients	OUT
OUT_physician ownership transaction id	physician ownership transaction id	OUT
OUT_physician middle name	physician middle name	OUT
OUT_50 to 54 years old	50 to 54 years old	OUT
OUT_physician name suffix	physician name suffix	OUT
OUT_physician specialty	physician specialty	OUT
OUT_recipient state	recipient state	OUT
OUT_physician primary type	physician primary type	OUT
OUT_applicable manufacturer or applicable gpo making payment country	applicable manufacturer or applicable gpo making payment country	OUT
OUT_applicable manufacturer or applicable gpo making payment state	applicable manufacturer or applicable gpo making payment state	OUT
OUT_applicable manufacturer or applicable gpo making payment id	applicable manufacturer or applicable gpo making payment id	OUT
OUT_drug cost	drug cost	OUT
OUT_fertility rate 2006 lower ci	fertility rate 2006 lower ci	OUT
OUT_fertility rate 2005 upper ci	fertility rate 2005 upper ci	OUT
OUT_percent 2004 lower ci	percent 2004 lower ci	OUT
OUT_serial number	serial number	OUT
OUT_percent 2003	percent 2003	OUT
OUT_percent 2009	percent 2009	OUT
OUT_births 2008	births 2008	OUT
OUT_births 2006	births 2006	OUT
OUT_percent 2008	percent 2008	OUT
OUT_years averaged	years averaged	OUT
OUT_payment type	payment type	OUT
OUT_any current supply of gloves	any current supply of gloves	OUT
OUT_2005	2005	OUT
OUT_2003	2003	OUT
OUT_2001	2001	OUT
OUT_cases 2010	cases 2010	OUT
