stc_label	sentence	category
48_medical_payments_to_	medical payments to physicians in nova scotia	Table
OUT_date received	date received	OUT
IN_payment type	payment type	IN
OUT_measure response	measure response	OUT
IN_amount	amount	IN
OUT_expiration date	expiration date	OUT
OUT_npi	npi	OUT
OUT_ventilator dependent unit	ventilator dependent unit	OUT
OUT_provider organization name legal business name	provider organization name legal business name	OUT
OUT_any current supply of surgical masks	any current supply of surgical masks	OUT
OUT_vendor	vendor	OUT
OUT_applicable manufacturer or applicable gpo making payment id	applicable manufacturer or applicable gpo making payment id	OUT
IN_payment type subcategory	payment type subcategory	IN
OUT_protocol	protocol	OUT
OUT_ab total maintenance payments	ab total maintenance payments	OUT
OUT_sliding fee	sliding fee	OUT
OUT_total entry	total entry	OUT
OUT_title	title	OUT
OUT_paid per service	paid per service	OUT
OUT_services rendered	services rendered	OUT
OUT_research transaction id	research transaction id	OUT
OUT_nerol	nerol	OUT
OUT_department name	department name	OUT
OUT_ab boarding homes - dds payments	ab boarding homes - dds payments	OUT
OUT_total plan selections	total plan selections	OUT
OUT_qm rating	qm rating	OUT
OUT_office visit type	office visit type	OUT
OUT_paid per beneficiary	paid per beneficiary	OUT
OUT_services per beneficiary	services per beneficiary	OUT
OUT_fiscal year	fiscal year	OUT
OUT_outpatient interim rates	outpatient interim rates	OUT
OUT_notes	notes	OUT
OUT_applicable manufacturer or applicable gpo making payment country	applicable manufacturer or applicable gpo making payment country	OUT
OUT_boundaries single member districts	boundaries single member districts	OUT
OUT_description	description	OUT
OUT_recovered	recovered	OUT
OUT_fiscal quarter end date	fiscal quarter end date	OUT
OUT_county fips code	county fips code	OUT
OUT_fiscal quarter start date	fiscal quarter start date	OUT
OUT_town	town	OUT
OUT_date	date	OUT
OUT_file date	file date	OUT
OUT_ages served	ages served	OUT
OUT_single member council districts	single member council districts	OUT
OUT_terpineol	terpineol	OUT
OUT_fiscal quarter key	fiscal quarter key	OUT
OUT_name	name	OUT
OUT_county name	county name	OUT
OUT_call to door interval target	call to door interval target	OUT
OUT_principal investigator	principal investigator	OUT
OUT_mean annual frequency	mean annual frequency	OUT
OUT_month year	month year	OUT
OUT_number of programs	number of programs	OUT
OUT_state name	state name	OUT
OUT_medicare	medicare	OUT
OUT_rate	rate	OUT
OUT_reporting period	reporting period	OUT
OUT_number of employees	number of employees	OUT
