stc_label	sentence	category
51_municipal_agents_for	municipal agents for the elderly listing	Table
OUT_shortage of clinical staff	shortage of clinical staff	OUT
OUT_tb clinic patients	tb clinic patients	OUT
OUT_# of patients who received appropriate treatment	# of patients who received appropriate treatment	OUT
OUT_total # of patients who were treated	total # of patients who were treated	OUT
OUT_website	website	OUT
OUT_measure description	measure description	OUT
OUT_incident address street name	incident address street name	OUT
IN_address	address	IN
OUT_primary site	primary site	OUT
IN_phone	phone	IN
OUT_community board	community board	OUT
OUT_# of diabetes patients receiving appropriate care	# of diabetes patients receiving appropriate care	OUT
OUT_longitude	longitude	OUT
IN_town index	town index	IN
OUT_area name	area name	OUT
OUT_location	location	OUT
OUT_processing date	processing date	OUT
IN_planning regions	planning regions	IN
OUT_total # of diabetes patients	total # of diabetes patients	OUT
OUT_survey type	survey type	OUT
OUT_isoborneol	isoborneol	OUT
OUT_facility name	facility name	OUT
OUT_bin	bin	OUT
IN_zip code	zip code	IN
IN_zip code 2	zip code 2	IN
OUT_zip codes	zip codes	OUT
OUT_federal provider number	federal provider number	OUT
OUT_provider zip code	provider zip code	OUT
OUT_number of clinics	number of clinics	OUT
OUT_community area name	community area name	OUT
OUT_community area number	community area number	OUT
OUT_deficiency description	deficiency description	OUT
OUT_measure id	measure id	OUT
IN_st	st	IN
OUT_deficiency prefix	deficiency prefix	OUT
IN_location 1	location 1	IN
OUT_community area	community area	OUT
OUT_county	county	OUT
OUT_unknown age	unknown age	OUT
IN_counties	counties	IN
OUT_delaware	delaware	OUT
OUT_indiana	indiana	OUT
OUT_connecticut	connecticut	OUT
OUT_wisconsin	wisconsin	OUT
OUT_georgia	georgia	OUT
OUT_south dakota	south dakota	OUT
OUT_texas	texas	OUT
OUT_fips	fips	OUT
OUT_refugee clinic patients	refugee clinic patients	OUT
OUT_complaint type 311	complaint type 311	OUT
OUT_45 to 49 years old	45 to 49 years old	OUT
OUT_hours	hours	OUT
IN_fax	fax	IN
OUT_physician middle name	physician middle name	OUT
OUT_recipient city	recipient city	OUT
OUT_physician first name	physician first name	OUT
OUT_physician name suffix	physician name suffix	OUT
OUT_recipient zip code	recipient zip code	OUT
OUT_recipient postal code	recipient postal code	OUT
OUT_physician profile id	physician profile id	OUT
OUT_submitting applicable manufacturer or applicable gpo name	submitting applicable manufacturer or applicable gpo name	OUT
OUT_drug cost	drug cost	OUT
OUT_fertility rate 2007 lower ci	fertility rate 2007 lower ci	OUT
OUT_fertility rate 2006 upper ci	fertility rate 2006 upper ci	OUT
OUT_percent 2005 lower ci	percent 2005 lower ci	OUT
OUT_fertility rate 2000 lower ci	fertility rate 2000 lower ci	OUT
OUT_percent 2009 lower ci	percent 2009 lower ci	OUT
OUT_fertility rate 2007	fertility rate 2007	OUT
OUT_fertility rate 2000 upper ci	fertility rate 2000 upper ci	OUT
OUT_percent 2003 upper ci	percent 2003 upper ci	OUT
OUT_percent 2001 lower ci	percent 2001 lower ci	OUT
OUT_fertility rate 2008	fertility rate 2008	OUT
OUT_outlier effective date	outlier effective date	OUT
OUT_payment type	payment type	OUT
OUT_years averaged	years averaged	OUT
OUT_cases 2007 - 2011	cases 2007 - 2011	OUT
OUT_2000	2000	OUT
OUT_2005	2005	OUT
OUT_birth rate	birth rate	OUT
OUT_2003	2003	OUT
OUT_npi	npi	OUT
OUT_2002	2002	OUT
OUT_shortage of aides	shortage of aides	OUT
OUT_amount paid	amount paid	OUT
OUT_cases 2007	cases 2007	OUT
OUT_census tract	census tract	OUT
OUT_condition	condition	OUT
OUT_2008 duchesne	2008 duchesne	OUT
OUT_cases 2008	cases 2008	OUT
OUT_2000 life expectancy	2000 life expectancy	OUT
OUT_2009	2009	OUT
OUT_2007	2007	OUT
