stc_label	sentence	category
61_percent_of_prescript	percent of prescriptions greater than 90 mme vs. all	Table
OUT_number of programs	number of programs	OUT
OUT_intake type	intake type	OUT
OUT_end time period	end time period	OUT
OUT_last name	last name	OUT
OUT_menthol	menthol	OUT
OUT_state name	state name	OUT
OUT_small area code	small area code	OUT
OUT_reporting period	reporting period	OUT
OUT_zoning review cases data	zoning review cases data	OUT
OUT_county name	county name	OUT
OUT_beginning time period	beginning time period	OUT
OUT_agency	agency	OUT
OUT_network	network	OUT
OUT_intake condition	intake condition	OUT
OUT_name of study	name of study	OUT
OUT_low cost	low cost	OUT
OUT_number of employees	number of employees	OUT
OUT_pe desc	pe desc	OUT
OUT_name	name	OUT
OUT_rate effective date	rate effective date	OUT
OUT_confirmed	confirmed	OUT
OUT_single member council districts	single member council districts	OUT
OUT_unknown	unknown	OUT
OUT_neighborhood planning areas	neighborhood planning areas	OUT
OUT_pos category	pos category	OUT
OUT_file date	file date	OUT
OUT_total rate	total rate	OUT
OUT_total non critical	total non critical	OUT
OUT_first name	first name	OUT
OUT_adm count	adm count	OUT
OUT_community registry	community registry	OUT
OUT_fiscal year end	fiscal year end	OUT
OUT_date	date	OUT
OUT_residential	residential	OUT
OUT_fiscal quarter start date	fiscal quarter start date	OUT
OUT_ab total paid cases	ab total paid cases	OUT
OUT_fiscal quarter end date	fiscal quarter end date	OUT
OUT_sex upon intake	sex upon intake	OUT
OUT_boundaries single member districts	boundaries single member districts	OUT
IN_year	year	IN
OUT_fiscal year	fiscal year	OUT
OUT_services per beneficiary	services per beneficiary	OUT
OUT_check out da	check out da	OUT
OUT_fenchol	fenchol	OUT
OUT_2007 box elder	2007 box elder	OUT
OUT_2017	2017	OUT
OUT_office visit type	office visit type	OUT
OUT_age group	age group	OUT
OUT_date closed	date closed	OUT
OUT_qm rating	qm rating	OUT
OUT_health care provider	health care provider	OUT
IN_morphine milligram equivalents	morphine milligram equivalents	IN
OUT_age upon intake	age upon intake	OUT
OUT_gender	gender	OUT
IN_percent of prescriptions	percent of prescriptions	IN
OUT_outlier	outlier	OUT
OUT_unemployment	unemployment	OUT
OUT_# deaths for total population	# deaths for total population	OUT
OUT_services rendered	services rendered	OUT
OUT_diabetes rate	diabetes rate	OUT
OUT_total numerator	total numerator	OUT
OUT_eucalyptol	eucalyptol	OUT
OUT_oct- dec numerator	oct- dec numerator	OUT
OUT_ab overall cost per case	ab overall cost per case	OUT
OUT_paid per service	paid per service	OUT
OUT_title	title	OUT
OUT_total entry	total entry	OUT
OUT_provider other organization name	provider other organization name	OUT
OUT_fy month order	fy month order	OUT
OUT_program year	program year	OUT
OUT_food insecure population	food insecure population	OUT
OUT_ethnicity	ethnicity	OUT
OUT_prostate cancer in males	prostate cancer in males	OUT
OUT_independent living	independent living	OUT
OUT_2010 life expectancy	2010 life expectancy	OUT
OUT_2009 box elder	2009 box elder	OUT
OUT_dollar amount invested	dollar amount invested	OUT
OUT_2010 carbon	2010 carbon	OUT
OUT_2011 us	2011 us	OUT
OUT_contact	contact	OUT
OUT_2012 us	2012 us	OUT
OUT_2013 us	2013 us	OUT
OUT_2010 us	2010 us	OUT
OUT_census tract population	census tract population	OUT
OUT_total denominator	total denominator	OUT
OUT_2007 us	2007 us	OUT
OUT_2009 us	2009 us	OUT
OUT_provider organization name legal business name	provider organization name legal business name	OUT
OUT_2011 duchesne	2011 duchesne	OUT
OUT_2008 carbon	2008 carbon	OUT
OUT_1990 life expectancy	1990 life expectancy	OUT
OUT_email	email	OUT
OUT_2000 life expectancy	2000 life expectancy	OUT
OUT_cases 2008	cases 2008	OUT
OUT_billing npi	billing npi	OUT
OUT_census tract	census tract	OUT
OUT_cases 2010	cases 2010	OUT
OUT_2002	2002	OUT
OUT_npi	npi	OUT
OUT_cases 2009	cases 2009	OUT
OUT_total provider payment 25	total provider payment 25	OUT
OUT_30 to 34 years old	30 to 34 years old	OUT
OUT_25 to 29 years old	25 to 29 years old	OUT
OUT_years averaged	years averaged	OUT
OUT_outlier effective date	outlier effective date	OUT
OUT_births 2006	births 2006	OUT
OUT_births 1999	births 1999	OUT
OUT_fertility rate 2001 lower ci	fertility rate 2001 lower ci	OUT
OUT_fertility rate 2004 lower ci	fertility rate 2004 lower ci	OUT
OUT_combined key	combined key	OUT
OUT_any current supply of ventilator supplies	any current supply of ventilator supplies	OUT
OUT_5 to 9 years old	5 to 9 years old	OUT
OUT_vendor id	vendor id	OUT
