stc_label	sentence	category
66_public_health_statis	public health statistics- selected public health indicators by chicago community area	Table
OUT_# of diabetes patients receiving appropriate care	# of diabetes patients receiving appropriate care	OUT
OUT_utah house districts	utah house districts	OUT
IN_community area name	community area name	IN
OUT_number of clinics	number of clinics	OUT
IN_community area	community area	IN
OUT_planning regions	planning regions	OUT
OUT_hospital name	hospital name	OUT
OUT_provider id	provider id	OUT
OUT_hospital location	hospital location	OUT
OUT_facility id	facility id	OUT
OUT_facility name	facility name	OUT
OUT_procedure type	procedure type	OUT
OUT_provider address	provider address	OUT
OUT_municipalities	municipalities	OUT
OUT_town index	town index	OUT
OUT_provider city	provider city	OUT
OUT_location	location	OUT
OUT_st	st	OUT
OUT_access point type	access point type	OUT
OUT_zip codes	zip codes	OUT
OUT_council district	council district	OUT
OUT_zip code	zip code	OUT
OUT_location 1	location 1	OUT
OUT_2010 senate districts	2010 senate districts	OUT
OUT_location name	location name	OUT
OUT_zip code 2	zip code 2	OUT
OUT_county	county	OUT
OUT_address line 1	address line 1	OUT
OUT_percentile on 2014 national sir distribution	percentile on 2014 national sir distribution	OUT
OUT_counties	counties	OUT
OUT_observed infections	observed infections	OUT
OUT_sir interpretation	sir interpretation	OUT
OUT_sir icon	sir icon	OUT
OUT_access type	access type	OUT
OUT_predicted infections	predicted infections	OUT
OUT_catheter days	catheter days	OUT
OUT_address 1	address 1	OUT
OUT_hours of operation	hours of operation	OUT
OUT_processing date	processing date	OUT
OUT_standard deficiency	standard deficiency	OUT
OUT_site address	site address	OUT
OUT_street address	street address	OUT
OUT_measure start date	measure start date	OUT
OUT_utah	utah	OUT
OUT_massachusetts	massachusetts	OUT
OUT_weighted outcome domain score	weighted outcome domain score	OUT
OUT_louisiana	louisiana	OUT
OUT_illinois	illinois	OUT
OUT_connecticut	connecticut	OUT
OUT_new hampshire	new hampshire	OUT
OUT_montana	montana	OUT
OUT_primary site	primary site	OUT
OUT_iowa	iowa	OUT
OUT_california	california	OUT
OUT_deficiency corrected	deficiency corrected	OUT
OUT_comparison interpretation	comparison interpretation	OUT
OUT_phone number	phone number	OUT
OUT_unweighted normalized outcome domain score	unweighted normalized outcome domain score	OUT
OUT_address	address	OUT
OUT_phone	phone	OUT
OUT_percent male	percent male	OUT
OUT_hours friday	hours friday	OUT
OUT_fenchone	fenchone	OUT
OUT_parking	parking	OUT
IN_below poverty level	below poverty level	IN
OUT_city 1	city 1	OUT
