stc_label	sentence	category
69_restaurant_scores_-_	restaurant scores - 2013 map	Table
OUT_hospital location	hospital location	OUT
IN_zip codes	zip codes	IN
OUT_hospital name	hospital name	OUT
OUT_location	location	OUT
IN_score	score	IN
OUT_provider state	provider state	OUT
OUT_location 1	location 1	OUT
OUT_scope severity code	scope severity code	OUT
IN_zip code	zip code	IN
OUT_2010 house districts	2010 house districts	OUT
OUT_provider zip code	provider zip code	OUT
OUT_2010 senate districts	2010 senate districts	OUT
OUT_provider name	provider name	OUT
OUT_central line days	central line days	OUT
OUT_federal provider number	federal provider number	OUT
IN_facility id	facility id	IN
OUT_community area number	community area number	OUT
OUT_catheter days	catheter days	OUT
OUT_community area	community area	OUT
OUT_# of diabetes patients receiving appropriate care	# of diabetes patients receiving appropriate care	OUT
OUT_benchmark icon	benchmark icon	OUT
OUT_2016 sir	2016 sir	OUT
OUT_county	county	OUT
OUT_total # of diabetes patients	total # of diabetes patients	OUT
OUT_counties	counties	OUT
OUT_observed infections	observed infections	OUT
OUT_hospital	hospital	OUT
OUT_national bsi mean	national bsi mean	OUT
OUT_st	st	OUT
OUT_percentile on 2014 national sir distribution	percentile on 2014 national sir distribution	OUT
OUT_street address	street address	OUT
OUT_province state	province state	OUT
OUT_measure id	measure id	OUT
OUT_district of columbia	district of columbia	OUT
OUT_arkansas	arkansas	OUT
OUT_percentile on 2014 national distribution	percentile on 2014 national distribution	OUT
OUT_missouri	missouri	OUT
OUT_indiana	indiana	OUT
OUT_primary site	primary site	OUT
OUT_california	california	OUT
OUT_texas	texas	OUT
OUT_laboratory type is state health dept	laboratory type is state health dept	OUT
OUT_alabama	alabama	OUT
OUT_us states	us states	OUT
OUT_fips	fips	OUT
OUT_area name	area name	OUT
IN_address	address	IN
OUT_# of patients who received appropriate treatment	# of patients who received appropriate treatment	OUT
OUT_website	website	OUT
OUT_incident address borough	incident address borough	OUT
OUT_incident address street number	incident address street number	OUT
OUT_tb clinic patients	tb clinic patients	OUT
OUT_2012 deaths	2012 deaths	OUT
OUT_shape st le	shape st le	OUT
IN_process description	process description	IN
OUT_complaint number	complaint number	OUT
OUT_refugee clinic patients	refugee clinic patients	OUT
OUT_incident address	incident address	OUT
IN_restaurant name	restaurant name	IN
OUT_complaint type 311	complaint type 311	OUT
OUT_store type	store type	OUT
OUT_fax	fax	OUT
OUT_physician ownership transaction id	physician ownership transaction id	OUT
OUT_physician name suffix	physician name suffix	OUT
OUT_physician specialty	physician specialty	OUT
OUT_form of payment or transfer of value	form of payment or transfer of value	OUT
OUT_physician primary type	physician primary type	OUT
OUT_nerol	nerol	OUT
OUT_covered recipient type	covered recipient type	OUT
OUT_drug cost	drug cost	OUT
OUT_10 to 14 years old	10 to 14 years old	OUT
OUT_percent 2003	percent 2003	OUT
OUT_births 1999	births 1999	OUT
OUT_percent 2006	percent 2006	OUT
OUT_percent 2007	percent 2007	OUT
OUT_births 2008	births 2008	OUT
OUT_percent 2008	percent 2008	OUT
OUT_years averaged	years averaged	OUT
OUT_payment type	payment type	OUT
OUT_low birth weight	low birth weight	OUT
OUT_15 to 19 years old	15 to 19 years old	OUT
OUT_unit values	unit values	OUT
OUT_active	active	OUT
OUT_2000	2000	OUT
OUT_2005	2005	OUT
OUT_birth rate	birth rate	OUT
OUT_2003	2003	OUT
