stc_label	sentence	category
71_social_services_refe	social services referral list for austin public health clients	Table
OUT_protocol	protocol	OUT
IN_referral type	referral type	IN
OUT_completion rate - % completed	completion rate - % completed	OUT
OUT_deleted	deleted	OUT
OUT_paid per service	paid per service	OUT
OUT_title	title	OUT
OUT_primary drug	primary drug	OUT
OUT_services rendered	services rendered	OUT
OUT_percent of prescriptions	percent of prescriptions	OUT
OUT_ab boarding homes - dds payments	ab boarding homes - dds payments	OUT
OUT_organization name	organization name	OUT
OUT_terms of interest	terms of interest	OUT
OUT_ventilator dependent unit	ventilator dependent unit	OUT
OUT_condition	condition	OUT
OUT_paid per beneficiary	paid per beneficiary	OUT
OUT_completers	completers	OUT
OUT_beneficiaries	beneficiaries	OUT
OUT_fiscal year	fiscal year	OUT
IN_boundaries single member districts	boundaries single member districts	IN
OUT_ab total paid cases	ab total paid cases	OUT
OUT_program	program	OUT
OUT_county fips code	county fips code	OUT
OUT_total provider payment 50	total provider payment 50	OUT
OUT_clinical trials gov identifier	clinical trials gov identifier	OUT
OUT_drug type	drug type	OUT
OUT_source	source	OUT
OUT_date	date	OUT
OUT_quarter	quarter	OUT
IN_single member council districts	single member council districts	IN
OUT_pos category	pos category	OUT
OUT_number of prescriptions	number of prescriptions	OUT
IN_for more information	for more information	IN
OUT_network	network	OUT
OUT_county name	county name	OUT
OUT_total provider payment 25	total provider payment 25	OUT
OUT_amount	amount	OUT
OUT_mean annual frequency	mean annual frequency	OUT
OUT_end date	end date	OUT
OUT_state name	state name	OUT
OUT_rate	rate	OUT
OUT_small area code	small area code	OUT
OUT_reporting period	reporting period	OUT
OUT_study phase	study phase	OUT
OUT_date time	date time	OUT
OUT_adm month	adm month	OUT
OUT_frequency	frequency	OUT
OUT_completers - gender	completers - gender	OUT
OUT_any current supply of gloves	any current supply of gloves	OUT
OUT_adm year	adm year	OUT
OUT_residents weekly all deaths	residents weekly all deaths	OUT
IN_neighborhood planning areas	neighborhood planning areas	IN
OUT_therapeutic foster care	therapeutic foster care	OUT
OUT_end time	end time	OUT
IN_community registry	community registry	IN
OUT_health zone of residence	health zone of residence	OUT
