stc_label	sentence	category
73_strategic_measure_he	strategic measure_he.f.1_percentage or residents experiencing food insecurity	Table
OUT_age group	age group	OUT
OUT_veteran status	veteran status	OUT
OUT_death year	death year	OUT
OUT_demographic type	demographic type	OUT
OUT_gender	gender	OUT
OUT_prenatal care beginning in first trimester	prenatal care beginning in first trimester	OUT
OUT_year	year	OUT
OUT_2011 box elder	2011 box elder	OUT
OUT_2017	2017	OUT
OUT_animal type	animal type	OUT
OUT_2018	2018	OUT
OUT_race	race	OUT
OUT_zone	zone	OUT
OUT_prevalence	prevalence	OUT
OUT_no high school diploma	no high school diploma	OUT
OUT_breed	breed	OUT
OUT_sex	sex	OUT
OUT_health care provider	health care provider	OUT
OUT_community registry	community registry	OUT
OUT_neighborhood planning areas	neighborhood planning areas	OUT
OUT_2016	2016	OUT
IN_food insecure population	food insecure population	IN
OUT_month	month	OUT
OUT_the geom	the geom	OUT
OUT_adm month	adm month	OUT
OUT_2012 carbon	2012 carbon	OUT
OUT_number of fbi critical	number of fbi critical	OUT
OUT_check in dat	check in dat	OUT
OUT_study phase	study phase	OUT
OUT_assault	assault	OUT
IN_food insecure percentage	food insecure percentage	IN
OUT_2010 life expectancy	2010 life expectancy	OUT
OUT_2014	2014	OUT
OUT_reporting period	reporting period	OUT
OUT_small area code	small area code	OUT
OUT_2011 us	2011 us	OUT
OUT_number of employees	number of employees	OUT
OUT_rate	rate	OUT
OUT_death rate for suicide	death rate for suicide	OUT
OUT_state name	state name	OUT
OUT_intake type	intake type	OUT
OUT_2006	2006	OUT
OUT_2010 us	2010 us	OUT
OUT_2012	2012	OUT
OUT_2007 carbon	2007 carbon	OUT
IN_census tract population	census tract population	IN
OUT_eeo category description	eeo category description	OUT
OUT_zoning review cases data	zoning review cases data	OUT
OUT_county name	county name	OUT
OUT_fiscal quarter key	fiscal quarter key	OUT
OUT_network	network	OUT
OUT_name	name	OUT
OUT_intake condition	intake condition	OUT
OUT_employee category	employee category	OUT
OUT_confirmed	confirmed	OUT
OUT_single member council districts	single member council districts	OUT
OUT_quarter	quarter	OUT
IN_date	date	IN
OUT_rx per beneficiary	rx per beneficiary	OUT
OUT_drug type	drug type	OUT
OUT_town	town	OUT
OUT_enrollees - gender	enrollees - gender	OUT
OUT_2009	2009	OUT
OUT_2000 life expectancy	2000 life expectancy	OUT
OUT_county fips code	county fips code	OUT
OUT_passed quality assurance check	passed quality assurance check	OUT
OUT_boundaries single member districts	boundaries single member districts	OUT
OUT_description	description	OUT
OUT_outpatient interim rates	outpatient interim rates	OUT
OUT_notes	notes	OUT
OUT_fiscal year	fiscal year	OUT
OUT_beneficiaries	beneficiaries	OUT
OUT_2009 duchesne	2009 duchesne	OUT
OUT_fiscal year start	fiscal year start	OUT
OUT_date closed	date closed	OUT
IN_census tract	census tract	IN
OUT_morphine milligram equivalents	morphine milligram equivalents	OUT
OUT_cases 2007	cases 2007	OUT
OUT_organization name	organization name	OUT
OUT_2002	2002	OUT
OUT_cost per beneficiary	cost per beneficiary	OUT
OUT_date opened	date opened	OUT
OUT_plan selections	plan selections	OUT
OUT_2003	2003	OUT
OUT_shortage of aides	shortage of aides	OUT
OUT_birth rate	birth rate	OUT
OUT_cases 2007 - 2011	cases 2007 - 2011	OUT
OUT_title	title	OUT
OUT_provider other organization name	provider other organization name	OUT
OUT_payment type subcategory	payment type subcategory	OUT
OUT_completion rate - % completed	completion rate - % completed	OUT
OUT_referral type	referral type	OUT
OUT_low birth weight	low birth weight	OUT
OUT_any current supply of surgical masks	any current supply of surgical masks	OUT
OUT_provider organization name legal business name	provider organization name legal business name	OUT
OUT_years averaged	years averaged	OUT
OUT_cost	cost	OUT
OUT_dme	dme	OUT
OUT_births 2006	births 2006	OUT
OUT_clinical trials gov identifier	clinical trials gov identifier	OUT
OUT_outlier effective date	outlier effective date	OUT
OUT_total provider payment 75	total provider payment 75	OUT
OUT_percent 2009	percent 2009	OUT
OUT_percent 2002	percent 2002	OUT
OUT_percent 2003 upper ci	percent 2003 upper ci	OUT
OUT_percent 2003	percent 2003	OUT
OUT_fertility rate 2000 lower ci	fertility rate 2000 lower ci	OUT
OUT_fertility rate 2001 lower ci	fertility rate 2001 lower ci	OUT
OUT_fertility rate 2005 lower ci	fertility rate 2005 lower ci	OUT
OUT_10 to 14 years old	10 to 14 years old	OUT
OUT_75 to 79 years old	75 to 79 years old	OUT
OUT_unit values	unit values	OUT
OUT_payment type	payment type	OUT
OUT_measure response	measure response	OUT
OUT_record id	record id	OUT
OUT_serial number	serial number	OUT
