stc_label	sentence	category
79_total_reported_disea	total reported diseases utah 2000-2009	Table
OUT_cases 2007 - 2011	cases 2007 - 2011	OUT
IN_2000	2000	IN
IN_2005	2005	IN
OUT_birth rate	birth rate	OUT
OUT_15 to 19 years old	15 to 19 years old	OUT
IN_2003	2003	IN
IN_2004	2004	IN
IN_2001	2001	IN
IN_2002	2002	IN
OUT_cases 2010	cases 2010	OUT
OUT_census tract	census tract	OUT
IN_2009	2009	IN
OUT_2000 life expectancy	2000 life expectancy	OUT
IN_2007	2007	IN
OUT_1990 life expectancy	1990 life expectancy	OUT
IN_2008	2008	IN
OUT_years averaged	years averaged	OUT
OUT_breast cancer in females	breast cancer in females	OUT
OUT_2009 us	2009 us	OUT
OUT_2007 us	2007 us	OUT
OUT_2012 duchesne	2012 duchesne	OUT
OUT_2010 us	2010 us	OUT
OUT_2013 us	2013 us	OUT
IN_2006	2006	IN
OUT_2012 us	2012 us	OUT
OUT_percent 2003 upper ci	percent 2003 upper ci	OUT
OUT_births 1999	births 1999	OUT
OUT_percent 2004 upper ci	percent 2004 upper ci	OUT
OUT_check in dat	check in dat	OUT
OUT_ethnicity	ethnicity	OUT
OUT_fertility rate 2003	fertility rate 2003	OUT
OUT_fertility rate 2004 upper ci	fertility rate 2004 upper ci	OUT
IN_disease	disease	IN
OUT_cancer	cancer	OUT
OUT_oct- dec numerator	oct- dec numerator	OUT
OUT_demographics	demographics	OUT
OUT_fertility rate 2003 lower ci	fertility rate 2003 lower ci	OUT
OUT_demographic	demographic	OUT
OUT_race	race	OUT
OUT_outlier	outlier	OUT
OUT_population	population	OUT
OUT_id	id	OUT
OUT_cedrol	cedrol	OUT
OUT_veteran status	veteran status	OUT
OUT_age group	age group	OUT
OUT_special study	special study	OUT
OUT_year	year	OUT
OUT_crude prevalence rate	crude prevalence rate	OUT
OUT_75 to 79 years old	75 to 79 years old	OUT
OUT_residential	residential	OUT
OUT_community registry	community registry	OUT
OUT_therapeutic foster care	therapeutic foster care	OUT
OUT_first name	first name	OUT
OUT_unknown	unknown	OUT
OUT_month	month	OUT
OUT_total critical	total critical	OUT
OUT_beginning time period	beginning time period	OUT
OUT_adm month	adm month	OUT
OUT_date time	date time	OUT
OUT_agency	agency	OUT
OUT_number of employees	number of employees	OUT
OUT_rate	rate	OUT
OUT_month year	month year	OUT
OUT_end time period	end time period	OUT
OUT_mean annual frequency	mean annual frequency	OUT
OUT_last name	last name	OUT
OUT_warning	warning	OUT
OUT_completers - age	completers - age	OUT
OUT_zoning review cases data	zoning review cases data	OUT
OUT_calls	calls	OUT
OUT_enrollment status - previously enrolled	enrollment status - previously enrolled	OUT
OUT_county name	county name	OUT
OUT_name	name	OUT
OUT_ab boarding homes - other - cases	ab boarding homes - other - cases	OUT
OUT_rate effective date	rate effective date	OUT
OUT_single member council districts	single member council districts	OUT
OUT_ab other living arrangements - cases	ab other living arrangements - cases	OUT
OUT_last	last	OUT
OUT_fiscal year end	fiscal year end	OUT
OUT_quarter	quarter	OUT
OUT_date	date	OUT
OUT_rx per beneficiary	rx per beneficiary	OUT
OUT_county fips code	county fips code	OUT
OUT_passed quality assurance check	passed quality assurance check	OUT
OUT_building floor suite	building floor suite	OUT
OUT_notes	notes	OUT
OUT_boundaries single member districts	boundaries single member districts	OUT
OUT_beneficiaries	beneficiaries	OUT
OUT_services per beneficiary	services per beneficiary	OUT
OUT_completers	completers	OUT
OUT_morphine milligram equivalents	morphine milligram equivalents	OUT
OUT_organization name	organization name	OUT
OUT_laboratory type is other	laboratory type is other	OUT
OUT_department name	department name	OUT
OUT_plan selections	plan selections	OUT
OUT_services rendered	services rendered	OUT
OUT_free	free	OUT
OUT_paid per service	paid per service	OUT
OUT_total entry	total entry	OUT
OUT_primary drug	primary drug	OUT
OUT_program year	program year	OUT
OUT_deleted	deleted	OUT
OUT_preclinical research indicator	preclinical research indicator	OUT
OUT_dme	dme	OUT
OUT_email	email	OUT
OUT_amount paid	amount paid	OUT
OUT_clinical trials gov identifier	clinical trials gov identifier	OUT
OUT_npi	npi	OUT
OUT_license #	license #	OUT
OUT_vendor id	vendor id	OUT
OUT_drug cost	drug cost	OUT
OUT_vendor	vendor	OUT
OUT_applicable manufacturer or applicable gpo making payment state	applicable manufacturer or applicable gpo making payment state	OUT
OUT_physician ownership transaction id	physician ownership transaction id	OUT
OUT_fax	fax	OUT
OUT_less than 5 years old	less than 5 years old	OUT
OUT_2015 deaths	2015 deaths	OUT
OUT_rn staffing rating	rn staffing rating	OUT
OUT_2014 deaths	2014 deaths	OUT
OUT_percent male	percent male	OUT
OUT_fips	fips	OUT
OUT_fenchone	fenchone	OUT
OUT_new jersey	new jersey	OUT
OUT_colorado	colorado	OUT
OUT_new hampshire	new hampshire	OUT
OUT_maryland	maryland	OUT
OUT_pennsylvania	pennsylvania	OUT
OUT_florida	florida	OUT
OUT_new york	new york	OUT
OUT_counties in utah	counties in utah	OUT
OUT_sir	sir	OUT
OUT_province state	province state	OUT
OUT_counties	counties	OUT
OUT_sir icon	sir icon	OUT
OUT_county	county	OUT
OUT_predicted infections	predicted infections	OUT
OUT_deficiency tag number	deficiency tag number	OUT
OUT_school districts	school districts	OUT
OUT_country region	country region	OUT
OUT_community area	community area	OUT
OUT_council district	council district	OUT
OUT_shape st ar	shape st ar	OUT
OUT_st	st	OUT
OUT_community area number	community area number	OUT
OUT_measure start date	measure start date	OUT
OUT_2010 senate districts	2010 senate districts	OUT
OUT_sir interpretation	sir interpretation	OUT
OUT_provider number	provider number	OUT
OUT_deficiency corrected	deficiency corrected	OUT
OUT_central line days	central line days	OUT
OUT_location 1	location 1	OUT
OUT_municipalities	municipalities	OUT
OUT_2010 house districts	2010 house districts	OUT
OUT_inspection cycle	inspection cycle	OUT
OUT_location 2	location 2	OUT
OUT_zip code	zip code	OUT
OUT_zip	zip	OUT
OUT_catheter days	catheter days	OUT
OUT_hospital name	hospital name	OUT
OUT_census tracts	census tracts	OUT
OUT_community area name	community area name	OUT
OUT_provider address	provider address	OUT
OUT_access point type	access point type	OUT
OUT_provider state	provider state	OUT
OUT_zip codes	zip codes	OUT
OUT_federal provider number	federal provider number	OUT
OUT_zip code 2	zip code 2	OUT
OUT_community areas	community areas	OUT
OUT_utah house districts	utah house districts	OUT
OUT_complaint deficiency	complaint deficiency	OUT
OUT_number of clinics	number of clinics	OUT
OUT_town index	town index	OUT
OUT_comparison interpretation	comparison interpretation	OUT
OUT_facility id	facility id	OUT
OUT_area name	area name	OUT
OUT_site address	site address	OUT
OUT_facility name	facility name	OUT
OUT_city	city	OUT
OUT_total # of diabetes patients	total # of diabetes patients	OUT
OUT_location	location	OUT
OUT_planning regions	planning regions	OUT
OUT_community board	community board	OUT
OUT_location name	location name	OUT
OUT_measure name	measure name	OUT
OUT_hours monday	hours monday	OUT
OUT_phone	phone	OUT
OUT_address	address	OUT
OUT_site name	site name	OUT
OUT_street address	street address	OUT
OUT_scope severity code	scope severity code	OUT
OUT_weighted clinical process of care domain score	weighted clinical process of care domain score	OUT
OUT_primary site	primary site	OUT
OUT_website	website	OUT
OUT_unweighted normalized outcome domain score	unweighted normalized outcome domain score	OUT
OUT_measure description	measure description	OUT
OUT_state	state	OUT
OUT_total performance score	total performance score	OUT
OUT_complaint status	complaint status	OUT
OUT_restaurant name	restaurant name	OUT
OUT_hours	hours	OUT
