stc_label	sentence	category
7_2016_dialysis_bloods	2016 dialysis bloodstream infections (bsi) map	Table
IN_location 1	location 1	IN
IN_2010 house districts	2010 house districts	IN
OUT_community areas	community areas	OUT
IN_2010 senate districts	2010 senate districts	IN
IN_counties	counties	IN
OUT_number of clinics	number of clinics	OUT
IN_county	county	IN
IN_observed bsi	observed bsi	IN
OUT_provider state	provider state	OUT
IN_national bsi mean	national bsi mean	IN
OUT_community area	community area	OUT
OUT_provider city	provider city	OUT
OUT_federal provider number	federal provider number	OUT
OUT_zip codes	zip codes	OUT
OUT_massachusetts	massachusetts	OUT
IN_facility name	facility name	IN
OUT_provider zip code	provider zip code	OUT
OUT_zip code	zip code	OUT
OUT_oregon	oregon	OUT
OUT_standard deficiency	standard deficiency	OUT
OUT_new hampshire	new hampshire	OUT
OUT_missouri	missouri	OUT
OUT_census tracts	census tracts	OUT
OUT_location	location	OUT
IN_access type	access type	IN
OUT_council district	council district	OUT
OUT_facility id	facility id	OUT
IN_percentile on 2014 national distribution	percentile on 2014 national distribution	IN
OUT_access point type	access point type	OUT
OUT_city	city	OUT
OUT_location name	location name	OUT
OUT_borneol	borneol	OUT
OUT_# of diabetes patients receiving appropriate care	# of diabetes patients receiving appropriate care	OUT
IN_comparison interpretation	comparison interpretation	IN
OUT_hours sunday	hours sunday	OUT
OUT_processing date	processing date	OUT
OUT_site name	site name	OUT
OUT_hours tuesday	hours tuesday	OUT
OUT_inspection date	inspection date	OUT
OUT_primary site	primary site	OUT
OUT_phone number	phone number	OUT
OUT_area name	area name	OUT
OUT_address	address	OUT
OUT_incident address zip	incident address zip	OUT
OUT_below poverty level	below poverty level	OUT
OUT_website	website	OUT
OUT_incident address borough	incident address borough	OUT
OUT_incident address street number	incident address street number	OUT
OUT_state	state	OUT
OUT_refugee clinic patients	refugee clinic patients	OUT
OUT_restaurant name	restaurant name	OUT
OUT_complaint type 311	complaint type 311	OUT
OUT_total number of occupied beds	total number of occupied beds	OUT
OUT_physician last name	physician last name	OUT
OUT_recipient zip code	recipient zip code	OUT
OUT_applicable manufacturer or applicable gpo making payment country	applicable manufacturer or applicable gpo making payment country	OUT
OUT_applicable manufacturer or applicable gpo making payment state	applicable manufacturer or applicable gpo making payment state	OUT
OUT_research transaction id	research transaction id	OUT
OUT_applicable manufacturer or applicable gpo making payment id	applicable manufacturer or applicable gpo making payment id	OUT
OUT_drug cost	drug cost	OUT
OUT_10 to 14 years old	10 to 14 years old	OUT
OUT_fertility rate 2005	fertility rate 2005	OUT
OUT_percent 2006 upper ci	percent 2006 upper ci	OUT
OUT_fertility rate 2007	fertility rate 2007	OUT
OUT_fertility rate 2000 upper ci	fertility rate 2000 upper ci	OUT
OUT_percent 2002 lower ci	percent 2002 lower ci	OUT
OUT_percent 2002	percent 2002	OUT
OUT_births 2008	births 2008	OUT
OUT_percent 2008	percent 2008	OUT
