stc_label	sentence	category
85_utah_social_vulnerab	utah social vulnerability index cdc census tract	Table
OUT_2000 life expectancy	2000 life expectancy	OUT
OUT_2009	2009	OUT
OUT_2007	2007	OUT
OUT_cases 2008	cases 2008	OUT
OUT_2008 duchesne	2008 duchesne	OUT
OUT_descriptor 1 311	descriptor 1 311	OUT
OUT_2008 carbon	2008 carbon	OUT
OUT_2009 carbon	2009 carbon	OUT
OUT_2010 duchesne	2010 duchesne	OUT
OUT_cases 2010	cases 2010	OUT
OUT_2013	2013	OUT
OUT_2008 us	2008 us	OUT
OUT_2001	2001	OUT
OUT_2009 us	2009 us	OUT
OUT_2007 us	2007 us	OUT
OUT_census tract population	census tract population	OUT
OUT_2004	2004	OUT
OUT_2003	2003	OUT
OUT_cases 2009	cases 2009	OUT
OUT_2010 us	2010 us	OUT
OUT_2013 us	2013 us	OUT
OUT_2012 us	2012 us	OUT
OUT_cases 2007 - 2011	cases 2007 - 2011	OUT
OUT_2011 us	2011 us	OUT
OUT_food insecure percentage	food insecure percentage	OUT
OUT_2010 life expectancy	2010 life expectancy	OUT
OUT_2015	2015	OUT
OUT_check in dat	check in dat	OUT
OUT_independent living	independent living	OUT
OUT_food insecure population	food insecure population	OUT
OUT_ethnicity	ethnicity	OUT
OUT_count of suicides	count of suicides	OUT
OUT_sex	sex	OUT
OUT_no high school diploma	no high school diploma	OUT
OUT_prevalence	prevalence	OUT
OUT_demographic	demographic	OUT
OUT_all ages	all ages	OUT
OUT_race	race	OUT
OUT_outlier	outlier	OUT
OUT_gender	gender	OUT
OUT_population	population	OUT
OUT_cedrol	cedrol	OUT
OUT_b- pinene	b- pinene	OUT
OUT_shelter	shelter	OUT
OUT_70 to 74 years old	70 to 74 years old	OUT
OUT_age group	age group	OUT
OUT_2017	2017	OUT
OUT_cause of death category	cause of death category	OUT
OUT_special study	special study	OUT
OUT_year	year	OUT
OUT_crude prevalence rate	crude prevalence rate	OUT
OUT_sex upon intake	sex upon intake	OUT
OUT_b- eudesmol	b- eudesmol	OUT
OUT_health zone of residence	health zone of residence	OUT
OUT_community registry	community registry	OUT
OUT_adm count	adm count	OUT
OUT_average call to door interval	average call to door interval	OUT
OUT_language	language	OUT
OUT_neighborhood planning areas	neighborhood planning areas	OUT
OUT_percent 2008	percent 2008	OUT
OUT_data as of	data as of	OUT
OUT_adm year	adm year	OUT
OUT_month	month	OUT
IN_the geom	the geom	IN
OUT_births 2000	births 2000	OUT
OUT_adm month	adm month	OUT
OUT_agency	agency	OUT
OUT_births 2006	births 2006	OUT
OUT_number of employees	number of employees	OUT
OUT_reporting period	reporting period	OUT
OUT_percent 1999	percent 1999	OUT
OUT_percent 2008 lower ci	percent 2008 lower ci	OUT
OUT_state name	state name	OUT
OUT_percent 2001 lower ci	percent 2001 lower ci	OUT
OUT_number of programs	number of programs	OUT
OUT_month year	month year	OUT
OUT_shortage of other staff	shortage of other staff	OUT
OUT_percent 2009 lower ci	percent 2009 lower ci	OUT
OUT_mean annual frequency	mean annual frequency	OUT
OUT_zoning review cases data	zoning review cases data	OUT
OUT_enrollment status - previously enrolled	enrollment status - previously enrolled	OUT
OUT_calls	calls	OUT
OUT_call to door interval target	call to door interval target	OUT
OUT_county name	county name	OUT
OUT_fertility rate 2003 upper ci	fertility rate 2003 upper ci	OUT
OUT_fertility rate 2001 lower ci	fertility rate 2001 lower ci	OUT
OUT_fertility rate 2002 lower ci	fertility rate 2002 lower ci	OUT
OUT_name	name	OUT
OUT_employee category	employee category	OUT
OUT_enrollees - age	enrollees - age	OUT
OUT_number of prescriptions	number of prescriptions	OUT
OUT_single member council districts	single member council districts	OUT
OUT_dependency	dependency	OUT
OUT_file date	file date	OUT
OUT_total expenditure	total expenditure	OUT
OUT_total rate	total rate	OUT
OUT_childhood blood lead level screening	childhood blood lead level screening	OUT
OUT_quarter	quarter	OUT
OUT_date	date	OUT
OUT_rx per beneficiary	rx per beneficiary	OUT
OUT_drug type	drug type	OUT
OUT_enrollees - gender	enrollees - gender	OUT
OUT_fiscal quarter start date	fiscal quarter start date	OUT
OUT_program	program	OUT
OUT_fiscal quarter end date	fiscal quarter end date	OUT
OUT_boundaries single member districts	boundaries single member districts	OUT
OUT_fiscal year	fiscal year	OUT
OUT_beneficiaries	beneficiaries	OUT
OUT_services per beneficiary	services per beneficiary	OUT
OUT_fiscal year start	fiscal year start	OUT
OUT_office visit type	office visit type	OUT
OUT_terms of interest	terms of interest	OUT
OUT_total plan selections	total plan selections	OUT
OUT_morphine milligram equivalents	morphine milligram equivalents	OUT
OUT_completion rate - 1 year or less	completion rate - 1 year or less	OUT
OUT_cost per beneficiary	cost per beneficiary	OUT
OUT_plan selections	plan selections	OUT
OUT_paid per service	paid per service	OUT
OUT_title	title	OUT
OUT_total entry	total entry	OUT
OUT_primary drug	primary drug	OUT
OUT_provider other organization name	provider other organization name	OUT
OUT_program year	program year	OUT
OUT_ab other living arrangements payments	ab other living arrangements payments	OUT
OUT_minutes	minutes	OUT
OUT_ab total maintenance payments	ab total maintenance payments	OUT
OUT_20 to 24 years old	20 to 24 years old	OUT
OUT_contact	contact	OUT
OUT_condition	condition	OUT
OUT_total provider payment 50	total provider payment 50	OUT
OUT_total provider payment 75	total provider payment 75	OUT
OUT_interest held by physician or an immediate family member	interest held by physician or an immediate family member	OUT
OUT_total provider payment 25	total provider payment 25	OUT
OUT_date received	date received	OUT
OUT_55 to 59 years old	55 to 59 years old	OUT
OUT_record type	record type	OUT
OUT_vendor id	vendor id	OUT
OUT_35 to 39 years old	35 to 39 years old	OUT
OUT_teaching hospital name	teaching hospital name	OUT
OUT_recipient province	recipient province	OUT
OUT_applicable manufacturer or applicable gpo making payment country	applicable manufacturer or applicable gpo making payment country	OUT
OUT_total number of occupied beds	total number of occupied beds	OUT
OUT_physician name suffix	physician name suffix	OUT
OUT_physician middle name	physician middle name	OUT
OUT_product indicator	product indicator	OUT
OUT_45 to 49 years old	45 to 49 years old	OUT
OUT_average age of death	average age of death	OUT
OUT_rn staffing rating	rn staffing rating	OUT
OUT_recurrence days	recurrence days	OUT
OUT_l- fenchone	l- fenchone	OUT
OUT_below poverty level	below poverty level	OUT
IN_fips	fips	IN
OUT_iowa	iowa	OUT
OUT_refugee clinic patients	refugee clinic patients	OUT
OUT_oregon	oregon	OUT
OUT_vermont	vermont	OUT
OUT_pennsylvania	pennsylvania	OUT
