stc_label	sentence	category
86_utilization_and_paym	utilization and payments to the nova scotia prosthetic programs	Table
IN_paid per service	paid per service	IN
OUT_ab boarding homes - other payments	ab boarding homes - other payments	OUT
OUT_plan selections	plan selections	OUT
OUT_free	free	OUT
OUT_ab overall cost per case	ab overall cost per case	OUT
OUT_provider other organization name	provider other organization name	OUT
IN_services rendered	services rendered	IN
OUT_percent of prescriptions	percent of prescriptions	OUT
OUT_ab total maintenance payments	ab total maintenance payments	OUT
OUT_date opened	date opened	OUT
OUT_minutes	minutes	OUT
OUT_morphine milligram equivalents	morphine milligram equivalents	OUT
OUT_practice city name	practice city name	OUT
OUT_dollar amount invested	dollar amount invested	OUT
OUT_payment type subcategory	payment type subcategory	OUT
OUT_office visit type	office visit type	OUT
IN_paid per beneficiary	paid per beneficiary	IN
OUT_ab total boarding homes - cases	ab total boarding homes - cases	OUT
IN_services per beneficiary	services per beneficiary	IN
IN_fiscal year	fiscal year	IN
IN_beneficiaries	beneficiaries	IN
OUT_outpatient interim rates	outpatient interim rates	OUT
OUT_boundaries single member districts	boundaries single member districts	OUT
OUT_ab total paid cases	ab total paid cases	OUT
OUT_county fips code	county fips code	OUT
IN_program	program	IN
OUT_fiscal quarter start date	fiscal quarter start date	OUT
OUT_referral type	referral type	OUT
OUT_enrollees - gender	enrollees - gender	OUT
OUT_date	date	OUT
OUT_quarter	quarter	OUT
OUT_ab other living arrangements - cases	ab other living arrangements - cases	OUT
OUT_payment reduction percentage	payment reduction percentage	OUT
OUT_provider organization name legal business name	provider organization name legal business name	OUT
OUT_pos category	pos category	OUT
OUT_single member council districts	single member council districts	OUT
OUT_ages served	ages served	OUT
OUT_enrollees - age	enrollees - age	OUT
OUT_ab boarding homes - other - cases	ab boarding homes - other - cases	OUT
OUT_intake condition	intake condition	OUT
OUT_network	network	OUT
OUT_name	name	OUT
OUT_county name	county name	OUT
OUT_call to door interval target	call to door interval target	OUT
OUT_calls	calls	OUT
OUT_principal investigator	principal investigator	OUT
OUT_last name	last name	OUT
OUT_warning	warning	OUT
OUT_mean annual frequency	mean annual frequency	OUT
OUT_completion rate - 1 - 2 years	completion rate - 1 - 2 years	OUT
OUT_completion rate - total enrolled by year	completion rate - total enrolled by year	OUT
OUT_state name	state name	OUT
OUT_rate	rate	OUT
OUT_frequency	frequency	OUT
OUT_beginning time period	beginning time period	OUT
IN_amount paid	amount paid	IN
OUT_month	month	OUT
OUT_neighborhood planning areas	neighborhood planning areas	OUT
OUT_npi	npi	OUT
OUT_total provider payment 75	total provider payment 75	OUT
OUT_first name	first name	OUT
OUT_found location	found location	OUT
OUT_end time	end time	OUT
OUT_community registry	community registry	OUT
OUT_health zone of residence	health zone of residence	OUT
OUT_sex upon intake	sex upon intake	OUT
OUT_2010 box elder	2010 box elder	OUT
OUT_year	year	OUT
OUT_primary service to community	primary service to community	OUT
OUT_check out da	check out da	OUT
OUT_2011 box elder	2011 box elder	OUT
OUT_death year	death year	OUT
OUT_health care provider	health care provider	OUT
OUT_age group	age group	OUT
OUT_amount	amount	OUT
OUT_veteran status	veteran status	OUT
OUT_deaths	deaths	OUT
OUT_2018	2018	OUT
OUT_age upon intake	age upon intake	OUT
OUT_unemployment	unemployment	OUT
OUT_# deaths for total population	# deaths for total population	OUT
OUT_diabetes rate	diabetes rate	OUT
OUT_years of potential life lost rate for total population	years of potential life lost rate for total population	OUT
