stc_label	sentence	category
88_wic_retailer_list_by	wic retailer list by city in utah	Table
OUT_recipient city	recipient city	OUT
OUT_physician name suffix	physician name suffix	OUT
IN_store type	store type	IN
OUT_recipient province	recipient province	OUT
OUT_applicable manufacturer or applicable gpo making payment state	applicable manufacturer or applicable gpo making payment state	OUT
OUT_research transaction id	research transaction id	OUT
OUT_submitting applicable manufacturer or applicable gpo name	submitting applicable manufacturer or applicable gpo name	OUT
OUT_applicable manufacturer or applicable gpo making payment id	applicable manufacturer or applicable gpo making payment id	OUT
IN_vendor	vendor	IN
IN_vendor id	vendor id	IN
OUT_serial number	serial number	OUT
OUT_payment type	payment type	OUT
OUT_complaint type 311	complaint type 311	OUT
OUT_amount	amount	OUT
OUT_total provider payment 25	total provider payment 25	OUT
OUT_any current supply of gowns	any current supply of gowns	OUT
OUT_total provider payment 75	total provider payment 75	OUT
OUT_restaurant name	restaurant name	OUT
OUT_complaint number	complaint number	OUT
OUT_complaint status	complaint status	OUT
OUT_provider organization name legal business name	provider organization name legal business name	OUT
OUT_state	state	OUT
OUT_refugee clinic patients	refugee clinic patients	OUT
OUT_measure description	measure description	OUT
OUT_incident address	incident address	OUT
OUT_total # of patients who were treated	total # of patients who were treated	OUT
OUT_incident address street number	incident address street number	OUT
OUT_primary site	primary site	OUT
IN_phone	phone	IN
IN_street address	street address	IN
OUT_address	address	OUT
OUT_site name	site name	OUT
OUT_location name	location name	OUT
OUT_inspection date	inspection date	OUT
OUT_community board	community board	OUT
OUT_number of all beds	number of all beds	OUT
OUT_hours tuesday	hours tuesday	OUT
OUT_location	location	OUT
OUT_city	city	OUT
OUT_site id	site id	OUT
OUT_bin	bin	OUT
OUT_number of clinics	number of clinics	OUT
OUT_provider name	provider name	OUT
OUT_zip codes	zip codes	OUT
OUT_score	score	OUT
OUT_provider state	provider state	OUT
OUT_community area name	community area name	OUT
OUT_zip code	zip code	OUT
OUT_provider zip code	provider zip code	OUT
IN_location 1	location 1	IN
OUT_measure id	measure id	OUT
OUT_st	st	OUT
OUT_shape st ar	shape st ar	OUT
OUT_council district	council district	OUT
IN_counties	counties	IN
OUT_wyoming	wyoming	OUT
OUT_colorado	colorado	OUT
OUT_connecticut	connecticut	OUT
OUT_illinois	illinois	OUT
OUT_fenchone	fenchone	OUT
OUT_fips	fips	OUT
OUT_payment type subcategory	payment type subcategory	OUT
OUT_protocol	protocol	OUT
OUT_deleted	deleted	OUT
OUT_completion rate - total enrolled by year	completion rate - total enrolled by year	OUT
OUT_ab total maintenance payments	ab total maintenance payments	OUT
OUT_ab other living arrangements payments	ab other living arrangements payments	OUT
OUT_activity date	activity date	OUT
OUT_provider other organization name	provider other organization name	OUT
OUT_average age of death	average age of death	OUT
OUT_title	title	OUT
OUT_role description	role description	OUT
OUT_services rendered	services rendered	OUT
OUT_percent of prescriptions	percent of prescriptions	OUT
OUT_morphine milligram equivalents	morphine milligram equivalents	OUT
OUT_date closed	date closed	OUT
OUT_laboratory type is private lab	laboratory type is private lab	OUT
OUT_fiscal year start	fiscal year start	OUT
OUT_beneficiaries	beneficiaries	OUT
OUT_fiscal year	fiscal year	OUT
OUT_boundaries single member districts	boundaries single member districts	OUT
OUT_description	description	OUT
OUT_fiscal quarter end date	fiscal quarter end date	OUT
OUT_building floor suite	building floor suite	OUT
OUT_other insurances	other insurances	OUT
OUT_program	program	OUT
OUT_county fips code	county fips code	OUT
OUT_enrollees - gender	enrollees - gender	OUT
OUT_town	town	OUT
OUT_rx per beneficiary	rx per beneficiary	OUT
OUT_date	date	OUT
OUT_quarter	quarter	OUT
OUT_total expenditure	total expenditure	OUT
OUT_file date	file date	OUT
OUT_single member council districts	single member council districts	OUT
OUT_pos category	pos category	OUT
OUT_terpineol	terpineol	OUT
OUT_number of prescriptions	number of prescriptions	OUT
OUT_rate effective date	rate effective date	OUT
OUT_for more information	for more information	OUT
OUT_employee category	employee category	OUT
OUT_fiscal quarter key	fiscal quarter key	OUT
OUT_fiscal quarter	fiscal quarter	OUT
OUT_county name	county name	OUT
OUT_call to door interval target	call to door interval target	OUT
OUT_45 to 49 years old	45 to 49 years old	OUT
OUT_principal investigator	principal investigator	OUT
OUT_warning	warning	OUT
OUT_end time period	end time period	OUT
OUT_completion rate - 1 - 2 years	completion rate - 1 - 2 years	OUT
OUT_state name	state name	OUT
OUT_rate	rate	OUT
OUT_small area code	small area code	OUT
OUT_quarter number	quarter number	OUT
OUT_reporting period	reporting period	OUT
OUT_description of dog	description of dog	OUT
OUT_study phase	study phase	OUT
OUT_agency	agency	OUT
OUT_adm month	adm month	OUT
OUT_frequency	frequency	OUT
OUT_intake	intake	OUT
OUT_month	month	OUT
OUT_unknown	unknown	OUT
OUT_data as of	data as of	OUT
OUT_neighborhood planning areas	neighborhood planning areas	OUT
OUT_first name	first name	OUT
OUT_average call to door interval	average call to door interval	OUT
OUT_adm count	adm count	OUT
OUT_color	color	OUT
OUT_community registry	community registry	OUT
OUT_therapeutic foster care	therapeutic foster care	OUT
OUT_shortage of other staff	shortage of other staff	OUT
OUT_breed	breed	OUT
OUT_health zone of residence	health zone of residence	OUT
OUT_animal id	animal id	OUT
OUT_b- eudesmol	b- eudesmol	OUT
OUT_2010 box elder	2010 box elder	OUT
OUT_sex upon intake	sex upon intake	OUT
OUT_eeo category	eeo category	OUT
OUT_crude prevalence rate	crude prevalence rate	OUT
OUT_year	year	OUT
OUT_2012 box elder	2012 box elder	OUT
OUT_cause of death category	cause of death category	OUT
OUT_death year	death year	OUT
OUT_age group	age group	OUT
OUT_veteran status	veteran status	OUT
OUT_cedrol	cedrol	OUT
OUT_id	id	OUT
OUT_population	population	OUT
OUT_gender	gender	OUT
OUT_age upon intake	age upon intake	OUT
OUT_# deaths for total population	# deaths for total population	OUT
OUT_prevalence	prevalence	OUT
OUT_stroke	stroke	OUT
OUT_sex	sex	OUT
OUT_demographics	demographics	OUT
OUT_oct- dec denominator	oct- dec denominator	OUT
OUT_2016	2016	OUT
OUT_count of suicides	count of suicides	OUT
OUT_ethnicity	ethnicity	OUT
OUT_food insecure population	food insecure population	OUT
OUT_independent living	independent living	OUT
OUT_check in dat	check in dat	OUT
OUT_2012 carbon	2012 carbon	OUT
OUT_food insecure percentage	food insecure percentage	OUT
OUT_2010 life expectancy	2010 life expectancy	OUT
OUT_2010 carbon	2010 carbon	OUT
OUT_2011 carbon	2011 carbon	OUT
OUT_2012 us	2012 us	OUT
OUT_2006	2006	OUT
OUT_2013 us	2013 us	OUT
OUT_2010 us	2010 us	OUT
OUT_2007 carbon	2007 carbon	OUT
