stc_label	sentence	category
89_workforce_centers	workforce centers	Table
IN_city	city	IN
IN_location	location	IN
IN_zip	zip	IN
IN_address	address	IN
OUT_hospital	hospital	OUT
OUT_town index	town index	OUT
OUT_number of clinics	number of clinics	OUT
OUT_# of diabetes patients receiving appropriate care	# of diabetes patients receiving appropriate care	OUT
IN_hours of operation	hours of operation	IN
IN_boundaries - zip codes	boundaries - zip codes	IN
OUT_full address	full address	OUT
OUT_planning regions	planning regions	OUT
IN_site name	site name	IN
OUT_provider address	provider address	OUT
OUT_zip code	zip code	OUT
OUT_provider name	provider name	OUT
IN_zip codes	zip codes	IN
IN_phone	phone	IN
OUT_procedures performed	procedures performed	OUT
IN_community areas	community areas	IN
OUT_hospital name	hospital name	OUT
OUT_procedure type	procedure type	OUT
IN_wards	wards	IN
OUT_hospital location	hospital location	OUT
IN_census tracts	census tracts	IN
OUT_community area name	community area name	OUT
OUT_community area number	community area number	OUT
OUT_council district	council district	OUT
OUT_community area	community area	OUT
OUT_st	st	OUT
OUT_area name	area name	OUT
OUT_main phone	main phone	OUT
OUT_location 1	location 1	OUT
OUT_access type	access type	OUT
OUT_sir icon	sir icon	OUT
OUT_county	county	OUT
OUT_sir interpretation	sir interpretation	OUT
OUT_measure id	measure id	OUT
OUT_2010 house districts	2010 house districts	OUT
OUT_parking	parking	OUT
OUT_province state	province state	OUT
OUT_counties	counties	OUT
OUT_observed infections	observed infections	OUT
OUT_benchmark icon	benchmark icon	OUT
OUT_2010 senate districts	2010 senate districts	OUT
OUT_2016 sir	2016 sir	OUT
OUT_comparison interpretation	comparison interpretation	OUT
OUT_national bsi mean	national bsi mean	OUT
OUT_predicted infections	predicted infections	OUT
OUT_percentile on 2014 national sir distribution	percentile on 2014 national sir distribution	OUT
OUT_colorado	colorado	OUT
OUT_oklahoma	oklahoma	OUT
OUT_mississippi	mississippi	OUT
OUT_total # of patients who were treated	total # of patients who were treated	OUT
OUT_tb clinic patients	tb clinic patients	OUT
OUT_2014 deaths	2014 deaths	OUT
IN_state	state	IN
OUT_2010 population	2010 population	OUT
OUT_2016 deaths	2016 deaths	OUT
OUT_2012 deaths	2012 deaths	OUT
OUT_refugee clinic patients	refugee clinic patients	OUT
OUT_incident address	incident address	OUT
OUT_45 to 49 years old	45 to 49 years old	OUT
OUT_35 to 39 years old	35 to 39 years old	OUT
OUT_total number of occupied beds	total number of occupied beds	OUT
OUT_physician ownership transaction id	physician ownership transaction id	OUT
OUT_product indicator	product indicator	OUT
OUT_recipient city	recipient city	OUT
OUT_recipient country	recipient country	OUT
OUT_physician first name	physician first name	OUT
OUT_limonene	limonene	OUT
OUT_recipient zip code	recipient zip code	OUT
OUT_physician primary type	physician primary type	OUT
OUT_date of payment	date of payment	OUT
OUT_applicable manufacturer or applicable gpo making payment name	applicable manufacturer or applicable gpo making payment name	OUT
OUT_applicable manufacturer or applicable gpo making payment state	applicable manufacturer or applicable gpo making payment state	OUT
