stc_label	sentence	category
T_2014 daily vehicle miles travelled by town and roadway classification - archive	2014 daily vehicle miles travelled by town and roadway classification - archive	Table
T_2020 green taxi trip data	2020 green taxi trip data	Table
T_2020 yellow taxi trip data	2020 yellow taxi trip data	Table
T_annual average daily traffic (aadt) by roadway segment: beginning 1977 - average values	annual average daily traffic (aadt) by roadway segment: beginning 1977 - average values	Table
T_annual cash or ezpass usage line graph	annual cash or ezpass usage line graph	Table
T_annual overweight load (aol) permits stipulations	annual overweight load (aol) permits stipulations	Table
T_bicycle and pedestrian counts in colorado	bicycle and pedestrian counts in colorado	Table
T_bicycle counts	bicycle counts	Table
T_bike routes (deprecated january 2021)	bike routes (deprecated january 2021)	Table
T_boat makes, most popular in new york state	boat makes, most popular in new york state	Table
T_capital district transportation authority (cdta) performance metrics: beginning 2009	capital district transportation authority (cdta) performance metrics: beginning 2009	Table
T_chicago street names	chicago street names	Table
T_citywide mobility survey - day survey 2019	citywide mobility survey - day survey 2019	Table
T_citywide mobility survey - vehicle survey 2019	citywide mobility survey - vehicle survey 2019	Table
T_connecticut list of scenic roads as of dec 31 2010 â€“ archive	connecticut list of scenic roads as of dec 31 2010 â€“ archive	Table
T_coys - ward 1 - filtered	coys - ward 1 - filtered	Table
T_ct transit hartford, new haven, new britain area route bus stops	ct transit hartford, new haven, new britain area route bus stops	Table
T_cta - performance - unscheduled days off	cta - performance - unscheduled days off	Table
T_cta - ridership - 'l' station entries - daily totals	cta - ridership - 'l' station entries - daily totals	Table
T_cta - ridership - bus routes - daily totals by route	cta - ridership - bus routes - daily totals by route	Table
T_daily vehicle miles of travel: beginning 1985	daily vehicle miles of travel: beginning 1985	Table
T_dmv-reportable traffic ticket conviction counts by year and court	dmv-reportable traffic ticket conviction counts by year and court	Table
T_e- zpass usage statistics: beginning 2008	e- zpass usage statistics: beginning 2008	Table
T_e-scooter trips - 2020	e-scooter trips - 2020	Table
T_e-scooter trips - census tract summary - 2020	e-scooter trips - census tract summary - 2020	Table
T_freight cars moved in carfloat operations, port authority of ny nj:  beginning 2009	freight cars moved in carfloat operations, port authority of ny nj:  beginning 2009	Table
T_highway curves and grades in colorado	highway curves and grades in colorado	Table
T_highway mileage: beginning 2008	highway mileage: beginning 2008	Table
T_highway sign installations	highway sign installations	Table
T_highway traffic counts in colorado 2016	highway traffic counts in colorado 2016	Table
